chrom	start	end	name	score
chr1	5758281	6359521	2	0.0017274943898583956
chr1	7856438	8493750	15	0.0007027783572453334
chr1	14711802	15089994	27	0.00010025781680717592
chr1	26780389	26989453	5	0.00048237241974609336
chr1	51217575	51336619	13	0.0010526244532632469
chr1	93088471	93294034	11	0.0010826469029022155
chr1	114725108	115702047	7	0.0013496117623986346
chr1	157555762	158038113	17	0.002115284362113101
chr1	192981788	193166871	12	0.0006575350730277438
chr1	210418225	210907811	24	0.0021550482596191774
chr1	212599176	213761196	3	0.003568401797589275
chr1	246237974	246357017	6	0.0011932704632362384
chr10	47184277	47650133	244	0.002855825185559291
chr10	58218870	58714895	243	0.008292335413728164
chr10	77295386	77414429	251	0.003521237287551916
chr10	77918891	78043175	246	0.008234599996611042
chr10	89560990	89680033	241	0.003805920129531558
chr10	89965304	90084347	239	0.044230972009336095
chr11	39985638	40635879	287	0.00444908531174777
chr11	45931344	46402442	264	0.006699008107536084
chr11	62685002	63185231	261	0.007629455308991107
chr11	64602254	65066589	273	0.003236823241204955
chr11	68133517	68341010	266	0.005306595203783617
chr11	69896864	70147013	283	0.00272283188873582
chr11	72023274	72313020	289	0.003267841388313382
chr11	75846730	76992775	279	0.001186671343571999
chr11	80339167	80463952	265	0.005209364333451783
chr11	83964212	84366423	284	0.004483057364680377
chr11	85972100	87096374	280	0.0045838390347431755
chr11	113905768	114104249	260	0.005790020651538743
chr12	12722317	13120592	290	0.039038560885979526
chr12	24097405	24228750	299	0.013978441158107435
chr12	26424358	26998323	294	0.014686296911453341
chr13	32621411	32950651	321	0.014124714549600698
chr13	48939729	49058772	318	0.05094967470080139
chr13	50860815	51455790	324	0.02297314791562127
chr14	27537653	29081983	344	0.010910774211225702
chr14	33699932	33818975	334	0.0027440502816736424
chr14	40295008	40722782	337	0.005097202209090564
chr14	67168861	67652025	342	0.0011554045180431928
chr14	68742331	68861374	328	0.001308266517263695
chr15	32159195	32278239	352	0.0007502222546084124
chr15	41285416	42451276	355	0.001275167745267936
chr15	57326607	57557542	356	0.000903293818662845
chr16	53432883	54385775	371	0.08480600220351348
chr16	72508842	72677340	365	0.015476880026754427
chr16	78647303	78766346	357	0.008397681661165167
chr16	79003131	79122175	361	0.005845577461741765
chr16	83335710	83621823	372	0.008019116772987025
chr17	32188861	32931084	394	0.02359520723962642
chr17	37461077	37780421	392	0.009770747088734159
chr17	39069342	39414905	376	0.014550803023298505
chr17	42042144	42320075	379	0.005180857446832714
chr17	44220411	44339454	387	0.012143435211496708
chr17	53330349	54068840	391	0.004288391362119561
chr17	55765392	56193649	385	0.0050240590710402665
