chrom	start	end	name	score
chr1	144836156	145076186	ENSG00000178104	0.125670042588573
chr1	147013181	147098017	ENSG00000116128	0.1418211092060045
chr1	150782180	150849244	ENSG00000143437	0.2133978875564676
chr1	150898738	150937213	ENSG00000143379	0.21339788755646766
chr1	151030233	151040970	ENSG00000213190	0.2133978875564676
chr1	153430219	153433177	ENSG00000143556	0.16771008525584244
chr1	154127783	154167124	ENSG00000143549	0.1638668072046872
chr1	155158299	155162707	ENSG00000185499	0.1680655708919912
chr1	156052363	156109880	ENSG00000160789	0.16319260117986137
chr1	156720401	156770607	ENSG00000143294	0.16311766442812078
chr1	156785431	156851642	ENSG00000198400	0.16311766442812078
chr1	157543538	157567870	ENSG00000163518	0.16311766442812078
chr1	161284046	161332984	ENSG00000143252	0.19441336762603512
chr1	161551100	161648444	ENSG00000072694	0.18778440651805162
chr1	162601162	162757190	ENSG00000162733	0.1744132166445003
chr1	164524820	164868533	ENSG00000185630	0.16026954317803854
chr1	170631868	170708560	ENSG00000116132	0.16137037451100059
chr1	179068461	179198819	ENSG00000143322	0.1581217012696466
chr1	186280783	186344825	ENSG00000047410	0.14774169443374194
chr1	193091146	193223031	ENSG00000134371	0.12576861726852456
chr1	197053257	197115824	ENSG00000066279	0.12666828528443078
chr1	198607800	198726545	ENSG00000081237	0.13240731732096356
chr1	201977072	201986316	ENSG00000163435	0.13090191676431057
chr1	203274618	203278730	ENSG00000159388	0.1349939257339317
chr1	204485510	204542871	ENSG00000198625	0.14142527794298615
chr1	205577070	205601090	ENSG00000158711	0.13941624569291594
chr1	205626978	205649587	ENSG00000158715	0.13941624569291594
chr1	226249551	226259702	ENSG00000163041	0.1643149715683737
chr1	240931553	241520530	ENSG00000182901	0.15729182776930298
chr1	241660902	241683061	ENSG00000091483	0.15729182776930298
chr1	243651534	244014381	ENSG00000117020	0.1597013170303371
chr11	46299211	46342972	ENSG00000157613	0.0017084066411354694
chr11	57416464	57429340	ENSG00000172409	0.09727851841767483
chr11	57520714	57587018	ENSG00000198561	0.09727851841767483
chr11	69455854	69469242	ENSG00000110092	0.4656896754919253
chr11	70049268	70053496	ENSG00000168040	0.5515464888497658
chr11	71713909	71791739	ENSG00000137497	0.054496588055115563
chr11	102188214	102210134	ENSG00000023445	0.10481368461302763
chr11	108093210	108239829	ENSG00000149311	0.006404976404867366
chr11	111222976	111326355	ENSG00000110777	0.0030484757496091358
chr11	113930314	114121398	ENSG00000109906	0.0030852939059262023
chr11	120207786	120360645	ENSG00000196914	0.011361391599774388
chr11	128556429	128683162	ENSG00000151702	0.0031500785953068786
chr11	128761250	128790930	ENSG00000120457	0.0031500785953068786
chr12	389294	498620	ENSG00000073614	0.1774927027899357
chr12	1099674	1605099	ENSG00000082805	0.18152213437344367
chr12	4382937	4414516	ENSG00000118971	0.18081524130132226
chr12	6679248	6716642	ENSG00000111642	0.15502886434154295
chr12	6775642	6798738	ENSG00000126746	0.15502886434154295
chr12	7055630	7070479	ENSG00000111679	0.14761986130616095
chr12	11802787	12048336	ENSG00000139083	0.15459208937832308
chr12	12867991	12875305	ENSG00000111276	0.154212654249175
chr12	22778008	22843599	ENSG00000139163	0.17628496293456966
chr12	25357722	25403870	ENSG00000133703	0.15500583095732112
chr12	27676363	27848497	ENSG00000110841	0.14430010923899464
chr12	57853917	57866045	ENSG00000111087	0.007314328611306813
chr12	57910370	57914300	ENSG00000175197	0.007314328611306811
chr12	58141509	58149796	ENSG00000135446	0.004870660954715862
chr12	65444405	65515346	ENSG00000156076	0.014863603074015571
chr12	66217910	66360075	ENSG00000149948	0.019979722698501085
chr12	69201955	69239214	ENSG00000135679	0.08695369586927376
chr12	70910629	71031220	ENSG00000127329	0.10754844955687777
chr14	20779526	20801471	ENSG00000100814	0.02840734243849185
chr14	35221936	35344853	ENSG00000198604	0.037823224979977234
chr14	36985601	36990354	ENSG00000136352	0.04134465740309499
chr14	38059188	38069245	ENSG00000129514	0.06542911827202089
chr14	93260575	93306308	ENSG00000066455	0.0035423770358384756
chr14	95552564	95624347	ENSG00000100697	0.0026100076560348737
chr14	96176303	96180533	ENSG00000100721	0.0026100076560348737
chr14	99635623	99737861	ENSG00000127152	0.019932403298362694
chr14	105235685	105262088	ENSG00000142208	0.0026437334855414257
chr15	88418229	88799999	ENSG00000140538	0.030453397214433995
