chrom	start	end	name	score
chr1	10855454	10996454	OG15	3529.095180722892
chr1	16131975	16276281	OG33	3483.306024096385
chr1	21718597	21926345	OG37	3343.4409638554216
chr1	24520964	24728815	OG29	3372.5795180722894
chr1	31885955	32026955	OG18	3814.653012048193
chr1	33523082	33795480	OG36	3957.848192771085
chr1	40125950	40267175	OG32	4563.097590361446
chr1	41358977	41499977	OG0	4593.068674698796
chr1	43837422	44103803	OG26	4467.356626506024
chr1	46966151	47107151	OG34	4301.683132530121
chr1	56154147	56671449	OG16	4157.655421686747
chr1	61937528	62296800	OG30	4160.153012048193
chr1	115564012	116094318	OG38	3996.144578313253
chr1	147065974	147206974	OG27	8178.775903614458
chr1	150569391	150710391	OG17	8576.72530120482
chr1	151542552	151683552	OG1	8524.275903614458
chr1	153712188	153853188	OG35	8441.022891566265
chr1	154983511	155124511	OG11	8435.195180722892
chr1	156020252	156161252	OG19	8354.439759036144
chr1	158351130	158623569	OG41	8239.55060240964
chr1	160960927	161101927	OG9	8428.534939759036
chr1	168867968	169008968	OG42	8136.31686746988
chr1	172301814	172543614	OG14	8157.96265060241
chr1	180460278	180601278	OG40	7929.01686746988
chr1	183140311	183323562	OG5	7944.002409638554
chr1	201924469	202065469	OG25	7794.146987951807
chr1	204361635	204502635	OG6	7968.145783132531
chr1	234889836	235030836	OG10	7775.831325301205
chr10	5158618	5299618	OG383	4394.093975903615
chr10	8968620	9240181	OG390	4389.931325301205
chr10	11861645	12002645	OG408	4324.161445783133
chr10	13378934	13921184	OG401	4305.84578313253
chr10	32344531	32489806	OG415	4187.626506024097
chr10	33138220	33279220	OG389	4196.784337349398
chr10	47298718	47488529	OG396	3449.1722891566264
chr10	51431472	51572472	OG406	3384.2349397590365
chr10	55228077	56033421	OG393	3373.412048192771
chr10	61644104	61785104	OG395	3459.995180722892
chr10	63543799	63808156	OG384	3453.3349397590364
chr10	65543305	65684305	OG404	3425.8614457831327
chr10	73764054	74201943	OG403	3398.387951807229
chr10	76743905	76928280	OG387	3562.396385542169
chr10	77094036	77235036	OG414	3555.736144578313
chr10	79480255	79742343	OG382	3540.7506024096388
chr10	88367028	88657824	OG410	2935.501204819277
chr10	113587401	114148132	OG412	2977.9602409638555
chr10	123032164	123217193	OG391	3135.30843373494
chr11	13566436	14124443	OG433	3689.773493975904
chr11	32059281	32237981	OG437	4163.483132530121
chr11	34649578	34790578	OG420	4371.615662650603
chr11	46218121	46657643	OG432	4205.942168674699
chr11	61117072	61258072	OG451	4627.202409638555
chr11	62102813	62243813	OG430	4672.159036144579
chr11	63668893	63809893	OG444	4747.919277108434
chr11	65215750	65356750	OG429	5006.836144578314
chr11	67002528	67143528	OG424	5520.507228915663
chr11	69435435	69576435	OG457	6614.451807228916
chr11	70147052	70288052	OG440	6486.242168674699
chr11	72463485	72604485	OG438	5397.292771084338
chr11	73930417	74289612	OG426	5377.312048192772
chr11	77761775	77902775	OG416	5542.985542168675
chr11	79497668	79747151	OG441	5185.830120481928
chr11	81033478	81397683	OG455	5011.831325301205
chr11	85089060	85619168	OG442	4725.440963855422
chr11	86750812	87138491	OG456	4655.50843373494
chr11	88482128	88698087	OG423	4590.57108433735
chr11	91265831	91453418	OG435	4440.715662650603
chr11	96111991	96856471	OG453	4260.8891566265065
chr11	101411357	101597167	OG419	4399.921686746989
chr11	102344393	102485393	OG439	4354.965060240964
chr11	118286578	118427578	OG450	3594.032530120482
chr11	121160585	121301585	OG443	3602.357831325301
chr12	533853	785807	OG490	6120.761445783133
chr12	1607878	1793710	OG464	6132.416867469879
chr12	4464647	4740102	OG485	6084.96265060241
chr12	6407390	6554798	OG471	6013.365060240964
chr12	11915534	12160682	OG482	5738.630120481928
chr12	14699597	15538883	OG489	5757.778313253012
chr12	25136473	25277473	OG460	6257.2963855421685
chr12	26186655	26327655	OG481	6229.822891566266
chr12	27276462	27604497	OG466	6145.737349397591
chr12	46649996	47067234	OG463	5047.630120481928
chr12	48034439	48175439	OG491	5010.998795180723
chr12	52491400	52659261	OG475	4954.386746987952
chr12	53325068	53466068	OG484	4949.391566265061
chr12	54466204	54607204	OG488	4983.52530120482
chr12	56470230	56611230	OG469	5112.567469879518
chr12	58130185	58271185	OG461	5284.901204819277
chr12	60344727	60485727	OG467	5221.628915662651
chr12	62827690	63499850	OG479	5194.155421686747
chr12	69185809	69326809	OG458	5741.127710843374
chr12	73503242	73913994	OG483	5138.375903614458
chr12	95839728	96189829	OG477	4782.053012048193
chr12	125087934	125228934	OG473	4687.144578313253
chr13	27562307	27921253	OG495	4126.851807228916
chr13	30948870	31170293	OG502	4157.655421686747
chr13	73848425	73989425	OG493	4672.99156626506
chr13	83667472	83808472	OG498	4568.925301204819
chr13	95759498	96167309	OG503	4881.956626506024
chr13	110895161	111383585	OG505	5132.548192771084
chr13	113887142	114028142	OG504	5099.246987951808
chr14	23954039	24095039	OG516	4050.259036144578
chr14	26166014	26429413	OG521	4103.540963855422
chr14	31531292	31938673	OG513	4211.769879518072
chr14	35812917	35953917	OG506	4364.122891566265
chr14	36945608	37086608	OG524	4358.295180722892
chr14	37900055	38041055	OG511	4374.1132530120485
chr14	39612682	39788937	OG525	4208.439759036145
chr14	50372534	50513534	OG508	4138.507228915662
chr14	61907856	62048856	OG519	3721.409638554217
chr14	65076679	65217679	OG522	3643.9843373493977
chr14	68965677	69106677	OG509	3625.6686746987953
chr14	75734339	75875339	OG518	3731.4
chr14	77455710	77596710	OG510	3849.619277108434
chr14	81841089	82166916	OG526	3954.518072289157
chr14	102741750	103216247	OG529	3981.1590361445774
chr14	103573439	103714439	OG515	4026.115662650602
chr14	105075756	105244472	OG523	4071.904819277109
chr15	25262777	25403777	OG536	3420.866265060241
chr15	52169506	52543132	OG533	3485.803614457832
chr15	53459875	53600875	OG541	3486.6361445783136
chr15	58511043	58652043	OG544	3475.8132530120483
chr15	63547804	64026816	OG539	3728.902409638554
chr15	71914900	72055900	OG532	3960.3457831325295
chr15	87122857	87263857	OG530	4400.75421686747
chr15	90732949	90873949	OG534	4553.107228915663
chr15	93231830	93372830	OG531	4583.078313253012
chr16	2738011	2970009	OG569	4812.024096385542
chr16	4478361	4619361	OG549	4886.951807228916
chr16	7417893	7558893	OG560	5134.213253012048
chr16	9487069	9702719	OG565	5151.696385542169
chr16	11731250	11872250	OG547	5258.260240963856
chr16	15702761	15843761	OG563	5137.543373493976
chr16	19373271	19542646	OG558	5121.72530120482
chr16	25049393	25500550	OG557	5138.375903614458
chr16	52405706	52586362	OG552	3630.663855421687
chr16	57033597	57174597	OG556	3461.660240963856
chr16	57736718	57877718	OG567	3464.157831325301
