chrom	start	end	name	score
chr1	150599202	150769139	16	0.01579877274403992
chr1	151577276	151824681	1	0.0033139988922760793
chr1	153567828	153761700	28	0.0007699829371476639
chr1	154866700	155184646	20	6.683082198059822e-05
chr1	155767082	156064210	9	0.002944650767971238
chr1	160944223	161118797	8	0.0085156302343531
chr1	171763783	172395327	19	0.011083993599227003
chr1	201969765	202088809	22	0.0030100061917871074
chr1	204424391	204543434	4	0.004234573056751493
chr1	234768090	234887134	10	0.01409055557985034
chr10	4977348	5233692	240	0.008333279258221955
chr10	8812766	9282706	249	0.00753139771208341
chr10	11633710	12122522	255	0.003341644697831952
chr10	31873372	32524107	247	0.01640723963783622
chr10	53200357	54407754	248	0.00015861825776671248
chr10	59942726	60061769	250	9.681422095647993e-05
chr10	61321198	62034364	242	0.0005370785869779238
chr10	63604255	63953573	256	6.24636667544531e-05
chr10	74894765	75176209	245	0.001000901697337341
chr10	75300349	75448565	258	0.00013751774232889842
chr10	77864432	78188035	257	0.0007107397289401541
chr10	81308268	82447504	252	0.00029066254282689565
chr10	124456338	124978026	254	0.0006344136700537051
chr11	62148903	62573639	272	0.0013949519872455559
chr11	67152147	67373325	286	0.0023094678325097204
chr11	69619952	69738995	285	0.008196602271798852
chr11	70319004	70438048	276	0.00464386466166777
chr11	71260778	71467434	282	0.0010001665933581036
chr11	73143017	73470545	288	0.0019741887200512708
chr11	74190902	74844343	270	0.0016596184489483313
chr11	77829950	77948994	259	0.0032662447316247414
chr11	82111694	83074566	268	0.0018105168173656056
chr11	88445898	89085879	267	0.0008755472764896003
chr11	100200601	100585952	262	0.001935321247772174
chr11	102447525	102575127	271	0.0012996735497760386
chr12	641689	875437	315	0.0017982985963865563
chr12	3896569	4521478	295	0.0005384468954057845
chr12	6385923	6620669	312	0.0004924494815615657
chr12	19624312	20151125	293	0.010708307919621648
chr12	24935138	25138824	291	0.01962234448636839
chr12	26155824	26274868	311	0.0032861695656299698
chr12	27159250	27571622	300	0.00518519137406623
chr12	45877707	46842542	296	0.0002895811356535678
chr12	47703098	47822141	304	4.55899827933503e-05
chr12	52100987	52220031	307	9.993344527728353e-05
chr12	56083254	56202297	303	0.00010574909811283629
chr12	57748858	57867901	292	0.00015678107210403123
chr12	59754080	60092039	298	0.00021910282630795749
chr12	65499846	66013382	306	0.0003177282258426743
chr12	67247909	67493288	314	3.913487132595642e-05
chr12	69096589	69243000	317	0.0016702464813904774
chr12	95415175	95805847	309	7.271701897567433e-05
chr12	124652439	124771482	297	7.77676809904495e-05
chr13	27151986	28009560	323	0.006645757189768822
chr13	30203840	30696212	319	0.01602919242440714
chr13	53968152	55186265	325	0.004280055233478303
chr13	71050096	71897528	326	0.002334922478902256
chr13	73286205	73405248	320	0.009800212217527892
chr13	106006870	107280937	322	0.003045117797068562
chr15	51849333	52543565	347	0.0007618053418141217
chr15	63264299	63734559	351	0.0009395705661479798
chr15	71528646	71647690	348	0.0014807236818842949
chr15	72303492	72637942	353	0.0008702214181631388
chr15	90117058	90328261	349	0.004452072274133956
chr15	92712490	92831533	346	0.001504695891372266
