chrom	start	end	name	score
chr1	204419795	204538839	59	0.036288946298385576
chr1	207110407	207229450	62	0.0060626873125020206
chr1	225761562	225880605	64	0.01930110008913013
chr1	239233116	239352159	70	0.037228000478964525
chr1	246568478	246687522	75	0.017862774887070446
chr10	47580478	47699522	572	0.0018135869035411107
chr10	76876338	76995382	589	0.0010626730194287725
chr10	79320478	79439522	592	0.0006493833354567603
chr10	81012478	81131522	594	0.0004911043284565757
chr10	83468634	83587677	595	0.0002691129760425501
chr11	13076478	13195522	608	0.006180877440105426
chr11	45971756	46090799	615	0.0006095214763363727
chr11	60785059	60904103	617	0.00037872945290308495
chr11	63390958	63510002	620	0.0002788236668560561
chr11	65168583	65287626	622	5.064431405564286e-05
chr11	66880590	66999633	624	0.0004212604910214732
chr11	67184478	67303522	625	0.000692673798730339
chr11	69068573	69187616	627	0.0013103067089525894
chr11	69569842	69688885	628	0.0015775905189006787
chr11	70336478	70455522	630	0.0004640762545419602
chr11	71203150	71322193	632	0.00010089013872860112
chr11	76701764	76820807	639	7.618262526233402e-05
chr11	77434562	77553605	640	0.0008236384514923056
chr11	77724478	77843522	641	0.0007338139470611728
chr11	81735827	81854871	647	0.0005706617554276661
chr11	88333671	88452715	654	0.002549432480628135
chr11	100752457	100871500	656	0.005512205109859509
chr11	102125139	102244182	657	0.0005816038812070468
chr12	20344104	20463147	677	0.007077226769395121
chr12	44001521	44120564	685	0.005443582580384758
chr12	58152689	58271732	696	0.00010040052788069838
chr12	60042251	60161294	698	0.009434429529949254
chr12	65935599	66054642	699	0.0018860944637182236
chr12	69128478	69247522	702	0.0033816034734222692
chr12	69760361	69879404	703	0.0063206425583009224
chr12	126896478	127015522	714	0.01911885012728175
chr15	25969925	26088968	772	0.009999918512087244
chr15	52201922	52320965	779	0.0026829745657826294
chr15	53677211	53796254	781	0.011497952065585636
chr15	63790336	63909379	784	2.043807115331662e-05
chr15	71924030	72043073	788	0.002487589607984762
chr15	80167497	80286541	792	0.0002582817436602083
chr16	7732478	7851522	805	0.05976795835147504
chr17	32315098	32438248	826	0.036330620076412246
chr17	39080995	39200038	832	0.001514139154192323
chr17	39700478	39819522	834	2.6350558514686645e-05
chr17	46108860	46227903	838	0.0008179996235847975
chr17	47245218	47364261	839	0.0042641302069498024
chr17	48756478	48875522	840	0.011406927187422916
chr17	50552478	50671522	841	0.010681468177481895
chr17	58040789	58159832	845	0.022903385797343287
