chrom	start	end	name	score
chr1	151549752	151797157	13	0.006990902103127781
chr1	204393519	204512562	15	0.020592278106839175
chr1	160914013	161088587	17	0.01188096452315416
chr1	234903837	235022881	18	0.005085220670947516
chr1	150571678	150741615	20	0.02486224784237187
chr1	171732923	172364467	22	0.014889487942885292
chr1	154839176	155157122	23	0.01356246588289507
chr1	201938893	202057937	24	0.019863863034606508
chr1	153540304	153734176	26	0.006563950746085584
chr11	34672395	34791439	45	0.0012077708777239566
chr11	40096845	41086885	47	0.0013720755873363971
chr11	46293298	46643939	48	0.0011823404984290433
chr11	13513869	14247668	49	0.00035283512741162446
chr11	32068935	32537281	50	0.00023733976030175993
chr11	77540996	77660040	52	0.0020690125319710725
chr11	100071333	100456683	55	0.0012661758955358137
chr11	88179066	88819047	58	0.000539015318614701
chr11	81822736	82785608	59	0.0008529272584096513
chr11	73901947	74555388	60	0.0010023555780906707
chr11	102318256	102445858	61	0.0009235569222895494
chr11	61916375	62341111	62	0.0005095034676872125
chr11	65228434	65347477	64	3.852683458560418e-05
chr11	70165110	70284154	65	0.001718581405139353
chr11	91183729	91578517	66	0.0001212077879104668
chr11	70971824	71178480	69	0.0005939472599555173
chr11	69434720	69553763	72	0.0023332745553647245
chr11	66919618	67140796	73	0.0008914217214342634
chr11	72854062	73181590	74	0.0005755743461879379
chr12	25088072	25291758	77	0.007548461272689584
chr12	19777246	20304059	78	0.010936273096292951
chr12	4005735	4630644	80	0.0012021630077610006
chr12	27312183	27724555	82	0.00398168853894212
chr12	26308757	26427801	83	0.0027844654703814368
chr13	30777977	31270349	102	0.005249344454846854
chr13	73860342	73979385	103	0.001046554349083268
chr13	106659219	107933285	105	0.0017501746265375033
chr13	27726123	28583697	106	0.0020911705655730327
chr13	54542287	55760400	108	0.0010321205030501975
chr13	71624228	72471666	109	0.0009703465981028269
chr15	87405293	87541302	125	0.0049594846147232525
chr15	93255720	93374763	126	0.0020380991008248327
chr15	52141530	52835762	127	0.0013835449258227093
chr15	71820985	71940029	128	0.0013779319153809123
chr15	90660290	90871493	129	0.002263876493980872
chr15	25582394	25937167	130	0.004061075172326652
chr15	72595833	72930283	132	0.003777290811141382
chr16	11731483	11869700	135	0.012818905819839637
chr16	29044352	29740329	137	0.00584259429070088
chr16	18839445	19602747	139	0.002228194614564
chr16	4202082	4345377	140	0.0055271909147480945
chr17	67196640	67890043	151	0.007744193576971062
chr17	37814919	37933962	152	0.0024892887558124618
chr17	50404258	50789048	154	0.014893377475040383
chr17	73467763	73586807	156	0.00319196161095986
chr17	60648695	61741852	157	0.005540871243840763
chr17	46328894	46556435	158	0.0016606227971538692
