chrom	start	end	name	score
chr1	147194443	147313487	29	0.004711163948933633
chr1	150813077	150932121	31	0.006294431615763339
chr1	151845010	151964054	32	0.0033337253474720854
chr1	153959136	154078180	36	0.0005022302195601925
chr1	154947153	155066196	37	0.0035579838645869916
chr1	160033731	160152774	40	5.996366776391133e-06
chr1	161007968	161127012	41	0.002860088931900673
chr1	164117964	164237007	45	0.0051475724423911485
chr1	172168022	172287065	48	0.0007290928613072185
chr1	205342936	205461979	60	2.037481349509659e-05
chr1	239233116	239352159	70	0.03690331432900074
chr10	5036270	5155313	561	0.0023497255274934846
chr10	9202100	9321144	562	0.0004999509141088006
chr10	11908478	12027522	563	0.0003088983699651814
chr10	13662215	13781258	565	0.0004101394051942939
chr10	27295961	27415005	568	5.5093774830057546e-05
chr10	32296478	32415522	569	0.0005867031466387835
chr10	33215783	33334826	570	0.0006026125851151007
chr11	836478	955522	602	0.00028207359657241954
chr11	13076478	13195522	608	0.0004000988204395686
chr11	32204016	32323059	609	0.0002394833547570513
chr11	34705617	34824660	611	0.0006632379766136132
chr11	44224478	44343522	613	1.3854187506198652e-06
chr11	45971756	46090799	615	0.000327992575073258
chr12	872178	991221	665	0.00041095112076258754
chr12	1593479	1712523	666	0.0010505078964173637
chr12	4004449	4123492	668	0.004895787920898337
chr12	6564395	6683439	670	0.0011567464071512291
chr12	12161850	12280893	674	0.0005824817803388598
chr12	13501591	13620634	676	0.00018763906466337348
chr12	20344104	20463147	677	0.0031365932532113885
chr12	25283664	25403846	680	0.003022513716087803
chr12	26260478	26379522	681	0.002536154729765065
chr12	27514242	27633285	683	0.0012796092679122544
chr13	24672721	24791764	715	0.007658642524543717
chr13	27460478	27579522	716	0.031208420992946895
chr13	30771598	30898271	717	0.005584698068783371
chr13	39863756	39982799	719	0.0027072157609195225
chr13	44724478	44843522	720	0.0013824716060348583
chr13	73848478	73967522	725	0.03262054234039825
chr13	91796478	91915522	727	0.0008133697085918369
chr13	95944478	96063522	730	0.0007232056336262241
chr13	110265147	110384190	733	0.009928142765677168
chr13	110774596	110893639	734	0.003081395832285806
chr16	864478	983522	799	0.0009320244595332675
chr16	2930698	3049741	801	7.876736456487896e-05
chr16	4204478	4323522	802	0.000123190249177769
chr16	7732478	7851522	805	0.0033027953146095687
chr16	11380883	11499926	806	0.00048906381674772
chr16	11694292	11813335	807	0.0012628566448989415
chr16	28155216	28274259	811	0.0029737504424086404
chr16	68345739	68464782	814	0.000510280699421013
chr16	70915062	71034105	815	1.8182488248673313e-05
chr16	77963262	78082306	818	0.0002810592843350339
chr17	32315098	32438248	826	0.002571731763403504
chr17	36005703	36124746	829	0.003987095041097099
chr17	37797672	37916715	831	0.04432074154026387
chr17	39080995	39200038	832	0.0071285427429239245
chr17	39700478	39819522	834	2.899414134676565e-05
chr17	46108860	46227903	838	0.00032994053512145613
chr17	47245218	47364261	839	0.0034635330436947527
chr17	48756478	48875522	840	0.004542445756604123
chr17	50552478	50671522	841	0.002966504738089327
chr17	58040789	58159832	845	0.013975256195808026
chr17	63904546	64023589	848	0.00655612559338586
chr17	71306739	71425782	850	0.00021356692197947608
chr17	73405696	73524739	851	0.0003059540083449491
chr17	77736478	77855522	852	0.0005187937501214331
chr17	79708478	79827522	853	0.0009763315950201766
chr19	33667544	33786587	889	0.005371807893074343
chr19	35861811	35980854	891	0.0040386118256289065
chr19	38249755	38368798	893	0.0025125788205898544
chr19	39711092	39830136	894	0.002876929343376496
chr19	40125729	40244773	895	0.0009198970485345849
chr19	40900478	41019522	896	0.0006179412879327212
chr19	45077262	45196306	900	1.1145224852433743e-05
chr19	55950744	56069787	903	0.0013636866162560263
chr2	27637267	27756310	82	0.00016549537518602533
chr2	34287521	34406565	86	0.0020411972045577685
chr2	42137770	42256814	88	0.00041746174865833183
