chrom	start	end	name	score
chr1	4227963	4347006	0	0.0031898586739519353
chr1	6151201	6270244	1	0.0142041122288696
chr1	7942696	8061739	2	0.006631010529835686
chr1	10536421	10655465	3	0.002645322502356519
chr1	20879771	20998814	7	0.004746380222532629
chr1	26788020	26907063	10	0.018452927182397525
chr1	48934739	49053782	18	0.003047643494852013
chr1	50638878	50757921	19	0.0004535792041036201
chr1	71862795	71981839	22	0.0011618557446342246
chr1	92812308	92931351	23	0.004009032702074826
chr1	110857627	110976671	26	0.005926845848284498
chr1	143730831	143849955	27	0.00045693903340277096
chr1	154906118	155025161	30	0.0038766664550053463
chr1	162158802	162277845	34	0.0006059691853635723
chr1	166219019	166338063	35	0.0012178315469794955
chr1	189424363	189543407	39	0.002785033073996889
chr1	241427643	241546686	45	0.005028385507019337
chr1	246112518	246231561	48	0.0035175098970930472
chr10	22342056	22461100	329	0.0029395469383826493
chr10	24395920	24514963	330	0.004792258922216096
chr10	47608588	47727615	331	0.004400815048064908
chr10	51488559	51607602	334	9.350551475236884e-06
chr10	54584647	54703691	335	0.0007487173477634946
chr10	56643056	56777011	336	0.004106602909284244
chr10	63332718	63451762	338	0.00015210440830474176
chr10	66728824	66847867	340	0.0011319558271489266
chr10	74232720	74351764	342	0.0014481815351149929
chr10	75640715	75759758	345	0.0011435857932257446
chr10	76056393	76175436	346	0.0008822753309770593
chr10	88023240	88142283	350	0.030025843385832342
chr10	110932549	111051593	351	0.001112243117512001
chr10	112656489	112775532	352	0.0007352630892068138
chr11	40411372	40530415	358	0.005896652677313816
chr11	46206310	46325355	360	0.004842269626437927
chr11	62958560	63077843	363	0.018292943322933044
chr11	68642182	68761225	369	0.0100471287011999
chr11	70676579	70795622	373	0.005396192639044914
chr11	71861432	71980476	375	0.015488961308376112
chr11	76349454	76468498	378	0.002129610302987409
chr11	80558042	80677085	382	0.00953790739367601
chr11	82277673	82396716	383	0.0029088623100532924
chr11	84280308	84399351	385	8.110316297412645e-09
chr11	85986567	86105612	386	0.002417287106256292
chr12	979767	1098811	393	0.0008662779595576774
chr12	12519606	12638649	397	0.01917459262429784
chr12	16261347	16380391	398	0.01273172664434754
chr12	23695270	23814314	400	0.0008176243067945795
chr12	25730117	25849161	402	0.0015990316924686192
chr12	26511545	26630589	404	0.004152367050887421
chr12	45058695	45177739	405	0.008357921241848436
chr12	58086057	58205100	412	0.004818573569863753
chr12	66986441	67105485	414	0.003260379441109393
chr12	68202497	68321540	416	0.003266981374463417
chr13	32160562	32284541	424	0.004519818934009303
chr13	48367559	48486602	425	0.007570347846017967
chr13	48586342	48705386	426	0.00860180233751057
chr13	50327992	50447036	427	0.006089693448329131
chr13	83934035	84053078	429	0.001741864125656848
chr13	93558092	93677135	431	0.0012384370226044188
chr13	112049822	112168865	434	0.0017541171223611621
chr14	33242977	33362021	439	0.001621582042889503
chr14	40143320	40262364	443	0.005266860991091459
chr14	66969761	67088805	448	0.008015355168515845
chr14	67861761	67980805	450	0.004362221180261839
chr14	68523434	68642477	452	0.008418513127211947
chr15	31914076	32033119	459	0.00780592194990695
chr15	41672280	41791324	461	0.011140229987372192
chr15	52385692	52504735	463	0.00045314440412564923
chr15	57098702	57217745	464	0.00450708646538891
chr15	71612139	71731183	468	0.0008928921893779506
chr15	74689495	74808538	470	0.0018599402206046609
chr16	3594715	3713758	475	0.003100657699908783
chr16	6638122	6757165	478	0.0005149561398212578
chr16	23496965	23616009	483	0.008483384028169946
chr16	51528392	51647435	487	0.009298801068281154
chr16	72457097	72576140	491	8.012159136772211e-05
chr16	78659578	78778621	493	0.0024839724113805664
chr16	83075225	83194268	495	0.0031893778488280766
chr17	7597160	7716204	496	0.00843579487626518
chr17	8030064	8149108	497	0.004291567650035875
chr17	11976605	12095648	498	0.002827412710785298
chr17	33181460	33300504	499	0.01629408611094026
chr17	40104225	40223270	504	0.004108949358065054
chr17	41002709	41121752	505	0.016638121872146364
chr17	44303996	44423039	507	0.009597863534415493
chr17	46091301	46210344	508	0.00961917262705738
chr17	53002412	53121454	512	0.003989101970464331
chr17	55546270	55665314	513	0.0018309743757744196
chr17	57819117	57938161	514	0.0065004569594500974
chr17	60930886	61049929	516	0.001464949668836667
chr17	65472360	65591404	517	0.0024739415089667293
chr17	72474151	72593195	519	0.0008650526141054422
chr17	82458602	82577646	523	0.0004461951673164692
chr18	4054332	4177300	525	0.0016813690557681597
chr18	5228437	5347481	526	0.003677493572129583
chr18	8260480	8379524	528	0.0022448764413557703
chr18	9662154	9781198	529	0.004024466165622574
chr18	28647327	28766370	532	0.008694130724081183
chr18	51018108	51137152	538	0.008470160708872083
chr19	19073669	19192713	545	0.006005355394016826
chr19	33868186	33987230	547	0.008659518426180764
chr19	42919526	43038570	552	0.0033243432660308788
chr19	47250100	47369144	554	0.025499815747072083
chr2	3288707	3407751	49	0.00047793364312396163
chr2	9433982	9553025	51	0.0006283094267061224
chr2	43295581	43414624	59	0.005680059840093717
chr2	45880940	45999984	60	0.0010629507001412835
chr2	54845768	54964812	62	0.001742267822192394
chr2	111082901	111201945	74	0.0009316625059870967
chr2	133062905	133181950	79	0.002624517583216498
chr2	135370908	135489952	81	0.005830122097503481
chr2	138362361	138481404	83	0.004827428977321312
chr2	141082909	141201953	85	0.009528360577958304
chr2	148208375	148327419	87	0.0045992486185373925
chr2	159062302	159181346	91	0.0006704472060245395
chr2	184287751	184406795	94	0.002455255199438003
chr2	194882637	195001680	97	0.0025065512893242274
chr2	204971768	205090810	101	0.0007570805402518261
chr2	211550386	211669429	102	1.1950824609531017e-05
chr2	212727680	212846723	103	0.0013914468238843
chr2	213835736	213954779	105	0.004903449384589975
chr2	232701653	232820697	107	0.001312151999732315
chr2	233221998	233341042	108	0.006586685999202142
chr2	235885002	236004045	109	0.000533199888562943
chr20	14875832	14994876	555	0.0033285187119077727
chr20	40202721	40321764	558	0.012923612389376928
chr20	55407792	55568316	564	0.0029100589945760696
chr21	20624165	20743204	566	0.002648924547219113
chr21	23336110	23455156	567	0.0025556895193902486
chr21	34942563	35061606	569	0.0023161084150757896
chr22	22659401	22778424	570	0.0025227179769102682
chr22	28878001	28997044	572	0.007381275189429415
chr3	4542794	4661838	111	0.0016523335916775702
chr3	50642090	50761133	120	0.0190547910416736
