chrom	start	end	name	score
chr1	6118592	6395445	0	0.002433319420241829
chr1	26765165	26906165	3	0.00431214475428132
chr1	72225550	72366550	5	0.0036716030185382433
chr1	246224687	246365687	6	0.0018143407709711216
chr1	115126971	115591715	7	0.0031729045430237937
chr1	93215904	93356904	11	0.004856906334555376
chr1	51202377	51343377	12	0.002661746669011454
chr1	193037809	193178809	13	0.0025148605694648466
chr1	157400549	157611494	17	0.0022187275010920717
chr1	241648450	241880032	18	0.0021552786463514945
chr1	189420079	189561079	20	0.0026333204212447094
chr1	149146937	149287937	21	0.001490629160349024
chr1	7866420	8397922	23	0.002555775119398696
chr1	210428541	210845018	24	0.004031640699261241
chr1	15050882	15202372	27	0.0027003550243450834
chr1	49522233	49756009	28	0.002230992802415153
chr2	141844145	141985145	32	0.008895521849357432
chr2	233930477	234071477	37	0.001616918217925966
chr2	133705319	133846319	39	0.0030298046004461746
chr2	213732585	213873585	40	0.0018541805752241563
chr2	187105555	187246555	41	0.0026748373835853885
chr2	136447571	136615034	42	0.003065213552898345
chr2	206045306	206186306	47	0.001967601824443929
chr2	43481708	43625371	48	0.0034934869910737036
chr2	148816978	148957978	49	0.003207518550972448
chr2	195844393	196110020	52	0.0018163671130100448
chr2	213075568	213216568	56	0.0016988720872023078
chr2	78138041	78334661	58	0.0033396915373010176
chr2	233432808	233573808	59	0.0017150370313642872
chr2	54780477	55080955	61	0.0026166230955396853
chr2	214096326	214237326	63	0.0015970184126839885
chr2	9464280	9605280	64	0.002865852631516583
chr3	60399203	60540203	66	0.009734332336526505
chr3	116534042	116675042	67	0.006709326562853197
chr3	174773018	174914018	70	0.002934750468207158
chr3	50988918	51423609	71	0.004926204189796898
chr3	188160870	188313154	72	0.002862425436361438
chr3	71258899	71399899	75	0.0050044039482956965
chr3	162700762	163366556	84	0.002191121128297794
chr3	4387360	4546453	86	0.0019669194933982868
chr3	136069275	136246483	87	0.003671548388906581
chr3	9101645	9242645	89	0.0019263140672046751
chr3	11555137	11696137	91	0.0021351360072369295
chr3	168948375	169089375	92	0.001392063427460294
chr4	182130967	182271967	98	0.01020090880217863
chr4	91766933	91907933	99	0.0116441398933888
chr4	33825033	33966033	100	0.004753236249600054
chr4	19523392	19664392	101	0.0031241079649116195
chr4	9986850	10127850	112	0.0030846726344453566
chr4	21382256	21550920	113	0.0029293892345317704
chr4	20483424	20655019	117	0.002896083901658795
chr4	187427971	187645049	120	0.0068220067738304305
chr5	59241761	59382761	121	0.004422488941523351
chr5	6490566	6694085	124	0.0028411343550533113
chr5	58483500	58624500	125	0.0038534919669838534
chr5	165565268	165706268	126	0.00462627598227135
chr5	100095709	100636818	128	0.006086396404003746
chr5	15976303	16611834	129	0.0026523059983614983
chr5	31782617	32232159	130	0.00260773412228076
chr5	131047492	131643543	131	0.005226855821585285
chr5	56156793	56425069	138	0.0032689205319063534
chr5	27298377	27745852	144	0.0024929280057626774
chr5	24750297	25225981	146	0.002519085782560099
chr5	67331017	67984673	147	0.00485692754225317
chr6	162653943	162794943	151	0.006132148260151465
chr6	1893309	2034309	154	0.003925139029597944
chr6	27796277	28567985	161	0.004319335932982058
chr6	68415991	69162546	164	0.005742045131655585
chr6	157262562	157403562	165	0.004476594623486888
chr6	168363978	168504978	167	0.003441074334519881
chr6	14822765	15977372	169	0.003521449473781382
chr6	38071823	38553379	171	0.004878055723451659
chr6	101233320	101374320	172	0.009018702944918593
chr7	110382224	110523224	175	0.005449740951044498
chr7	152392709	152567773	179	0.0024778126653374976
chr7	33513250	33695242	180	0.004432910658561027
chr7	3872939	4013939	181	0.0030978819903002487
chr7	69955574	70111887	182	0.005128983621928877
chr7	101633751	101806675	183	0.003762361082665788
chr7	83386402	84366608	184	0.003369429817602357
chr7	7666975	8094831	188	0.0031613882107795043
chr7	89642667	89917547	189	0.00300385094495733
chr7	127341150	127648524	193	0.004399992958662668
chr7	50773001	50954051	196	0.004655852868006489
chr7	151723118	152094297	197	0.002514339684699172
chr8	22401679	22796792	198	0.012007054497007119
chr8	3732135	3873135	201	0.011179777184780684
chr8	36460754	36723721	205	0.008683706396093113
chr8	90326914	90467914	206	0.008508853290986662
chr8	141016340	141217041	213	0.0050751540856778755
chr9	21931995	22072995	219	0.01544595654047231
chr9	9405482	9546482	221	0.0038375579312899515
chr9	17409133	17618647	228	0.0026362021880353037
chr9	28119328	28279217	229	0.003227946876115888
chr9	132698519	133248120	235	0.012346826088864678
chr9	11092172	11347402	236	0.0023713556689936408
chr9	26418174	26597347	241	0.003782599792644728
chr9	4034087	4175087	242	0.0018061003681289552
chr10	89753448	89894448	246	0.01223832729008697
chr10	47378775	47646285	250	0.0033823827181759707
chr10	68284450	68447451	255	0.002970438813971282
chr10	75999685	76150799	256	0.003178045510303283
chr10	22208184	23038764	257	0.011084814547093057
chr10	77936889	78086801	258	0.003323078154452337
chr10	53140318	53436384	259	0.003180570346536671
chr10	65069765	65376368	263	0.0027910532711582395
chr10	58715137	59037978	264	0.0033058348027676433
chr11	113896879	114128612	267	0.006710810413741213
chr11	63887104	64093015	268	0.004101067629483921
chr11	80464813	80605813	270	0.003294244180435764
chr11	68165859	68306859	272	0.0029786476058681903
chr11	40071603	41132766	275	0.014684274723907731
chr11	78617348	79004338	279	0.002308355466362438
chr11	75969261	76743556	284	0.002290022623071316
chr11	83785673	84051896	289	0.003339590116496673
chr11	70977173	71176044	291	0.0029376918776230884
chr11	69974190	70115190	293	0.002809840817555122
chr12	12875731	13058033	296	0.00536836080884063
chr12	25632850	25966968	300	0.0031726837424102916
chr12	99649054	99790054	304	0.007799515217977437
chr12	24091349	24232349	310	0.003912430284205407
chr12	58248914	58557850	312	0.0061054114010908565
chr12	75205901	75608059	313	0.006017464149440089
chr12	69419061	69662650	316	0.004397479307391589
chr12	26596810	26895182	325	0.0035509688468879893
chr12	12602842	12743842	326	0.005130231696301165
chr13	48925622	49066622	327	0.012093041538501879
chr13	32736033	32877033	330	0.00819993252158407
chr13	50802352	51063247	332	0.010633739841459102
chr13	94201503	94342503	333	0.006656282858859947
chr13	84243411	84915675	334	0.007871548694140456
chr14	68732219	68873219	336	0.00934751178165303
chr14	33687947	33828947	341	0.006740925094062721
chr14	67290915	67475407	347	0.008342622534748125
chr14	61206566	61423903	349	0.007963236836029149
chr14	27630951	28411763	355	0.00644348670628157
chr14	40715875	40921478	356	0.006616762501770862
chr15	74916448	75260933	359	0.010048001512403417
chr15	57432723	57573723	360	0.012628178599320567
chr15	32147471	32288471	361	0.013683241111007244
chr15	71704829	71845829	362	0.009095124231814224
chr16	78641195	78782195	369	0.01155076472097739
chr16	6681056	6822056	370	0.010469502929136804
chr16	3692818	3833818	375	0.006610714786651225
chr16	83553835	83694835	377	0.008291913661299348
chr16	53802885	54076018	383	0.008531649356480682
chr17	7531252	7672252	389	0.011444272434541934
chr17	11767123	12076151	391	0.0097328002406556
chr17	55914102	56055102	392	0.0021077320625577396
chr17	70471608	70733227	395	0.0020357407937915267
chr17	44205788	44346788	396	0.002976667500919864
chr17	63486147	63627147	397	0.0018683579271690698
chr17	53412316	54105455	398	0.001989483247813917
chr17	37540871	37681871	399	0.002611105842941629
chr17	59019633	59333741	401	0.0016638853178093244
chr17	39053471	39323016	402	0.0028408251597749775
chr17	42282701	42447351	403	0.0028587284002147277
chr17	32929645	33256570	404	0.003324946526355148
chr18	7522145	8245821	406	0.007870362463603982
chr18	34004419	34145419	408	0.006621090032773822
chr18	48533244	48674244	409	0.01071913287755151
chr18	36999850	37140850	410	0.006887076819527965
chr18	3797708	4112784	414	0.0069942793031185025
chr18	26456356	27079400	416	0.0063626039579696755
chr19	12925839	13150502	421	0.009967686454421702
chr19	37243561	37549854	422	0.0069597869993334276
chr19	11374573	11645300	425	0.010272873037676683
chr19	42950350	44015581	428	0.011163418635844692
chr19	34017260	34207143	429	0.0070907803272689494
chr20	14905051	15046051	430	0.016527445329149397
chr20	15109109	15257972	433	0.012937000309502338
chr20	54215205	54426275	435	0.007272483024728078
chr20	45275330	45917672	436	0.008717616791165643
chr21	30558627	30823800	439	0.014825799727216003
chr21	36292771	36433771	440	0.0148200518079185
chr21	20988059	21625471	443	0.01580869391941095
chr22	29248797	29389797	445	0.011764011640759192
chr22	34011817	34152817	446	0.011132076035489094
chr22	25761516	25902516	448	0.010709291694313887
chr22	40458586	40685336	452	0.011849166083983282
chrX	7343600	7484600	453	0.00836998295015446
chrX	32811563	32952563	454	0.007400070762900232
chrX	41081871	41606695	455	0.00657549417823405
chrX	89753006	90180609	456	0.008148875445223282
chrX	31702369	31880103	457	0.006862822505523686
chrX	96362616	96503616	459	0.008097299612509747
