chrom	start	end	name	score
chr1	10750351	10869394	6	0.001537456587967902
chr1	15648578	15767621	8	0.0031652902419985044
chr1	201122578	201241621	56	0.06458124294729278
chr11	76990720	77109761	639	0.001676478280140502
chr11	77723517	77842559	640	0.010066050400421314
chr11	78013432	78132476	641	0.0020293438291226025
chr12	57758906	57877949	696	0.00039371127877880054
chr12	59648470	59767513	698	0.006157132420125508
chr12	65541819	65660862	699	0.00804800124806831
chr12	68734698	68853742	702	0.01442936687323872
chr12	69366581	69485624	703	0.026970303013094034
chr17	37645674	37764763	829	0.06248566410715068
chr19	33176638	33295681	889	0.006727625522948208
chr19	35370909	35489952	891	0.008878078173440213
chr19	37759115	37878158	893	0.01959600454572743
chr19	39220452	39339496	894	0.0006819594886756008
chr19	39635089	39754133	895	0.00742233007746741
chr19	44574014	44693036	900	0.0003647626352132005
chr2	141840520	141959563	121	0.00735636943177291
chr2	218290912	218409955	151	0.018436968979695725
chr20	47378346	47497389	913	0.00830039561193841
chr20	49612022	49731066	914	0.0004623730392956006
chr20	50133438	50252481	915	0.006736527540822108
chr20	50407941	50526985	916	0.012179744710062116
chr20	51859939	51978983	917	0.002869334742734804
chr20	53711224	53830267	919	0.03195907688392754
chr20	57415917	57534961	921	0.009275449226624112
chr3	99121232	99240275	188	0.435577799906915
chr7	92743265	92862308	439	0.04827624922558706
chr7	99207321	99326364	440	0.026906204681910136
chr7	99989659	100108702	441	0.002789847138826104
chr8	102316250	102435294	501	0.1436628572090166
