chrom	start	end	name	score
chr1	10855454	10996454	OG15	4239
chr1	16131975	16276281	OG33	4184
chr1	21718597	21926345	OG37	4016
chr1	24520964	24728815	OG29	4051
chr1	31885955	32026955	OG18	4582
chr1	33523082	33795480	OG36	4754
chr1	40125950	40267175	OG32	5481
chr1	41358977	41499977	OG0	5517
chr1	43837422	44103803	OG26	5366
chr1	46966151	47107151	OG34	5167
chr1	56154147	56671449	OG16	4994
chr1	61937528	62296800	OG30	4997
chr1	115564012	116094318	OG38	4800
chr1	147065974	147206974	OG27	9824
chr1	150569391	150710391	OG17	10302
chr1	151542552	151683552	OG1	10239
chr1	153712188	153853188	OG35	10139
chr1	154983511	155124511	OG11	10132
chr1	156020252	156161252	OG19	10035
chr1	158351130	158623569	OG41	9897
chr1	160960927	161101927	OG9	10124
chr1	168867968	169008968	OG42	9773
chr1	172301814	172543614	OG14	9799
chr1	180460278	180601278	OG40	9524
chr1	183140311	183323562	OG5	9542
chr1	201924469	202065469	OG25	9362
chr1	204361635	204502635	OG6	9571
chr1	234889836	235030836	OG10	9340
chr10	5158618	5299618	OG383	5278
chr10	8968620	9240181	OG390	5273
chr10	11861645	12002645	OG408	5194
chr10	13378934	13921184	OG401	5172
chr10	32344531	32489806	OG415	5030
chr10	33138220	33279220	OG389	5041
chr10	47298718	47488529	OG396	4143
chr10	51431472	51572472	OG406	4065
chr10	55228077	56033421	OG393	4052
chr10	61644104	61785104	OG395	4156
chr10	63543799	63808156	OG384	4148
chr10	65543305	65684305	OG404	4115
chr10	73764054	74201943	OG403	4082
chr10	76743905	76928280	OG387	4279
chr10	77094036	77235036	OG414	4271
chr10	79480255	79742343	OG382	4253
chr10	88367028	88657824	OG410	3526
chr10	113587401	114148132	OG412	3577
chr10	123032164	123217193	OG391	3766
chr11	13566436	14124443	OG433	4432
chr11	32059281	32237981	OG437	5001
chr11	34649578	34790578	OG420	5251
chr11	46218121	46657643	OG432	5052
chr11	61117072	61258072	OG451	5558
chr11	62102813	62243813	OG430	5612
chr11	63668893	63809893	OG444	5703
chr11	65215750	65356750	OG429	6014
chr11	67002528	67143528	OG424	6631
chr11	69435435	69576435	OG457	7945
chr11	70147052	70288052	OG440	7791
chr11	72463485	72604485	OG438	6483
chr11	73930417	74289612	OG426	6459
chr11	77761775	77902775	OG416	6658
chr11	79497668	79747151	OG441	6229
chr11	81033478	81397683	OG455	6020
chr11	85089060	85619168	OG442	5676
chr11	86750812	87138491	OG456	5592
chr11	88482128	88698087	OG423	5514
chr11	91265831	91453418	OG435	5334
chr11	96111991	96856471	OG453	5118
chr11	101411357	101597167	OG419	5285
chr11	102344393	102485393	OG439	5231
chr11	118286578	118427578	OG450	4317
chr11	121160585	121301585	OG443	4327
chr12	533853	785807	OG490	7352
chr12	1607878	1793710	OG464	7366
chr12	4464647	4740102	OG485	7309
chr12	6407390	6554798	OG471	7223
chr12	11915534	12160682	OG482	6893
chr12	14699597	15538883	OG489	6916
chr12	25136473	25277473	OG460	7516
chr12	26186655	26327655	OG481	7483
chr12	27276462	27604497	OG466	7382
chr12	46649996	47067234	OG463	6063
chr12	48034439	48175439	OG491	6019
chr12	52491400	52659261	OG475	5951
chr12	53325068	53466068	OG484	5945
chr12	54466204	54607204	OG488	5986
