chrom	start	end	name	score
chr1	150599202	150769139	16	0.039430081773478454
chr10	8812766	9282706	249	0.037156398570458056
chr10	11633710	12122522	255	0.007276047914634711
chr12	19624312	20151125	293	0.036086201332380156
chr12	59754080	60092039	298	0.050707815262259676
chr16	11637627	11775844	359	0.08302988821903112
chr16	52265164	52702418	364	0.07761703357790521
chr16	77887628	78006671	366	0.000688591354486701
chr16	79217842	79336885	363	0.000688591354486701
chr17	39658666	39777709	375	0.06189697874897989
chr17	52326898	52711688	377	0.09881478697273854
chr17	62571334	63664492	382	0.035687010112845446
chr19	33028459	33325884	410	0.0008209465235908012
chr19	34977767	35361113	417	8.758243823846165e-05
chr19	37298703	37801292	408	0.0001512433581230002
chr19	39174301	39369276	411	0.00016121879170040025
chr2	115361023	115746221	32	0.006394376811441309
chr2	122445691	123519575	42	0.02077223675104963
chr2	139895344	140296379	53	0.010294458136651516
chr2	176734215	177614813	33	0.004153209756767606
chr2	190189956	190667595	30	0.011961323693460818
chr2	194224646	195113419	41	0.01284617973578292
chr20	10885934	11882474	426	0.05980666051008878
chr20	53518081	53637124	434	0.08704182384151453
chr3	101273206	102725691	84	0.008480010154335112
chr3	107913121	108032165	78	0.01462091659756242
chr3	115430929	116254291	88	0.03241030681033335
chr5	14069683	14427092	141	0.011201963844464315
chr5	21982079	23108832	121	0.01292204924451232
chr5	28006282	29170486	140	0.013211630477239519
chr5	35617386	37519978	146	0.004119700573297506
chr5	36156759	36428058	129	0.004037973825525006
chr5	127745205	127943299	142	7.664254812729694e-05
chr5	138220444	138824105	123	0.00016355517478990023
chr5	149551455	149680855	131	4.572663468323158e-05
chr5	165806843	166172416	124	0.0003938114523265005
chr6	30607414	30799650	158	0.0017595463666427026
chr6	41827713	42175432	163	0.004933571763166507
chr6	43791654	43910698	148	0.005421833161630008
chr6	46874360	47153180	159	0.005488700441202508
chr6	53000850	53704020	151	0.005351267316406608
chr7	98914052	99856425	177	0.04622710320013907
chr7	116690916	116873158	190	0.03372221683346755
chr7	144518649	144740044	187	0.05184078803805408
