chrom	start	end	name	score
chr1	157555762	158038113	17	0.3028509039108295
chr10	58218870	58714895	243	0.3475361059281886
chr3	60412240	60531283	62	0.0236536065292776
chr3	71264717	71383760	69	0.006674268776348658
chr5	6112570	6656833	125	0.0008769511793005122
chr5	15894084	16736119	133	0.0008293260759409635
chr5	25934230	27020948	127	0.0010623224090494634
chr5	31938679	32973100	135	0.00026041200687273525
chr6	38059700	38619466	170	0.13893212033730237
chr6	45107899	45651436	164	0.1773239828468897
