chrom	start	end	name	score
chr11	45909793	46380892	264	0.06808317908990423
chr11	62917530	63417759	261	0.008552833519630203
chr11	64834782	65299118	273	0.006618742092672702
chr11	68366049	68573542	266	0.015578746669081307
chr11	72312230	72601976	289	0.015578746669081307
chr11	76135686	77281730	279	0.007326143685579904
chr12	66744481	67100482	313	0.09033876849848274
chr17	40913090	41258653	376	0.005800985955481203
chr17	43964776	44242707	379	0.013895487661381706
chr2	212877996	212997143	34	0.1799103927733482
chr2	232977769	233156653	37	0.006114631626727303
chr4	81087817	82202610	108	0.33052040062222016
chr5	100740256	101471280	136	0.251680941136409
