chrom	start	end	name	score
chr1	40434842	40770691	0	-0.00019611341341845353
chr1	106869942	108231644	6	-0.0005089218148576324
chr1	31805355	32202812	8	-0.0006318313197400811
chr1	10824979	10988820	9	-0.0005060514170901241
chr1	61572512	62827216	10	-0.0006445384933720894
chr1	46707151	46967620	11	-0.0005258279615449871
chr1	24603397	25020960	12	-0.0005834618193615997
chr1	151549752	151797157	14	0.0008139833264973116
chr1	204393519	204512562	16	0.000829611870961136
chr1	160914013	161088587	18	0.0009022911781090255
chr1	155736873	156034001	19	0.0008077129206939714
chr1	234903837	235022881	20	0.0009969364245289748
chr1	150571678	150741615	22	0.001025936747299947
chr1	171732923	172364467	24	0.0009458941626334359
chr1	154839176	155157122	25	0.0007588563062891684
chr1	201938893	202057937	26	0.0008088224566623615
chr1	153540304	153734176	28	0.0007707936868075388
chr10	5019540	5275655	29	0.000866609338372337
chr10	32162300	32813035	30	0.0010044082469679093
chr10	8854729	9324669	31	0.0008529235637728235
chr10	11675709	12164521	32	0.000781416723820205
chr10	63080956	63794123	35	5.929178768978283e-05
chr10	76654523	76935967	38	0.0003738729964163868
chr10	54960117	56167514	40	-0.00019739336912794997
chr10	61702484	61821527	41	-0.00023931104888501393
chr10	83068024	84207260	43	-0.00010783627317497718
chr10	47408334	47827719	44	-0.0001074963298406237
chr10	126144907	126666595	45	0.00012530787744813746
chr10	65364015	65713333	46	-0.0002626088074915848
chr10	79624190	79947792	47	0.00017707490527738752
chr10	77060107	77208323	48	-0.00021170448365185184
chr11	34672395	34791439	49	0.0002329233094735088
chr11	40096845	41086885	51	-0.0003145654216230152
chr11	46293298	46643939	52	0.00017670083042862583
chr11	13513869	14247668	53	-0.0002711605865631174
chr11	32068935	32537281	54	-0.0001745062537726206
chr11	77540996	77660040	56	0.000407223340247848
chr11	100071333	100456683	59	0.00020167168994800858
chr11	88179066	88819047	62	3.7997150137966454e-05
chr11	81822736	82785608	63	0.0001823965348049437
chr11	73901947	74555388	64	0.00015909135683488582
chr11	102318256	102445858	65	0.00010350043148152897
chr11	61916375	62341111	66	0.00011821550736490236
chr11	65228434	65347477	68	-9.722488913134417e-05
chr11	70165110	70284154	69	0.0006199869239864142
chr11	91183729	91578517	70	-9.722488913134417e-05
chr11	70971824	71178480	73	5.7243715813860165e-05
chr11	69434720	69553763	76	0.0011686819374148874
chr11	66919618	67140796	77	0.0002594559644611015
chr11	72854062	73181590	78	0.00020767449414140746
chr12	25088072	25291758	81	0.0016664608585774167
chr12	19777246	20304059	82	0.0011421176656366827
chr12	4005735	4630644	84	0.0005439041221682352
chr12	27312183	27724555	86	0.0008172358298044565
chr12	26308757	26427801	87	0.0007055311995795674
chr12	6495089	6729835	88	0.0005411984533434009
chr12	750855	984603	89	0.0006180113639971912
chr12	58142641	58261684	90	-0.00020407479134701566
chr12	46271490	47236325	91	-6.156946763236063e-05
chr12	125136985	125256028	92	-0.0002888626188335326
chr12	60147861	60485820	93	-0.00013719845469543194
chr12	56477038	56596081	96	-0.00025883627096560203
chr12	48096881	48215924	97	-0.000323391919312811
chr12	65893626	66407162	99	-3.136533902121056e-05
chr12	52494771	52613815	100	-0.00026507694184927576
chr12	95808951	96199625	102	-0.00029428239203356564
chr12	67641689	67887068	105	-0.000330318781579945
chr12	69094532	69213575	106	-0.0003723136975293285
chr12	69490369	69636780	107	0.001419997308594485
chr13	30777977	31270349	109	0.0013014184748254304
chr13	73860342	73979385	110	0.0010537436254620253
chr13	106659219	107933285	112	0.0007851495799752473
chr13	27726123	28583697	113	0.0009283171274036487
chr13	54542287	55760400	115	0.0008342527932425205
chr13	71624228	72471666	116	0.0007569110059866533
chr14	35775195	35986175	117	-5.127626284674677e-05
chr14	50417151	50545245	119	0.00014418298820721297
chr14	26800466	27255014	120	-2.9524727467821548e-05
chr14	69002184	69121227	121	-0.0002589662603076823
chr14	37812674	38058478	122	-8.344180135467872e-05
chr14	77434967	77554011	123	-0.00025572950357866515
chr14	31251044	32181349	125	3.4348144366445675e-05
chr14	68520666	68680640	126	-0.0002589662603076823
chr14	41913376	42582518	128	-0.00011198537530578506
chr14	103578138	103790283	129	-0.00023357018703747928
chr14	23728314	24063263	130	-0.00024232279428523787
chr14	61940424	62059467	131	-0.0002589662603076823
chr14	105063008	105441266	133	-0.0002589662603076823
chr15	87405293	87541302	135	0.00016775446961124482
chr15	93255720	93374763	136	0.0003261618801736109
chr15	52141530	52835762	137	0.0002479538057304611
chr15	71820985	71940029	138	0.0003236381970478654
chr15	90660290	90871493	139	0.0006364480073724888
chr15	25582394	25937167	140	0.00016775446961124482
chr15	63556498	64026758	141	0.0002666681047700343
chr15	72595833	72930283	143	0.0002593673478396937
chr15	53463596	53760395	144	0.00016775446961124482
chr16	11731483	11869700	148	0.00034129392910429177
chr16	29044352	29740329	150	0.00012697394779444786
chr16	1995842	2383828	152	7.39254501770581e-05
chr16	18839445	19602747	153	0.0001535077301021721
chr16	4202082	4345377	154	3.858242959418568e-05
chr16	79251739	79370782	157	-0.0004951603990488644
chr16	52299076	52736330	158	-0.00042994242743107306
chr16	77921525	78040568	160	-0.0004670424608207139
chr16	69347010	69847488	161	-0.00039922410464674266
chr17	67196640	67890043	166	0.000831507571333614
chr17	37814919	37933962	167	0.003768867497419635
