chrom	start	end	name	score
chr1	10824979	10988820	21	0.0020155025545725664
chr1	24603397	25020960	26	0.0008560128345863395
chr1	31805355	32202812	18	0.002050230008758851
chr1	40434842	40770691	0	0.017625447782989873
chr1	46707151	46967620	25	0.0040052496723924575
chr1	61572512	62827216	23	0.0011940854492732541
chr1	106869942	108231644	14	0.002290432330695529
chr1	150571678	150741615	16	0.006362494370250082
chr1	151549752	151797157	1	0.002700663472858345
chr1	153540304	153734176	28	0.0019395009926917134
chr1	154839176	155157122	20	0.0012322529317897654
chr1	155736873	156034001	9	0.0014201503944924704
chr1	160914013	161088587	8	0.00414493036475167
chr1	171732923	172364467	19	0.002760325356746317
chr1	201938893	202057937	22	0.0031419190963208367
chr1	204393519	204512562	4	0.003562742533375792
chr1	234903837	235022881	10	0.0008258557888738478
chr10	47408334	47827719	253	0.007776490861221332
chr10	54960117	56167514	248	0.001957652817706522
chr10	61702484	61821527	250	0.0013970432179093045
chr10	63080956	63794123	242	0.006058981467797433
chr10	65364015	65713333	256	0.001468875622799878
chr10	76654523	76935967	245	0.005561320103213578
chr10	77060107	77208323	258	0.0009487940941927361
chr10	79624190	79947792	257	0.005188779766164389
chr10	83068024	84207260	252	0.0031792126847015726
chr10	126144907	126666595	254	0.002338688568865925
chr11	13513869	14247668	278	0.0009196295519022513
chr11	32068935	32537281	281	0.002072125988608125
chr11	34672395	34791439	263	0.004038003484636096
chr11	40096845	41086885	269	0.001868386669362733
chr11	46293298	46643939	274	0.005426574487446108
chr11	61916375	62341111	272	0.005517486370543876
chr11	65228434	65347477	275	0.00047616514606862846
chr11	66919618	67140796	286	0.006780699871247452
chr11	69434720	69553763	285	0.014152554113228171
chr11	70165110	70284154	276	0.010253658301037943
chr11	70971824	71178480	282	0.0018033739245257295
chr11	72854062	73181590	288	0.0023884682374141204
chr11	73901947	74555388	270	0.0024850213400721102
chr11	77540996	77660040	259	0.009710580260651878
chr11	81822736	82785608	268	0.003501789576424144
chr11	88179066	88819047	267	0.0018066536770032344
chr11	91183729	91578517	277	0.001132396718712798
chr11	100071333	100456683	262	0.003247043724352916
chr11	102318256	102445858	271	0.0022868236776743055
chr12	750855	984603	315	0.0020928859107386517
chr12	4005735	4630644	295	0.005938207092198828
chr12	6495089	6729835	312	0.0006763394244329172
chr12	19777246	20304059	293	0.008782616332546022
chr12	25088072	25291758	291	0.007858667059077073
chr12	26308757	26427801	311	0.003015221398383175
chr12	27312183	27724555	300	0.00416403962402293
chr12	46271490	47236325	296	0.0022905330451262456
chr12	48096881	48215924	304	0.0005428511937202575
chr12	52494771	52613815	307	0.0009303410247934178
chr12	56477038	56596081	303	0.0007394965204700924
chr12	58142641	58261684	292	0.001805390596022963
chr12	60147861	60485820	298	0.00468141577599486
chr12	65893626	66407162	306	0.010078484915494517
chr12	67641689	67887068	314	0.0021609419179211956
chr12	69490369	69636780	317	0.0181467836563011
chr12	95808951	96199625	309	0.0020332641447330115
chr12	125136985	125256028	297	0.00041652708416334267
chr13	27726123	28583697	323	0.0022139376497900837
chr13	30777977	31270349	319	0.0028996870308861237
chr13	54542287	55760400	325	0.0005708350606049086
chr13	71624228	72471666	326	0.001900488218490208
chr13	73860342	73979385	320	0.0011728065373790555
chr13	106659219	107933285	322	0.0016277163908105063
chr14	23728314	24063263	340	0.003949234699761393
chr14	26800466	27255014	330	0.002666488567171271
chr14	31251044	32181349	335	0.0045429622104136355
chr14	35775195	35986175	327	0.0035918307582006818
chr14	37812674	38058478	332	0.00555450429512799
chr14	41913376	42582518	338	0.0014433088021258084
chr14	50417151	50545245	329	0.004525071422819959
chr14	61940424	62059467	341	0.00022895119514242422
chr14	77434967	77554011	333	0.0006642093804729637
chr14	103578138	103790283	339	0.0012224864795898713
chr14	105063008	105441266	343	0.0007888261941161408
chr15	25582394	25937167	350	0.0018464201315797617
chr15	52141530	52835762	347	0.0024342053546445148
chr15	53463596	53760395	354	0.0005096345166609026
chr15	63556498	64026758	351	0.0004921698692890835
chr15	71820985	71940029	348	0.0014437575375933246
chr15	72595833	72930283	353	0.0011508328426849178
chr15	87405293	87541302	345	0.0025651726432176568
chr15	90660290	90871493	349	0.0027048881062982214
chr15	93255720	93374763	346	0.003900804269177612
chr16	1995842	2383828	368	0.004897154307161895
chr16	4202082	4345377	373	0.0012298166912869753
chr16	11731483	11869700	359	0.004592609426355128
chr16	18839445	19602747	369	0.001651484030358257
chr16	29044352	29740329	362	0.0021936356729779197
chr16	52299076	52736330	364	0.005012609302757355
chr16	69347010	69847488	370	0.011325460093550352
chr16	77921525	78040568	366	0.0005038897357165341
chr16	79251739	79370782	363	8.162947580020967e-06
chr17	31063757	31344450	384	0.0054866266502114685
chr17	36040114	36220312	388	0.0005543271923477702
chr17	37814919	37933962	375	0.018219741375034113
chr17	46328894	46556435	383	0.005869386947215794
chr17	48593060	48789511	386	0.003517556147062991
chr17	50404258	50789048	377	0.00831744781458646
chr17	60648695	61741852	382	0.013844127265621745
chr17	67196640	67890043	374	0.010733951506938979
chr17	73467763	73586807	381	0.008940420767097234
chr17	77734233	78056848	390	0.0033085756643390744
chr18	3374767	3499942	396	0.007865610870701176
chr18	9476695	10938627	406	0.0019199785017497218
chr18	23949750	24141972	402	0.0002055804060335627
chr18	26210717	26526222	395	0.00012749445511857146
chr18	28881754	29267781	401	0.00013810662349281652
chr18	31803833	32874747	405	0.0002605847099033439
chr18	41082209	41923817	398	0.0001101588049824087
chr18	46153969	46615826	404	4.8907906850558145e-05
chr19	9139027	9267988	418	0.002161603837636805
chr19	10736375	10946734	409	0.004611577926054894
chr19	13336475	13584705	416	0.004130206922439133
chr19	15320331	15478451	407	0.012191831027485887
chr19	33519365	33816790	410	0.006026143241711788
chr19	35468671	35852015	417	0.003145928849699896
chr19	37789605	38291932	408	0.008168654903237553
chr19	39664941	39859916	411	0.011716357257231283
chr19	45197410	45316453	412	0.0038785077483029116
chr2	103076527	103501295	38	0.0016359564125463777
chr2	114022993	114142037	35	0.0008753952482507018
chr2	116118599	116503797	32	0.003311123919549023
chr2	117826949	118320719	60	0.0007814850661741168
chr2	123203267	124277151	42	0.0010930763855216087
chr2	136759228	137287763	59	0.0004912874027938859
chr2	140652913	141053948	53	0.0014735937341056474
chr2	159524119	159891349	40	0.0011381353863671466
chr2	177598943	178479541	33	0.0029552678160666905
chr2	191054682	191532321	30	0.00247283282780056
chr2	195089370	195978143	41	0.002457649976566393
chr2	204258457	204874921	57	0.0011650810843662645
chr20	10866582	11863122	426	0.005278087007428547
chr20	34059289	34178332	424	0.0046205900649592775
chr20	42716839	43707813	427	0.006213473160965909
chr20	45958505	46077548	428	0.0032119645181856653
chr20	48654362	48886540	425	0.003031627770893221
chr20	52134620	52253663	434	0.014347181353097043
chr20	55535014	56580230	430	0.0010363065130996518
chr20	58845327	59850940	432	0.002024835007141818
chr20	60877594	60996638	423	0.0006722797781048143
chr21	27563981	29211589	438	0.004510360821691694
chr21	34741048	34860091	435	0.007246673810041745
chr22	30272827	30451244	439	0.004580869132074139
chr22	38368335	38599485	442	0.0009227520859068051
chr3	9236611	9447494	76	0.004855791203359415
chr3	13660266	13779309	71	0.00407307398460656
chr3	66678637	66815569	70	0.0018749861706141996
chr3	69271641	70119682	79	0.005959045645846444
chr3	81546661	83261851	80	0.0017723281442966002
chr3	100992050	102444535	84	0.0014050351015368696
chr3	107631968	107751012	78	0.0008690151680872067
chr3	109621291	110836404	86	0.0015201060748501558
chr3	115149776	115973138	88	0.001942869465904936
chr3	148787016	149621348	73	0.003794634127389044
chr3	166020407	166603769	72	0.0067652334635137255
chr3	168683826	168802869	64	0.004901270080316974
chr3	169548446	169667490	74	0.003824600082460614
chr3	172180285	172299328	61	0.006282112773259758
chr3	174118798	174294887	81	0.0033012691007224485
chr3	177069806	177414593	77	0.004418698232819712
chr3	181273593	181928556	65	0.00579373151317038
chr3	188750796	188971833	87	0.0017070576034329654
chr3	189510959	189838502	90	0.001144401318511632
chr4	1720167	1839210	100	0.0022738318027740417
chr4	10224376	10343419	98	0.001215784055072419
chr4	11933736	12386919	113	0.0062525190463407695
chr4	20131877	21195788	104	0.0011379542607184378
chr4	25137744	25982564	115	0.002348097818779892
chr4	32727300	34308655	96	0.006949660732136042
chr4	37827877	38761501	114	0.0014900905947642388
chr4	57411823	57604555	105	0.008817595453812407
chr4	60229100	61415503	110	0.0033607585600461697
chr4	65285589	66552501	103	0.0033486356229165018
chr4	73734130	74067073	92	0.014941250354634126
chr4	77195795	77671354	101	0.004359959655216267
chr4	78163280	78282323	118	0.00021703277062240238
chr4	90925767	91044811	109	1.6139265442489843e-05
chr4	144374339	144886109	97	0.005712029543686826
chr4	153957286	154076329	117	0.0007811330657277198
chr5	1097591	1216634	130	0.012998373605139711
chr5	8000468	8453144	143	0.005774910462325362
chr5	14069792	14427201	141	0.013393112257996262
chr5	16399158	16808360	145	0.003235992002501641
chr5	21982188	23108941	121	0.01982418506451066
chr5	28006389	29170593	140	0.004223698629266395
chr5	31575341	32519706	144	0.003249134903121764
chr5	35617488	37520080	146	0.013048931992177196
chr5	36156861	36428160	129	0.008724063722966843
chr5	55737702	55856745	132	0.0006968863983864413
chr5	58060229	58329713	139	0.0010609299327413043
chr5	127080897	127278991	142	0.004829151307796935
chr5	137556133	138159794	123	0.0037594903404761146
chr5	148931018	149060418	131	0.0025030366817737067
chr5	165233848	165599421	124	0.015929069991310538
chr5	176546155	176692974	137	0.006064302345317865
chr6	6735404	7149435	152	0.0010825869331854293
chr6	11334694	11453737	161	0.0017607163318334792
chr6	13296309	13509238	171	0.00047230257838758226
chr6	18454897	18629310	166	0.0004615647192497028
chr6	19696050	20334112	149	0.0018414027341762261
chr6	21224485	21809939	169	0.001187626668969724
chr6	30575191	30767427	158	0.002553858653003206
chr6	31574113	31812353	168	0.0004938308706485031
chr6	37249162	37561073	165	0.00032319698638061856
chr6	41795451	42143170	163	0.0031045356592108112
chr6	43759391	43878435	148	0.0028835540205286335
chr6	46842097	47120916	159	0.0026904252316960293
chr6	52865648	53568818	151	0.002029075722176257
chr6	68423420	68742155	153	0.005214601034392497
chr6	107174193	107293236	157	0.004018359343294814
chr6	125290950	125722330	155	0.000452774733492891
chr6	135023818	136095908	172	0.0027412612200925757
chr6	151929977	152049020	154	0.0026980883906827296
chr7	14750037	15328719	179	0.00320242256519973
chr7	17290994	17646860	188	0.0010036335484848518
chr7	47722727	47920673	189	0.0009535822220528846
chr7	53425271	53544315	178	0.00393553079517867
chr7	67621038	68627757	181	0.007098353656690555
chr7	91452043	92249833	173	0.006131715572048442
chr7	98511675	99454048	177	0.005180314222024435
chr7	104401998	104715478	191	0.0013514681946723123
chr7	116330970	116513212	190	0.0004746689005380415
chr7	144215742	144437137	187	0.0024556405269764215
chr8	11386788	12004324	209	0.00308312938240534
chr8	31996232	32294128	204	0.0010806204181644395
chr8	34200207	34509348	200	0.004259118500036841
chr8	36887446	37084635	203	0.002689442908255392
chr8	37822737	37951133	195	0.02622411398683767
chr8	55246390	55365434	207	0.000579838661547249
chr8	68482580	70228198	208	0.0005927441060044884
chr8	101295688	101441274	205	0.0006802566562481386
chr8	107039717	107542826	212	0.0005738904204258086
chr8	113390563	114733784	198	0.0011739929436046354
chr8	128331565	128450608	206	0.0002484828410490178
chr8	128745510	128864553	196	0.0035230563357233893
chr8	129537965	129657008	211	0.001155443024643452
chr8	142040174	142159217	202	0.00023840819506329254
chr9	3690545	3997914	231	0.0033147980548616997
chr9	6395784	7050834	236	0.004544717640796557
chr9	8556540	9321421	226	0.0015665287799414688
chr9	12739602	13013795	232	0.0034235561181378436
chr9	13905864	14163508	219	0.0015937643004241956
chr9	14759759	15327140	235	0.00289681149113062
