chrom	start	end	name	score
chr1	879584	894689	NOC2L	0.0011172770908344496
chr1	1246965	1260071	CPSF3L	0.001065723925275148
chr1	1337288	1342693	MRPL20	0.0009783228234679557
chr1	1477053	1510249	SSU72	0.0011582329611978066
chr1	6581407	6614595	NOL9	0.001089499000815834
chr1	8921061	8939308	ENO1	0.0010506079251308153
chr1	10458649	10480201	PGD	0.0011577047577594666
chr1	11166592	11322564	MTOR	0.001038675809487135
chr1	17345217	17380665	SDHB	0.0011161782073032343
chr1	20978270	20988000	DDOST	0.0011257274470318933
chr1	24018269	24022915	RPL11	0.0012167196955316538
chr1	24958207	24999758	SRRM1	0.0009945033439694615
chr1	26758773	26797785	DHDDS	0.001200516403510522
chr1	27202624	27216788	GPN2	0.0012859091171751752
chr1	27226729	27273353	NUDC	0.00102651746812005
chr1	28832455	28865812	RCC1	0.0012075032925330245
chr1	32687529	32697205	EIF3I	0.0010987006419812741
chr1	33065773	33116504	ZBTB8OS	0.0011528969973453682
chr1	33240840	33283754	YARS	0.0011902750696876087
chr1	35641979	35658749	SFPQ	0.0011030457097534758
chr1	36067185	36107445	PSMB2	0.001072890978899197
chr1	38000050	38019903	SNIP1	0.0009874071536825296
chr1	38147242	38157914	C1orf109	0.0011345000188187375
chr1	38268616	38273857	YRDC	0.0011150749353264185
chr1	38422647	38456593	SF3A3	0.0011018396393590681
chr1	41445007	41478235	CTPS1	0.0011502255752080248
chr1	43824626	43828874	CDC20	0.001214575193866111
chr1	44412611	44433694	IPO13	0.00119753348760946
chr1	44440159	44443967	ATP6V0B	0.0012196486898622746
chr1	45240923	45244451	RPS8	0.0012641840574869074
chr1	45316450	45452282	EIF2B3	0.0012186577484557717
chr1	45477819	45481247	UROD	0.0009851549264009965
chr1	52838501	52870131	ORC1	0.0010428199466739885
chr1	53692564	53704282	MAGOH	0.0009867749765644555
chr1	76251879	76260764	RABGGTB	0.0011364148851231042
chr1	89318615	89357627	GTF2B	0.0011872396864464397
chr1	91966408	91991321	CDC7	0.001043908774740841
chr1	93297582	93307481	RPL5	0.001240391803603936
chr1	104068313	104097861	RNPC3	0.0010331775564484912
chr1	109234945	109244425	PRPF38B	0.0011752009278678678
chr1	109756540	109780791	SARS	0.0011731205569886264
chr1	109941653	109969062	PSMA5	0.001018180638256753
chr1	111982512	111991998	WDR77	0.0010862797619480015
chr1	112297867	112310638	DDX20	0.001145136099082393
chr1	113454469	113499635	SLC16A1	0.0010028953597385395
chr1	116915290	116952883	ATP1A1	0.001005921192656523
chr1	118472343	118509165	WDR3	0.0011699047501898276
chr1	145289772	145370303	NBPF10	0.0011173724391050554
chr1	145507598	145513536	RBM8A	0.0012146368270265424
chr1	145592605	145611025	POLR3C	0.0010487666903252703
chr1	149754245	149783928	HIST2H2BF	0.0009628265205526156
chr1	149784826	149785236	HIST2H3D	0.0011548400411336473
chr1	149811110	149812765	HIST2H3C	0.0010594364443003768
chr1	149813505	149814478	HIST2H2AA3	0.0009681533789610827
chr1	149822643	149823191	HIST2H2AA4	0.0009681533789610827
chr1	149824181	149825836	HIST2H3A	0.0010594364443003768
chr1	149895209	149900236	SF3B4	0.0011632118529158603
chr1	150459887	150480078	TARS2	0.0010230132544443524
chr1	151227179	151239955	PSMD4	0.0009842363856723245
chr1	151372010	151374420	PSMB4	0.0012073109082108783
chr1	151732119	151736040	MRPL9	0.00101400684839086
chr1	153700543	153746555	INTS3	0.0012341544730217818
chr1	155278539	155290457	FDPS	0.0011297637827433623
