chrom	start	end	name	score
chr1	2985731	3355185	PRDM16	0.0013076988046189684
chr1	6241328	6269449	RPL22	0.003848404869460356
chr1	6845383	7829766	CAMTA1	0.003867073035743937
chr1	15817326	15853029	CASP9	0.0007668642800348639
chr1	16174358	16266955	SPEN	0.0009211496465941605
chr1	17345216	17380665	SDHB	0.0013925414061349277
chr1	17866329	18024369	ARHGEF10L	0.0014333810863304272
chr1	18957499	19075360	PAX7	0.0014847285836187283
chr1	23884408	23886285	ID3	0.005518808380209527
chr1	23907984	23967058	MDS2	0.005438027954491337
chr1	27022523	27108595	ARID1A	0.008386316505127
chr1	65298911	65432187	JAK1	0.0004908239051446545
chr1	78409739	78444794	FUBP1	0.0004032692159389607
chr1	85731930	85742773	BCL10	0.0020525540969799166
chr1	93297581	93307481	RPL5	0.0031812208331596014
chr1	110881127	110889299	RBM15	0.0009497896260726695
chr1	114935398	115053781	TRIM33	0.0010833928873097292
chr1	115247089	115259515	NRAS	0.0010676499587833697
chr1	144836156	145076186	PDE4DIP	0.006621778528517673
chr1	164524820	164868533	PBX1	0.00010954455763318299
chr1	179068461	179198819	ABL2	0.0008873954506089227
chr1	226249551	226259702	H3F3A	0.0001257351645370071
chr10	855483	977564	LARP4B	0.0014509098794833729
chr10	21823093	22032559	MLLT10	0.0010422765408061134
chr10	27035521	27150016	ABI1	0.001086126746801676
chr10	31607423	31818742	ZEB1	8.939177768803022e-05
chr10	51565107	51590734	NCOA4	0.00015341593961473187
chr10	52559168	52645435	A1CF	0.0008119428014313021
chr10	88516406	88692595	BMPR1A	0.00738747639491931
chr10	89117424	89130452	NUTM2D	0.006834349956484722
chr10	89622869	89731687	PTEN	0.010877156273382333
chr10	90750413	90775542	FAS	0.006162010073217322
chr10	93806448	94050844	CPEB3	0.0031620940794999017
chr10	96796529	96829254	CYP2C8	0.001769740103189213
chr10	102889256	102897545	TLX1	0.001268348706447636
chr10	104153866	104162281	NFKB2	0.0015052553983005775
chr10	104263743	104393292	SUFU	0.001506042296829785
chr10	104845939	104953056	NT5C2	0.002253699698212195
chr10	114206755	114578503	VTI1A	0.001217933633190953
chr10	114710008	114927437	TCF7L2	0.0007451257228709072
chr11	532241	537287	HRAS	0.0033687584724724396
chr11	3022151	3078843	CARS	0.004114556407460816
chr11	3692312	3819022	NUP98	0.0038565463875486635
chr11	8245850	8290263	LMO1	0.004100003263430744
chr11	47236492	47260767	DDB2	0.0003074826149683999
chr11	57416464	57429340	CLP1	0.0037457531821454043
chr11	57520714	57587018	CTNND1	0.0037457531821454043
chr11	61197513	61215001	SDHAF2	0.00849084265025495
chr11	61560108	61564716	FEN1	0.00849084265025495
chr11	64570981	64578766	MEN1	0.01579999429729323
chr11	85668726	85780924	PICALM	0.0031045842341957688
chr11	85955585	85989855	EED	0.0031856642199161317
chr11	92085261	92629618	FAT3	0.003433235907506463
chr11	108093210	108239829	ATM	0.007899276505047818
chr11	108535751	108811657	DDX10	0.006595359973809024
chr11	111222976	111326355	POU2AF1	0.005457516117065249
chr11	111957496	111990353	SDHD	0.005605484522060449
chr11	113930314	114121398	ZBTB16	0.005811326797605227
chr11	117014982	117047610	PAFAH1B2	0.0023335915766791795
chr11	118307204	118397539	KMT2A	0.000657862091394034
chr11	118620033	118661858	DDX6	0.0006698521803430738
chr11	118764583	118796317	BCL9L	0.0006698521803430738
chr11	118842416	118852001	FOXR1	0.0006698521803430738
chr11	119076751	119178859	CBL	0.0013381948040300552
chr11	120207786	120360645	ARHGEF12	0.0020718547905918517
chr11	128556429	128683162	FLI1	0.0012483972407558224
chr11	128761250	128790930	KCNJ5	0.0012483972407558224
chr12	389294	498620	KDM5A	9.988016137541925e-05
chr12	6679248	6716642	CHD4	0.0007206380296758285
chr12	6775642	6798738	ZNF384	0.0007871634010610438
chr12	7055630	7070479	PTPN6	0.00118562574902303
chr12	11802787	12048336	ETV6	0.005377914287916327
chr12	12867991	12875305	CDKN1B	0.007592736620473258
chr12	22778008	22843599	ETNK1	0.001720903868380885
chr12	46123447	46301823	ARID2	0.0031379324021448478
chr12	48366747	48398269	COL2A1	0.006998259240309376
chr12	49412757	49453557	KMT2D	0.007297420037486592
chr12	49962000	50038449	PRPF40B	0.008703807271580058
chr12	50478754	50494495	SMARCD1	0.00882218906366747
chr12	51157492	51214905	ATF1	0.00851646564418342
chr12	52345450	52390862	ACVR1B	0.008373547866255299
chr12	54332534	54340328	HOXC13	0.010658647334881846
chr12	54366909	54371427	HOXC11	0.010721178617574044
chr12	56473640	56497289	ERBB3	0.007191388781542867
chr12	57482676	57489259	NAB2	0.000739403782754462
chr12	57489190	57525922	STAT6	0.000739403782754462
chr12	65444405	65515346	WIF1	0.0004348097739316332
chr12	66217910	66360075	HMGA2	0.0007248638018782082
chr12	92536285	92539673	BTG1	0.004446211674747265
chr12	104849072	105155792	CHST11	0.0016205030325548778
chr12	111843751	111889427	SH2B3	0.000991276736883106
chr12	112204690	112247782	ALDH2	0.0010213667787496304
chr12	112856154	112947717	PTPN11	0.0010002635221479747
chr12	124808960	125052135	NCOR2	0.00048309007931055724
chr12	133200347	133263951	POLE	0.0011516869419023223
chr13	41129803	41240734	FOXO1	0.004624327874878015
chr13	46700054	46786006	LCP1	0.004793950301933589
chr13	48877886	49056122	RB1	0.005516017883351896
chr13	49280950	49283498	CYSLTR2	0.006558928714063544
chr14	20779526	20801471	CCNB1IP1	0.0014550495646492038
chr14	61110132	61124977	SIX1	0.0011190819385335708
chr14	62162230	62214976	HIF1A	0.0006646419282560904
chr14	65472891	65569413	MAX	0.003009724030388369
chr14	66974124	67648520	GPHN	0.002751593792320757
chr14	68286495	69196935	RAD51B	0.0034993140598261196
chr14	81421332	81612646	TSHR	0.000973275964603127
chr14	92432334	92507240	TRIP11	0.00037054184876520564
chr14	93260575	93306308	GOLGA5	0.00028545853702775933
chr15	34635515	34649938	NUTM1	0.0012768204394477945
chr15	40453223	40513337	BUB1B	0.003365592532425161
chr15	40674921	40686447	KNSTRN	0.004432643903791778
chr15	45003674	45011075	B2M	0.0027112997547655824
chr15	50716576	50793280	USP8	0.00103494539811066
chr15	52599479	52821247	MYO5A	1.555105315823058e-05
chr15	55700745	55710962	C15orf65	0.0029656905490910708
chr15	57210820	57591479	TCF12	0.0033121234305692566
chr15	74287013	74340153	PML	0.0013633372513289265
chr16	337439	402673	AXIN1	0.0020749082134881537
chr16	2089815	2097867	NTHL1	0.0012343969503602623
chr16	2097465	2138716	TSC2	0.0012343969503602623
chr16	2205698	2228130	TRAF7	0.0012343969503602623
chr16	3775054	3930727	CREBBP	0.0019507861122471167
chr16	23614487	23652631	PALB2	0.0015424887533748528
chr16	23847321	24231932	PRKCB	0.001444131157782439
chr16	68771127	68869451	CDH1	0.0010909465941851967
chr16	72816783	73093597	ZFHX3	0.0023024363336429225
chr16	74655291	74700779	RFWD3	0.0010985175240755872
chr16	79619739	79634611	MAF	0.002493653598676002
chr16	88941265	89043612	CBFA2T3	0.002791042844575094
chr17	1247565	1303672	YWHAE	0.0012706235702850477
chr17	5019732	5078329	USP6	0.0017575225674652918
chr17	5185557	5289129	RABEP1	0.0017575225674652918
chr17	7387684	7417933	POLR2A	0.005367515130738769
chr17	7565096	7590856	TP53	0.006041349867836435
chr17	8043789	8059824	PER1	0.0052601447884311975
chr17	9813925	10101868	GAS7	0.0039936872919485705
chr17	11924140	12047147	MAP2K4	0.0019318157008267026
chr17	15932470	16121499	NCOR1	0.0029024126609381094
chr17	29421944	29709134	NF1	0.005404516942090342
chr17	30264036	30328064	SUZ12	0.004470047524193675
chr17	34136458	34191619	TAF15	0.011446802477061884
chr17	36861794	36886056	MLLT6	0.007893221796245952
chr17	37026111	37078023	LASP1	0.0011838835645586374
chr17	40351185	40428725	STAT5B	0.008738438109998662
chr17	40465341	40540586	STAT3	0.011927603176522358
chr17	41196311	41277500	BRCA1	0.016444873330489503
chr17	41605211	41656988	ETV4	0.01372059845281959
chr17	55333211	55762046	MSI2	0.0006794573764221607
chr18	42260137	42648475	SETBP1	0.0026723531362279596
chr18	45357921	45457515	SMAD2	0.003236923973189888
chr18	48494409	48611415	SMAD4	0.007571353099276038
chr18	49866541	51057784	DCC	0.006236093771093225
chr18	56338617	56417371	MALT1	0.004372297843225487
chr18	60790578	60987361	BCL2	0.00027122328067639615
chr18	60994958	61034743	KDSR	0.00027122328067639615
chr19	676391	683385	FSTL3	0.0052724095654107395
chr19	1189405	1228428	STK11	0.005771715885062402
chr19	1609290	1652604	TCF3	0.0059629288478801525
chr19	3094407	3124002	GNA11	0.006704205812838195
chr19	4090318	4124126	MAP2K2	0.006537246203986195
chr19	4360366	4400544	SH3GL1	0.006362287220888277
chr19	6212965	6279959	MLLT1	0.003778502970202269
chr19	6772724	6857377	VAV1	0.004453365794599977
chr19	7804878	7812464	CD209	0.0017938903657086446
chr19	8959519	9092018	MUC16	0.003426352610109805
chr19	42381189	42385439	CD79A	0.001143088117678342
chr19	42772688	42799949	CIC	0.0014241905311740554
chr19	45250961	45263301	BCL3	0.005480137435466273
chr19	45281125	45303891	CBLC	0.005480137435466273
chr19	45853094	45874176	ERCC2	0.007097028725307716
chr19	47421932	47508334	ARHGAP35	0.012991366395785941
chr19	49458071	49465055	BAX	0.008548023699213085
chr19	50168822	50177173	BCL2L12	0.006199066767777242
chr19	50887460	50921273	POLD1	0.006260631777674435
chr19	51364823	51383823	KLK2	0.006376893883641867
chr19	52693291	52730687	PPP2R1A	0.006598011467055564
chr19	54024234	54083523	ZNF331	0.0034786679191461927
chr19	54610319	54619055	TFPT	0.0033208162375317645
chr19	54641443	54659419	CNOT3	0.003261353862810196
chr2	24714782	24993571	NCOA1	0.0006534632850282417
chr2	25455844	25565459	DNMT3A	3.960404477257731e-05
chr2	32582095	32843966	BIRC6	0.0013110983645996464
chr2	37070782	37193615	STRN	0.0007889544294011942
chr2	42396489	42559688	EML4	0.00024941094287993194
chr2	45232299	45236569	SIX2	0.0007092978661738708
chr2	74588280	74619214	DCTN1	0.0017738389710257954
chr2	79412356	80875905	CTNNA2	0.0012802876069990105
chr2	128014865	128051752	ERCC3	0.0018749684123580501
chr2	136871918	136875735	CXCR4	0.0004936198656077818
chr2	140988991	142889270	LRP1B	0.0037613722480171943
chr2	148602085	148688393	ACVR2A	0.0018773601349915232
chr2	158592957	158732374	ACVR1	0.00014119010867703167
chr2	204571197	204603635	CD28	0.00043450752742220746
chr2	208394460	208468155	CREB1	0.000748745226443121
chr2	209100950	209130798	IDH1	0.0011633556769068635
chr2	212240445	213403565	ERBB4	0.0009824945935621207
chr2	215590369	215674428	BARD1	0.0012520244428319853
chr2	216176539	216214487	ATIC	0.0012404527155464378
chr2	219845808	219850379	FEV	0.000758909104379727
chr2	223064606	223163715	PAX3	0.00203340946822938
chr2	223725651	223809357	ACSL3	0.0006119687325817301
chr2	225334866	225450110	CUL3	0.0002584065229439821
chr2	237476429	237491001	ACKR3	0.0017449755129006874
chr20	1875153	1920543	SIRPA	0.0019310884004810657
chr20	20015011	20036690	CRNKL1	0.001774743685110014
chr20	30946154	31027122	ASXL1	0.001040213630107115
chr20	35973087	36034453	SRC	0.002122627752312527
chr20	39314487	39317880	MAFB	0.004100611678282145
chr20	39657457	39753127	TOP1	0.003898961456939816
chr20	39765599	39811629	PLCG1	0.003898961456939816
chr20	40701391	41818610	PTPRT	0.0027030801985738536
chr20	43953927	43977064	SDC4	0.0021519360636676563
chr21	39751948	40033704	ERG	0.0002727876652328238
chr21	42836477	42903043	TMPRSS2	0.0014167874385250868
chr22	28144264	28197486	MN1	0.0011784346280968633
chr22	29083730	29138410	CHEK2	0.0017399245010534866
chr22	29279579	29453475	ZNRF3	0.0017399245010534866
