chrom	start	end	name	score
chr1	7796378	8433690	15	0.009292786231662213
chr1	14385306	14763498	27	0.009154545782690206
chr1	50751903	50870947	13	0.004363565379784448
chr1	92622914	92828477	11	0.03925768077950082
chr10	87801233	87920276	241	0.00422166830615856
chr10	88205547	88324590	239	0.00422166830615856
chr11	39964088	40614329	287	0.001733397928237633
chr11	45909793	46380892	264	0.008259189596839037
chr11	62917530	63417759	261	0.048565415695714154
chr11	64834782	65299118	273	0.005777953511841724
chr11	68366049	68573542	266	0.013599755477156486
chr11	72312230	72601976	289	0.02301695181363354
chr11	76135686	77281730	279	0.010824073320700078
chr11	84253169	84655380	284	0.0013480747003289386
chr12	44954419	45576022	301	0.17941008239601078
chr12	52008485	52774572	310	0.063404602404864
chr12	57702299	58353493	302	0.01857373029109053
chr13	32047274	32376514	321	0.02509269719417441
chr15	31866992	31986036	352	0.005027615398119476
chr15	40993218	42159078	355	0.0037289878519822053
chr15	57034409	57265344	356	0.0062271668811569245
chr16	53398971	54351863	371	0.0425940332715552
chr17	7611129	7730172	378	0.06597304045562638
chr17	11909135	12050685	380	0.033592114865778754
chr18	3642356	4275605	403	0.026853881502245484
chr18	7209441	8629663	397	0.054037844416295146
chr2	141095185	141214228	29	0.00048173368976376534
chr2	147985984	148275630	49	0.00048173368976376534
chr2	212877996	212997143	34	0.0065424505209405156
chr2	232977769	233156653	37	0.00044992890564478637
chr22	25379786	25498829	443	0.0016406242384486458
chr22	28082280	28624843	445	0.00787874257035011
chr22	28882064	29001107	440	0.010310026847075458
chr22	33469216	33917689	441	0.0035962897569370438
chr4	21102160	21430714	116	0.021212426727349267
chr4	33779071	33989744	95	0.021212426727349267
chr4	59242972	61133220	102	0.01203780096649937
chr5	25934121	27020841	127	0.047990285619945804
chr5	31938573	32972994	135	0.011764080736909276
chr6	67766179	68700299	162	0.04611164574492614
chr9	10991477	11494076	228	0.03372133225249904
chr9	21941391	22060434	213	0.013110805665669682
chr9	26270393	26679838	216	0.009433664772377521
chr9	28247761	28459513	225	0.012118662740425107
chr9	31388257	32049497	222	0.013110805665669682
chr9	129101938	130380154	238	0.01864200840214999
