chrom	start	end	name	score
chr1	10764922	10928763	21	0.0021066268383239184
chr1	31332508	31737211	18	0.000347564858169103
chr1	39969170	40305019	0	0.005090382849010745
chr1	61106840	62361545	23	0.0009996592386434086
chr1	150599202	150769139	16	0.005282143577211146
chr1	151577276	151824681	1	0.000925288948740508
chr1	153567828	153761700	28	0.0003700643997240032
chr1	154866700	155184646	20	0.001855207734265616
chr1	155767082	156064210	9	0.005721479981081849
chr1	160944223	161118797	8	0.000581625784954005
chr1	171763783	172395327	19	0.0006982413635866061
chr1	201969765	202088809	22	0.001288784167070211
chr1	204424391	204543434	4	0.03398463710693809
chr11	65460963	65580006	275	0.0012049354082470105
chr11	69619952	69738995	285	0.0013504405685927116
chr11	70319004	70438048	276	0.0011611596143172099
chr11	71260778	71467434	282	0.00026988083206100236
chr11	73143017	73470545	288	0.0012075537585131105
chr11	74190902	74844343	270	0.0007093824903468062
chr11	77829950	77948994	259	0.0024825824090585215
chr11	82111694	83074566	268	0.0014658420597363129
chr11	88445898	89085879	267	0.0038533203611945334
chr11	100200601	100585952	262	0.005925017834223751
chr11	102447525	102575127	271	0.0004967819250034043
chr12	3896569	4521478	295	0.010134148539041089
chr12	6385923	6620669	312	9.574607697715288e-05
chr12	19624312	20151125	293	0.0036332445522865315
chr12	24935138	25138824	291	0.0037658451749358326
chr12	26155824	26274868	311	0.0024581524830606214
chr12	27159250	27571622	300	0.003912879635591634
chr12	45877707	46842542	296	0.0014753686790617128
chr12	47703098	47822141	304	0.0007516653413438065
chr12	52100987	52220031	307	0.0035353493176397306
chr12	56083254	56202297	303	0.0010558286799776091
chr12	57748858	57867901	292	0.019367348520994566
chr12	59754080	60092039	298	0.007323270496164163
chr12	65499846	66013382	306	0.0022642768682529196
chr12	67247909	67493288	314	0.004114215473536736
chr12	69096589	69243000	317	0.0067328994233470585
chr12	95415175	95805847	309	0.0003104152216013027
chr15	51849333	52543565	347	0.001506650484392613
chr15	71528646	71647690	348	0.0009043523339064078
chr15	72303492	72637942	353	0.0023809879047973206
chr16	1945841	2333827	368	1.0819263088979817e-05
chr16	4152081	4295376	373	0.002179628574000119
chr16	11637627	11775844	359	0.0021343987421530188
chr16	18828123	19591425	369	0.001040387808174209
chr16	29033031	29729008	362	2.1754411596093497e-05
chr16	52265164	52702418	364	0.00022526543319600196
chr16	69313107	69813585	370	0.00015777109500580137
chr17	32736739	33017432	384	0.005498317117958348
chr17	39658666	39777709	375	0.00039652864074530344
chr17	48251532	48479073	383	0.0002600405104046023
chr17	50515699	50712150	386	0.0032109021679619276
chr17	52326898	52711688	377	0.0002723119220027024
chr17	62571334	63664492	382	0.004844557418672841
chr17	69200499	69893902	374	0.002742245686275824
chr17	75471682	75590726	381	0.005880235634140451
chr18	3374769	3499944	396	7.962181509763243e-05
chr18	9476697	10938629	406	1.5122950346983602e-05
chr18	26369786	26562008	402	0.0014669245022753128
chr18	28630753	28946257	395	0.0008624118084110075
chr18	31301791	31687818	401	0.0010947745064067095
chr18	34223869	35294783	405	0.0016409265745609143
chr18	43502244	44343852	398	0.0009022064830420078
chr18	48627598	49089456	404	0.0004980955503728043
chr19	9028351	9157312	418	0.015381632464563033
chr19	10625699	10836058	409	0.0344031390882832
chr19	13225661	13473891	416	0.010023850206284386
chr19	15209520	15367640	407	0.03652020727319542
chr19	33028459	33325884	410	0.002063698951083418
chr19	34977767	35361113	417	0.002401942656849421
chr19	37298703	37801292	408	0.006982936162459261
chr19	39174301	39369276	411	0.007301569322919763
chr19	44694140	44813196	412	0.0008297902724086071
chr2	4892318	5108590	51	0.0002183040617346019
chr2	28537956	28657000	44	0.0013419615557853117
chr2	42906359	43137250	48	0.0015657196619649136
chr2	61053389	61713250	31	0.0010549770096123091
chr2	84934804	85393222	39	0.004888037740279943
chr2	122445691	123519575	42	0.001398517882904312
chr2	203393734	204010198	57	0.001411039836434812
chr20	10885934	11882474	426	0.04540872309581039
chr20	35471464	35590410	424	0.011967287239196303
chr20	44088199	45079172	427	0.006124715065420753
chr20	47329761	47448804	428	0.0035164650357131302
chr20	50037825	50270003	425	0.0025043950180022216
chr20	56959958	58005174	430	0.003793947652971633
chr20	60270269	61275884	432	0.004533275743585239
chr21	26191662	27839270	438	0.005295586144395346
chr21	33368742	33487784	435	5.283263618403231e-06
chr3	9194927	9405810	76	0.0009024368927492078
chr3	13618766	13737811	71	0.00045505788988050395
chr3	81497510	83212700	80	0.0013196324188047114
chr3	101273206	102725691	84	0.00029086432060080247
chr3	107913121	108032165	78	0.0005014973915494044
chr3	115430929	116254291	88	0.00047432657900330414
chr3	149069229	149903561	73	0.0014827171275228128
chr3	166302619	166885981	72	0.0006588688055272058
chr3	168966038	169085081	64	0.0006588688055272058
chr3	169830658	169949702	74	0.0004812615868112042
chr3	172462495	172581538	61	0.0019069460862230164
chr3	174401008	174577097	81	0.00462778561077114
chr3	177352018	177696805	77	0.007219646502291862
chr3	181555805	182210768	65	0.025672971971638123
chr3	189033007	189254044	87	0.0025810324545662224
chr3	189793170	190120713	90	0.001740268815202615
chr4	1718440	1837483	100	0.0012068570425055104
chr4	10222752	10341795	98	0.00037653741530840326
chr4	11932112	12385295	113	0.0016596710200670144
chr4	20130254	21194165	104	0.00010060515782410086
chr4	25136122	25980942	115	0.0012019359797500104
chr4	32725678	34307033	96	0.0023532818084374203
chr4	37826255	38759880	114	0.0004973657360621043
chr4	56545657	56738389	105	0.016123720519936238
chr4	59363382	60549785	110	0.0033018890057022287
chr4	64419871	65686783	103	0.0015470916971522133
chr4	72868413	73201356	92	0.002379518549257821
chr4	76274642	76750201	101	0.0004050523082064035
chr4	143453186	143964956	97	0.0008567121291227074
chr4	153036134	153155177	117	0.000232197853035602
chr5	8000355	8453031	143	0.00031919960255090277
chr5	14069683	14427092	141	0.0026187580264653227
chr5	16399049	16808251	145	0.00031919960255090277
chr5	21982079	23108832	121	0.0033147620676950286
chr5	28006282	29170486	140	0.002559367439753022
chr5	31575234	32519600	144	0.0009880155715478085
chr5	35617386	37519978	146	0.00031919960255090277
chr5	36156759	36428058	129	0.0017578193040030151
chr5	58764402	59033886	139	0.00034089064275630293
chr5	127745205	127943299	142	0.0012379227422849106
chr5	138220444	138824105	123	0.0005845920436367051
chr5	149551455	149680855	131	0.0004125151869281036
chr5	165806843	166172416	124	0.0008701790836483076
chr5	177119154	177265973	137	0.0017480158435005152
chr6	6735171	7149202	152	0.0003739410514741033
chr6	11334461	11453504	161	0.0007091530236040061
chr6	13296077	13509006	171	0.000575949957926505
chr6	18454666	18629079	166	0.00011265218317770097
chr6	19695819	20333881	149	0.003014393724108326
chr6	21224254	21809708	169	0.002385856001725621
chr6	30607414	30799650	158	0.0010279602542419088
chr6	31606336	31844576	168	8.756612358130163e-05
chr6	37281386	37593297	165	0.0013028618904990113
chr6	41827713	42175432	163	0.0054178828022048466
chr6	43791654	43910698	148	0.0054500512431478465
chr6	46874360	47153180	159	0.0017099843807090148
chr6	53000850	53704020	151	0.0006190769002254053
chr7	14710412	15289094	179	0.03568302043980641
chr7	47683129	47881075	189	0.01275035754131101
chr7	53357578	53476622	178	0.1720123361693313
chr7	68156051	69162770	181	0.016754105966730645
chr7	91822729	92620519	173	0.03934037093063424
chr7	98914052	99856425	177	0.010120020667021388
chr7	104761551	105075031	191	0.0021249492337126184
chr7	116690916	116873158	190	0.005606666768620649
chr7	144518649	144740044	187	0.004309533163068938
chr8	37029928	37227117	203	0.0005997042819654052
chr8	37965219	38093615	195	0.0007259008690277063
chr8	54333830	54452874	207	0.004123033875863636
chr8	106027489	106530598	212	0.0028531653944866247
chr8	112378334	113721555	198	0.0007181238969109062
chr8	127319320	127438363	206	0.0005029064125121043
chr8	127733264	127852307	196	0.016393293763051844
chr8	128525719	128644762	211	0.0024260942918371206
chr8	141030075	141149118	202	0.0027254181933515234
chr9	3690545	3997914	231	0.001047543579124309
chr9	6395784	7050834	236	0.00232111778527072
chr9	8556540	9321421	226	0.0012628876436227108
chr9	12739603	13013796	232	0.007113356862882562
chr9	13905865	14163509	219	0.00463161432278034
chr9	14759761	15327142	235	0.013321774504071116
chr9	19284055	19661203	215	0.005511861557951048
chr9	20775705	20994897	233	0.0017903107507124154
chr9	25466495	25786524	237	0.004900590323187043
chr9	27851455	28025194	218	0.0030373183598911267
chr9	30245130	30517234	221	0.005281406168257446
chr9	31791761	32053680	227	0.0010689738971643094
chr9	33949655	34121484	220	0.009349020978170282
chr9	35692549	35811593	214	0.03003435829281646
chr9	72251936	72588758	230	0.017985051154562257
chr9	118074031	118960757	234	0.02672634184454273
chr9	127668787	127894540	224	0.009979584000926587
