PTEN	0.999835779	chr10	87862638	87971930
ARID1A	0.999665006	chr1	26693236	26782104
TP53	0.999335209	chr17	7661779	7687538
RB1	0.999302125	chr13	48303744	48599436
APC	0.999279455	chr5	112707498	112846239
PBRM1	0.999195273	chr3	52545352	52685917
VHL	0.999155256	chr3	10141778	10153667
RPL22	0.998961337	chr1	6185020	6209389
GATA3	0.998092072	chr10	8045378	8075198
MAP3K1	0.997789344	chr5	56815549	56896152
KDM6A	0.99767053	chrX	44873188	45112779
SMAD4	0.997653552	chr18	51028394	51085045
CASP8	0.996614	chr2	201233443	201361836
SETD2	0.996542719	chr3	47016428	47164113
PIK3R1	0.996535198	chr5	68215740	68301821
STK11	0.995866931	chr19	1177558	1228431
CDH1	0.994076871	chr16	68737292	68835537
CTCF	0.994066405	chr16	67562467	67639177
KMT2D	0.993478222	chr12	49018975	49060794
ACVR2A	0.993333101	chr2	147844517	147930826
NF1	0.993015241	chr17	31094927	31382116
MAP2K4	0.992692139	chr17	12020829	12143830
CDKN1B	0.992173455	chr12	12685498	12722369
RUNX1	0.991319539	chr21	34787801	36004667
ATRX	0.991244751	chrX	77504880	77786233
ARID2	0.990262553	chr12	45729706	45908040
RASA1	0.99020511	chr5	87267883	87391931
BAP1	0.989877252	chr3	52401008	52410008
CDKN2A	0.988741942	chr9	21967752	21995301
FBXW7	0.987725935	chr4	152320544	152536092
B2M	0.986882184	chr15	44711358	44718851
NF2	0.986388834	chr22	29603556	29698598
TGFBR2	0.983672588	chr3	30606601	30694142
MEN1	0.982550123	chr11	64803510	64811294
GPS2	0.98202202	chr17	7311324	7315564
SMAD2	0.981921991	chr18	47808957	47931146
IL32	0.981316004	chr16	3065297	3082192
FUBP1	0.978641784	chr1	77944055	77979110
NOTCH1	0.978529545	chr9	136494433	136546048
AJUBA	0.977188238	chr14	22971177	22982551
FAT1	0.976997175	chr4	186587794	186726722
ARHGAP35	0.976616904	chr19	46860997	47005077
ZC3H18	0.976463305	chr16	88570403	88631964
STAG2	0.975587255	chrX	123960212	124422664
CIC	0.975286939	chr19	42268537	42295797
HLA-A	0.973643384	chr6	29941260	29945884
SMARCB1	0.972244112	chr22	23786931	23838009
ZC3H13	0.971579754	chr13	45954465	46052759
KDM5C	0.970761472	chrX	53176283	53225422
RBM10	0.970375013	chrX	47145221	47186813
HLA-B	0.969580354	chr6	31353872	31367067
KMT2C	0.969505436	chr7	152134922	152436644
ATM	0.965068542	chr11	108223044	108369102
MTFR1L	0.964320503	chr1	25818640	25832942
RBMX	0.963873092	chrX	136848004	136880764
HNF1A	0.96022838	chr12	120978543	121002512
CD58	0.959600008	chr1	116514534	116571039
CCAR1	0.958335257	chr10	68721012	68792377
PLAC4	0.95833303	chr21	41175231	41186788
AOAH	0.954678004	chr7	36512941	36724549
ACVR1B	0.952246767	chr12	51951699	51997078
ID3	0.951831704	chr1	23557926	23559501
KANSL1	0.949939319	chr17	46029916	46225389
RERE	0.947945624	chr1	8352397	8848921
TMEM30A	0.946749515	chr6	75252924	75284948
HDAC2	0.946242413	chr6	113933028	114011308
ARID1B	0.943650098	chr6	156776020	157210779
RPL5	0.943353196	chr1	92832013	92841924
USP28	0.943267399	chr11	113797874	113875572
LIMCH1	0.941986925	chr4	41359607	41700044
PRKRA	0.941519496	chr2	178431292	178451512
MYO6	0.939673043	chr6	75749201	75919537
LARP4B	0.937429868	chr10	806933	931821
IWS1	0.936817201	chr2	127436207	127526886
CREBBP	0.936810641	chr16	3725054	3880713
RPL18	0.935461305	chr19	48615328	48619184
TCF7L2	0.93454222	chr10	112950247	113167678
ZFP36L1	0.933714778	chr14	68787660	68796253
NCOR1	0.933401605	chr17	16029065	16218185
TCF12	0.929031241	chr15	56918623	57299281
CCDC144NL	0.928621439	chr17	20893392	20896020
MGA	0.927772116	chr15	41621134	41773081
UPF3B	0.927234332	chrX	119834022	119852998
MBD6	0.926017681	chr12	57520710	57530148
RNF43	0.925278914	chr17	58353676	58417595
CTDNEP1	0.92483217	chr17	7243591	7252491
TBX3	0.920461354	chr12	114670255	114684175
CFAP70	0.919228415	chr10	73253762	73358864
C1QA	0.918165691	chr1	22635077	22639678
BCL10	0.914968325	chr1	85265776	85276632
CYLD	0.914887658	chr16	50742050	50801935
MGAT2	0.913835895	chr14	49620799	49623481
PHACTR4	0.912538437	chr1	28369582	28500364
PNISR	0.910887477	chr6	99397629	99425331
