chrom	start	end	name	score
chr1	202838407	202957450	41	0.042564307105827315
chr1	204366586	204485629	42	0.05051124983773154
chr10	5128469	5247513	326	0.002927857044458933
chr10	8994135	9113178	327	0.00042713729250372563
chr10	11842360	11961403	328	0.0012558387873089036
chr11	13792371	13911414	355	0.004263995959838342
chr11	32131894	32250937	356	0.005013432042259041
chr11	34716271	34835314	357	0.006670521910810412
chr11	45808007	45927050	359	0.006794619605131741
chr12	629428	748472	392	0.03292535375029553
chr12	3940478	4059522	394	0.002542925077052352
chr12	12073973	12193016	396	0.002584656613080507
chr12	21378072	21497115	399	0.010361211711450996
chr12	25180126	25299169	401	0.005823200782391375
chr12	26237233	26356277	403	0.0031056052401197075
chr12	52618547	52737590	409	0.015934759999780074
chr12	69086265	69205309	417	0.027785633394460035
chr12	69612870	69731913	418	0.024002438885385682
chr13	24870391	24990180	421	0.004177770856684339
chr13	28327709	28446752	422	0.0038505275772638663
chr13	95924478	96043522	433	0.0013196742749705989
chr15	52452762	52571805	462	0.0014577696396549892
chr15	71700478	71819522	467	0.0012804657925497157
chr15	72672389	72791432	469	0.0016071355325005883
chr15	87318721	87437765	471	0.002476409273889511
chr15	93236064	93355107	473	0.0013538326007205858
chr16	2589703	2708746	474	0.005176623535173244
chr16	4366364	4485407	476	0.01234734037773819
chr16	5138585	5257628	477	0.016968356915648273
chr16	7316478	7435522	479	0.013960240949559551
chr16	11596799	11715842	480	0.0018112988541693017
chr16	19174126	19293169	482	0.0026844626446895863
chr16	24536478	24655522	484	0.016968356915648273
chr16	28638275	28757318	485	0.016968356915648273
chr16	69426614	69545657	490	0.0038977590450156438
chr17	36129241	36248284	502	0.0027971630990817798
chr17	46453539	46572582	509	0.005678039138051334
chr17	50549192	50668235	511	0.016393551742159663
chr17	58651438	58770481	515	0.003903377893928164
chr19	33779361	33898405	546	0.028001308756765198
chr19	36101861	36220904	548	0.00922255049823943
chr2	5197977	5317020	50	0.006494024377352572
chr2	47280478	47399522	61	0.006151875818810266
chr2	103984478	104103522	73	0.0008324258754996258
chr2	113851214	113970258	75	7.154487178060203e-06
chr2	114275472	114394516	76	0.0001688296540119021
chr2	116511375	116630418	77	0.0028692067967953754
chr2	125036478	125155522	78	0.0019064294801145127
chr2	134546008	134665051	80	0.0006909041023011393
chr2	140864456	140983499	84	0.0008623703668270984
chr2	159616478	159735522	90	3.2541519539310315e-05
chr2	197230573	197349617	98	0.0012688473929935308
chr2	219188458	219307501	106	0.0025582404288283784
chr20	34030582	34149626	557	0.025412487827000223
chr20	43886206	44005250	559	0.035418307384396094
chr20	52433890	52552933	563	0.03750982475636383
chr22	38406203	38525246	575	0.005462429841230073
chr3	110534686	110653730	131	0.03128661356130931
chr3	166601905	166720949	144	0.05723601967990955
chr3	168744245	168863289	145	0.05242908601057027
chr3	168991244	169110287	146	0.01906972564258365
chr3	169936430	170055473	148	0.008814932044869982
chr3	172154974	172274017	149	0.01884089649508244
chr3	175554070	175673113	152	0.025808565071840282
chr3	177237224	177356267	153	0.04249063983951934
chr3	181376611	181495655	154	0.0007612266584803833
chr3	182411928	182530971	155	0.005489100833461911
chr5	8067480	8186523	195	0.003585595371454991
chr5	10132478	10251522	196	0.009923446080527832
chr5	13216678	13335721	197	0.0013954015023809128
chr5	14235642	14354686	198	0.001165817003617519
chr5	16483639	16602682	199	0.003585595371454991
chr5	22211926	22330970	200	0.007180938976079363
chr5	27328478	27447522	202	0.0018049374269382247
chr5	28484787	28603830	203	0.004970539672365078
chr5	32356631	32475674	206	0.0013751960677407062
chr5	36339142	36458185	207	0.0010817812583858014
chr5	36613351	36732394	208	0.00046682408789338844
chr5	38665941	38784985	209	0.0002994724041240552
chr5	58103905	58222948	212	0.004879245949127266
chr5	59632478	59751522	215	0.0008052923509738399
chr5	148968024	149087068	219	0.0002687057028268797
chr5	165272478	165391522	220	0.11462327003075698
chr7	69204478	69323522	260	0.008421304707436083
chr7	92008478	92127522	265	0.004548208147494884
chr7	99583592	99702635	266	0.013437605626048317
chr7	117264478	117383522	270	0.006510998445867726
