chrom	start	end	name	score
chr1	4288023	4407066	0	0.00028200980020163754
chr1	6211261	6330304	1	0.006796662319467726
chr1	8002756	8121799	2	0.0069255786966836135
chr1	10596478	10715522	3	0.004465341184585626
chr1	21206264	21325307	7	0.005156418811791068
chr1	27114511	27233554	10	0.0024494377353189603
chr1	49400411	49519454	18	0.009049053854911351
chr1	51104550	51223593	19	0.0005438862700806486
chr1	72328478	72447522	22	0.001207422498040737
chr1	93277865	93396908	23	0.007080146587328659
chr1	111400249	111519293	26	0.0029430757667803942
chr10	47298592	47417635	331	0.0034828408713059268
chr10	51404665	51523708	332	0.00018480154270135904
chr10	53248319	53367362	334	2.114590658583729e-06
chr10	56344407	56463451	335	0.00025330596118559303
chr10	58402816	58536771	336	0.0014838301082762907
chr10	65092478	65211522	338	6.901055881076984e-05
chr10	68488582	68607625	340	0.0005201161829412603
chr10	75992478	76111522	342	0.0008161869179967878
chr10	77400473	77519516	345	0.0009221844223609648
chr10	77816151	77935194	346	0.0006563895539554654
chr10	89782997	89902040	350	0.03582633683673882
chr10	112692307	112811351	351	0.0008828426122527233
chr10	114416248	114535291	352	0.0001391123414988258
chr11	40432922	40551965	358	0.002058427144236946
chr11	46227861	46346905	360	0.003712669333303953
chr11	62726032	62845315	363	0.0022775928453238666
chr11	70522684	70641727	373	0.0020735303053086972
chr11	71572478	71691522	375	0.004050668058394936
chr11	80269086	80388129	382	0.0016271717439232116
chr11	81988715	82107758	383	0.0004674321745084579
chr12	1088933	1207977	393	0.000469073600677508
chr12	12672540	12791583	397	0.04248091243797507
chr12	16414281	16533325	398	0.009325220208246263
chr12	23848204	23967248	400	4.823057451744782e-05
chr12	25883051	26002094	402	0.0008525550995493745
chr12	26664478	26783522	404	0.0021094404899142743
chr13	32734699	32858678	424	0.021334131328514024
chr13	48941695	49060738	425	0.03403853793457676
chr13	49160478	49279522	426	0.02939370590347056
chr13	50902128	51021172	427	0.028203619463739452
chr13	84508170	84627213	429	0.007456443171326946
chr13	94210345	94329388	431	0.002028645930999362
chr13	112704136	112823179	434	0.001216386529334535
chr14	33712183	33831227	439	1.3660999074654906e-05
chr14	40612524	40731568	443	0.003516403766273833
chr14	67436478	67555522	448	0.002817725308167396
chr14	68328478	68447522	450	0.0035926459160975075
chr14	68990151	69109194	452	0.0023861779336051166
chr15	32206279	32325322	459	0.0038041426356628474
chr15	41964478	42083522	461	0.00713999780773647
chr15	52677889	52796932	463	1.5633669262362875e-06
chr15	57390900	57509943	464	0.013487374656919262
chr15	71904478	72023522	468	0.0023972208637380614
chr15	74981836	75100879	470	0.002655043927468968
chr16	51562303	51681346	487	0.06780659422289977
chr16	72490996	72610039	491	0.0005348732008559373
chr16	78693475	78812518	493	0.024096739920417692
chr16	83108830	83227873	495	0.031751871343341974
chr17	7500478	7619522	496	0.0414167031553645
chr17	7933382	8052426	497	0.01811744406728881
chr17	11879922	11998965	498	0.004331464258018698
chr18	26227291	26346334	532	0.026988023808921822
chr18	48544478	48663522	538	0.015828459165212708
chr19	43423678	43542722	552	7.32807087038879e-05
chr19	47753357	47872401	554	0.0007162697025009844
chr2	9574111	9693154	51	2.076502904224885e-05
chr2	43522720	43641763	59	0.000952718779444319
chr2	46108079	46227123	60	0.00011109121483516738
chr2	55072905	55191948	62	0.00028566488470832644
chr2	111840478	111959522	74	0.002323433794217546
chr2	133820478	133939522	79	0.005580686171901524
chr2	136128478	136247522	81	0.005809111462800149
chr2	139119931	139238974	83	0.007228477970048088
chr2	141840478	141959522	85	0.006108587769634792
chr2	148965944	149084988	87	0.005808833103953411
chr2	159918814	160037857	91	0.000954167044159035
chr2	185152478	185271522	94	0.0029781518334205783
chr2	195747361	195866404	97	0.0020426712207594223
chr2	205836491	205955534	101	0.0006547519074427534
chr2	212415111	212534154	102	1.3492312300019377e-06
chr2	213592404	213711447	103	5.566234223888586e-05
chr2	214700460	214819503	105	0.0024700118974814835
chr2	233566363	233685407	107	0.00022009515027530775
chr2	234130644	234249688	108	0.00412849770410251
chr20	14856478	14975522	555	0.005054078287664738
chr21	21996478	22115522	566	0.0014463811168073347
chr21	24708432	24827475	567	0.001287283837253013
chr21	36314860	36433903	569	0.006428997003745475
chr22	29273989	29393032	572	0.009391084530180609
chr3	4584478	4703522	111	0.0014009073889853854
chr3	50679521	50798564	120	0.004014023795158688
chr3	60447679	60566722	122	0.0021904704051076457
chr3	71163038	71282081	127	0.0044051551544549705
chr3	72777804	72896847	128	0.016980356470205096
chr3	115900478	116019522	135	0.000395584395988379
chr3	116496478	116615522	136	0.00048666799098428897
chr3	117304788	117423831	137	0.0006531336929409074
chr3	136206698	136325741	139	0.0002672631095932625
chr3	162440785	162559828	142	0.00023406848862457305
chr3	163132157	163251200	143	0.0009206943911778165
chr3	174948119	175067163	151	3.931117350204454e-05
chr3	188047154	188166197	156	0.00010018598016953521
chr4	10040478	10159522	161	0.0006753001953779183
chr4	19437805	19556848	166	0.002535911162954615
chr4	21136478	21255522	167	0.0014439486196639502
chr4	33761213	33880256	169	0.007782792889854942
chr4	87413979	87533023	180	0.0018272906807716557
chr4	91693581	91812624	183	0.0004220019336471613
chr4	180054461	180173505	188	0.0016434366106604188
chr4	182176589	182295632	189	2.599757269171064e-05
chr4	183262897	183381940	190	0.0029484468489601435
chr4	187623450	187742493	191	0.0011408429592438256
chr5	55916478	56035522	211	0.0394831886256466
chr5	58562112	58681155	213	9.832606430297288e-05
chr5	59398602	59517645	214	0.011333409352760655
chr5	131076760	131195803	217	0.009717784173086752
chr5	165496754	165615797	221	0.0015452334510313369
chr6	162693059	162812102	248	0.045110474843658134
chr6	168279819	168398862	249	0.007646505790916651
chr8	3648221	3767264	279	0.008557216122904337
chr8	6232478	6351522	280	0.05582029920720853
chr8	34838878	34957921	286	0.08023431709342928
chr8	37580749	37699792	289	0.017546169330374038
chr9	9404478	9523522	305	0.0021208437683842315
chr9	11017701	11136744	306	0.003481507440073963
chr9	17374278	17493322	310	0.003328614177208298
chr9	21916478	22035522	312	0.014848907999743208
chr9	26488478	26607522	314	0.006185824750432261
chr9	28524815	28643858	317	0.00264793355593322
chr9	31256545	31375588	320	0.005580918015927371
