chrom	start	end	name	score
chr1	5742084	5861127	1	0.009397229628174707
chr1	8642934	8761977	3	0.00704399235979488
chr1	10500478	10619522	5	0.0008534868126156397
chr1	23748478	23867522	10	0.00904583831805819
chr1	27294191	27413234	12	0.0411454004361573
chr1	49644262	49763305	20	0.001755286525996582
chr1	111099850	111218894	27	0.011778453961089314
chr10	47368407	47487450	571	0.002234251672950415
chr10	50230572	50349615	573	0.003753326540114268
chr10	51636478	51755522	575	0.003064499489085031
chr10	53156478	53275522	576	0.0011798245437319255
chr10	56380478	56499522	578	0.0015375852806217302
chr10	58675021	58794064	580	0.0024488614640130004
chr10	68270594	68389637	584	0.00134588158523308
chr10	68971212	69090255	585	0.0014875867556461905
chr10	76011836	76130879	588	0.00326488990510809
chr10	78008478	78127522	591	0.0006615652843737162
chr10	89834203	89953246	596	0.025889438091774936
chr11	2733240	2852283	604	0.0026055146600985546
chr11	5540478	5659522	606	0.004163291604733792
chr11	38609512	38728555	612	0.006411836639410521
chr11	45758426	45877469	614	0.004591599337406833
chr11	60576478	60695522	616	0.0025476866081294135
chr11	62927250	63046293	619	0.0015951808085953214
chr11	64097437	64216481	621	0.0030199570880897622
chr11	65762046	65881089	623	0.0005095686146251691
chr11	68344155	68463198	626	0.0027878442890765668
chr11	69820468	69939512	629	0.0014870658881627225
chr11	70746148	70865191	631	0.0004411794483880019
chr11	71621977	71741020	633	0.004268348426525064
chr11	74427239	74546283	636	0.002142337532047746
chr11	76327656	76446699	638	0.0011639489319639229
chr11	79319856	79438899	644	0.0004479972554904971
chr11	80422058	80541101	645	0.0011845704033453754
chr11	81051356	81170399	646	0.00023020408160341765
chr11	83714596	83833639	649	0.0004271470943701591
chr11	84260478	84379522	650	0.0012871619919312951
chr11	85459946	85578989	652	6.7401051661132055e-06
chr11	86124478	86243522	653	0.0006857720349022544
chr11	88645278	88802542	655	0.0011645910941813617
chr11	114346953	114465997	659	0.002330240186683269
chr11	124107257	124226300	663	0.00025835053559594836
chr12	43613867	43732910	684	0.003494108901069138
chr12	45973631	46092674	686	0.0016482558529946607
chr12	48020226	48139269	688	0.0025971343360697676
chr12	51392651	51511695	689	0.010391054899043356
chr12	52770114	52889158	691	0.00022030272872399124
chr12	58871776	58990819	697	9.109417468535749e-06
chr12	66995436	67114479	700	0.00022280765799590345
chr12	70640478	70759522	704	0.0025541421622327204
chr12	71900478	72019522	706	0.0010312893540023484
chr12	76491045	76610088	707	0.008335348236682446
chr12	99835002	99954045	709	0.0013005942108085095
chr12	124840478	124959522	712	0.0006673559949831384
chr13	32900478	33019522	718	0.0008494918476317304
chr13	48988478	49107522	721	0.00044832475265210183
chr13	49474019	49593062	722	0.0011487788278994433
chr13	50887270	51006314	723	0.0004122190534580125
chr13	64940935	65059979	724	0.0001949624668539556
chr13	84423366	84542409	726	0.0002247643489330977
chr13	108168221	108287264	732	0.0007468841388904109
chr13	111994846	112113889	736	0.0007263886440618881
chr14	24771201	24890244	740	0.0015659214101134283
chr14	33691756	33810799	746	0.000491296172278061
chr14	38255681	38374725	752	0.0011296011487536481
chr14	40447686	40566729	754	0.0004661424615753632
chr14	67358596	67477639	759	0.0009152896869689514
chr14	68520478	68639522	761	0.00032941519964000456
chr15	27629324	27748368	773	0.0010251412045647727
chr15	32116571	32235614	774	0.0007341677827970089
chr15	40684283	40803327	776	0.0037084692226792815
chr15	42035926	42154970	778	0.002715697998641838
chr15	57386282	57505326	782	0.0010321056953886128
chr15	74972745	75091788	790	0.0003123212255366799
chr15	100554435	100673478	797	0.0006095320164059918
chr16	6596143	6715186	803	0.003694069172430971
chr16	15920142	16039185	808	0.002635218803450837
chr16	22424499	22543542	809	0.0008908387411628249
chr16	23788181	23907224	810	0.0011998252574143182
chr16	52776141	52895184	812	0.003259344866210294
chr16	71131482	71250525	816	0.00043151033137988997
chr16	72588478	72707522	817	0.00027254056416492126
chr16	78658897	78777941	819	0.00015060328997161431
chr16	83047323	83166366	821	0.003200450267943335
chr17	7319101	7438144	822	0.042726214474044615
chr17	11868478	11987522	823	0.04473681008250159
chr18	23901821	24020864	863	0.014776361212598127
chr18	26366208	26485251	866	0.010743895667624969
chr18	37131320	37250363	873	3.6852903098399407e-06
chr18	48462420	48581464	875	0.005204311892276177
chr18	48918238	49037281	876	0.009165376819221163
chr18	50556478	50675522	877	0.005039868212298037
chr19	1496277	1615320	881	0.006319221520241875
chr19	9171693	9290736	883	0.0019776366998289253
chr19	11999625	12118668	885	0.003359810844579198
chr2	133852478	133971522	115	0.0011761789511599175
chr2	136156535	136275579	116	0.0024303775261197754
chr2	141203195	141322238	119	0.0012940629119857047
chr2	141785715	141904759	120	0.009994658590220615
chr2	148983654	149102697	122	6.33414297101414e-05
chr2	185083360	185202403	131	0.0006018488504951634
chr2	195951971	196071014	137	0.0003530381621607046
chr2	205798285	205917328	142	0.00018536392658136976
chr2	213455331	213574374	148	0.000493307244803178
chr2	213717438	213836481	149	0.0005431048460127651
chr2	225200478	225319522	153	0.0012932917153635841
chr2	236640478	236759522	156	0.0006399332921746823
chr2	240751989	240871033	157	0.0003245749046262112
chr2	242226447	242345490	158	0.0005993300914513045
chr20	14944478	15063522	906	0.01510990831719186
chr21	30363897	30482940	927	0.0005178057949211011
chr21	36219451	36338494	929	0.005850801785722312
chr21	41409572	41528615	930	0.024245190466960078
chr21	45906552	46025595	934	0.006701856943530238
chr22	22967565	23086608	937	0.0025753696173685873
chr22	25656478	25775522	939	0.00011829583212352154
chr22	28477337	28596381	940	0.0017446301184513228
chr22	29276921	29395964	941	0.0008059900872704191
chr22	34072478	34191522	945	0.00034672846009737337
chr22	40520478	40639522	948	0.0017891696307904433
chr22	49376478	49495522	950	0.002387382677878409
chr3	4446502	4565545	160	0.017605719731145504
chr3	47986493	48105537	171	0.005256941546299174
chr3	49730499	49849542	172	0.04623733727967458
chr3	60395102	60514145	178	0.06828342018324161
chr3	61704478	61823522	180	0.011954246262511183
chr3	71416982	71536025	184	0.016500664337515777
chr3	72398598	72517641	185	0.026227939508530987
chr4	10036478	10155522	232	0.0012580647263619497
chr4	13145790	13264833	235	0.0021619662508190456
chr4	19510927	19629970	239	0.0030998156323331486
chr4	20326167	20445210	240	0.000291039872684339
chr4	21285720	21404763	241	0.003785612495826484
chr4	33739893	33858937	244	0.008813174029777524
chr4	42071672	42190715	249	0.0006772605205173351
chr4	58895832	59014875	252	0.0008529826894078119
chr4	62070719	62189762	253	0.003678086260007365
chr4	65624644	65743687	254	0.00022178209287457176
chr4	70060478	70179522	257	0.0016694774984418962
chr4	86644671	86763714	264	0.00041052349379228374
chr4	87520478	87639522	265	0.0024006237739050895
chr4	91197163	91316206	268	0.002251566000279894
chr4	91744478	91863522	269	0.002183958534341592
chr4	93694926	93813969	272	0.00016897888229746007
chr4	106477503	106596546	273	0.0003949911636580871
chr4	143024478	143143522	275	8.73866582680647e-05
chr4	153201233	153320276	278	0.0011740836510462465
chr4	179906857	180025901	282	0.001009160982932039
chr4	183312478	183431522	284	9.280900840934878e-05
chr4	185181895	185300938	285	0.00247493852919582
chr4	187517160	187636204	286	0.0036979641683639415
chr4	188508002	188627046	287	0.002773165364074861
chr4	189591993	189711037	288	0.0006640834061608257
chr5	58678197	58797241	323	0.0018252322297462116
chr5	59267820	59386863	324	0.034546941826610784
chr5	59477125	59596168	325	0.026383391316299316
chr5	98468478	98587522	329	0.016430343226312514
chr5	109837700	109956743	331	0.003978774848783999
chr5	130913647	131032691	335	0.033657034497565165
chr5	165516769	165635812	343	0.014321559924926999
chr6	1884478	2003522	351	0.00014104331641760052
chr6	5224478	5343522	354	0.0002418327120824482
chr6	20861776	20980819	360	0.0006113377056609207
chr6	26046318	26165361	362	1.617125392618259e-05
chr6	27583603	27702647	364	0.0006883243296066927
chr6	31107325	31226368	367	0.0008154121177686242
chr6	32572478	32691522	369	0.00042601712981287513
chr6	38210390	38329433	374	0.0005205587914145777
chr6	43061165	43180208	379	0.0006034959415868535
chr6	45210651	45329694	382	0.0005086916397977014
chr6	50926236	51045279	384	0.000787263099151343
chr6	68821709	68950989	389	0.0043057540735631054
chr6	101835056	101954099	393	0.0012114367930548544
chr6	150025364	150144408	401	0.004461332074091662
chr6	162686521	162805565	404	0.004150870640472003
chr6	168270154	168389198	405	0.0014023523735267624
chr7	69427824	69546867	428	0.0074349728737681565
chr7	69976647	70095690	429	0.003958154716741336
chr7	76572478	76691522	432	0.0007276176196162854
chr7	89452478	89571522	436	0.0017617795224204203
chr7	99804478	99923522	442	0.0008181170020366558
chr7	101652751	101771795	445	0.003940367047230292
chr7	109976478	110095522	448	0.0011170141338188362
chr7	110379648	110498692	449	0.0037901370726244107
chr7	110764503	110883546	450	0.002033920760618713
chr7	124894524	125013567	453	0.003430128372826082
chr7	127430271	127549314	454	0.0012692332249559233
chr7	133474650	133593693	458	0.00035219582157833664
chr7	146543682	146662725	465	0.0008372978467797962
chr7	152411841	152530884	468	0.0029593922248090164
chr8	2407562	2526605	470	0.002148745587087343
chr8	3692478	3811522	472	0.009861478048292339
chr8	4390842	4509885	473	0.0018243696654920484
chr8	6241429	6360473	475	4.3155662778775014e-05
chr8	30072478	30191522	483	0.00985499163023413
chr8	34884478	35003522	488	0.0015842134246173499
chr8	36283967	36403010	490	0.0019193273037774526
chr9	9352478	9471522	526	0.005014434168533533
chr9	11656478	11775522	528	0.005028871633278917
chr9	14069123	14188166	530	0.0012770274391413507
chr9	17198330	17317373	533	0.0017581873334567213
chr9	21920478	22039522	536	0.05944435442758014
chr9	28712034	28831077	539	0.003407347960582402
chr9	30316478	30435522	541	0.002100235177573704
chr9	31884478	32003522	544	0.0020309073431893547
