chrom	start	end	name	score
chr1	5758281	6359521	2	0.009899685081952785
chr1	7856438	8493750	15	0.03725037533840692
chr1	14711802	15089994	27	0.007508305839985432
chr1	26780389	26989453	5	0.09424151981760802
chr10	47184277	47650133	244	0.0016580340139244279
chr10	89560990	89680033	241	0.000777667498574114
chr10	89965304	90084347	239	0.000777667498574114
chr11	62685002	63185231	261	0.002282726374788872
chr11	72023274	72313020	289	0.0024191771681745305
chr12	45348202	45969805	301	0.02256790678074875
chr12	52402269	53168356	310	0.017338344394971207
chr12	58096082	58747276	302	0.0018889969051067326
chr12	74618787	75789025	305	0.001958972012223887
chr12	99864342	100151810	308	9.092255013484585e-05
chr15	57326607	57557542	356	0.0010107890780710115
chr17	7514447	7633490	378	0.16172658926592282
chr17	11812452	11954002	380	0.014644319148497623
chr18	24556761	25643499	400	0.06638520246484043
chr18	48538690	48667732	399	0.046067670633255293
chr2	43102216	43918289	47	0.023909461832156656
chr20	14912725	15031768	420	0.035637327404942104
chr21	24076479	25427169	437	0.015303463222826585
chr21	36239813	36482914	436	0.018016472889407883
chr22	22852244	23313369	444	0.029390980730589045
chr22	33865202	34313677	441	0.010846923453503259
chr3	50335869	50878720	67	0.023188966659499467
chr3	60412240	60531283	62	0.033012647256870545
chr3	71264717	71383760	69	0.012059554613303627
chr4	60108690	61998938	102	0.0013124651220370192
chr4	182144814	182263857	93	0.001764277511772203
chr4	183140721	183429619	106	0.002721413071710723
chr4	187440453	187801507	111	0.005259008752470126
chr5	56089524	56416824	138	0.00016952857939146418
chr5	58500285	58619328	126	0.006132530500299479
chr5	59259354	59378397	122	0.01054935366017565
chr5	66644179	68066878	147	0.04943588705313164
chr5	130572420	131214333	134	0.0025498040008517862
chr6	27812438	28791272	160	0.005566035528090239
chr6	38059700	38619466	170	0.0007288829917004004
chr6	45107899	45651436	164	0.0009302991619495863
chr6	68476072	69410191	162	0.01073088568520362
chr7	69348739	69467782	184	0.0006359795990552047
chr7	69965189	70084232	175	7.159884618381305e-06
chr7	101503243	101887721	185	0.0009435500419861571
chr7	110399106	110518149	174	1.4371271723641417e-05
chr7	151764558	152106777	192	7.185635861820709e-06
chr8	22205917	23093349	194	0.026393157668526093
chr8	37285837	38080166	199	0.04603145909461511
chr9	9423309	9542352	217	0.004683683981027879
chr9	10991477	11494076	228	0.013428515242525937
chr9	21941390	22060433	213	0.09859316421689421
chr9	26270391	26679836	216	0.009697367752523833
chr9	28247759	28459511	225	0.003937853076449134
chr9	31388255	32049495	222	0.005915510986547629
