chrom	start	end	name	score
chr1	151549752	151797157	10	0.09191745207466524
chr1	160914013	161088587	12	0.02459369258727763
chr1	150571678	150741615	13	0.09191745207466524
chr1	171732923	172364467	14	0.010782944119916165
chr1	154839176	155157122	15	0.00213461443345016
chr1	153540304	153734176	17	0.09191745207466524
chr10	63080956	63794123	19	0.01018545499528462
chr10	61702484	61821527	20	0.0024014878906709084
chr10	83068024	84207260	21	0.02060546085351677
chr10	65364015	65713333	22	0.0023188357778920455
chr11	77540996	77660040	28	0.002284215152635228
chr11	81822736	82785608	30	0.002284215152635228
chr11	73901947	74555388	31	0.0037566061591875286
chr11	102318256	102445858	32	0.006836677363954312
chr11	61916375	62341111	33	0.006818010074010234
chr11	70165110	70284154	34	0.005477883217752607
chr11	70971824	71178480	35	0.005477883217752607
chr11	69434720	69553763	36	0.005477883217752607
chr11	66919618	67140796	37	0.01322732187089763
chr12	25088072	25291758	38	0.005612765026143805
chr12	19777246	20304059	39	0.014835856892440632
chr12	27312183	27724555	40	0.03838007265403124
chr12	26308757	26427801	41	0.008326889580774658
chr12	58142641	58261684	42	0.020624581859661446
chr12	60147861	60485820	43	0.006210000306645961
chr12	56477038	56596081	44	0.004543536111797927
chr12	65893626	66407162	45	0.018730930111179076
chr12	52494771	52613815	46	0.003126841821014137
chr12	69490369	69636780	47	0.03201836316465125
chr14	50417151	50545245	49	0.0048869310026249625
chr14	37812674	38058478	50	0.003836116407884419
chr14	41913376	42582518	51	0.004742731351105412
chr15	72595833	72930283	53	0.069022156035825
chr16	11731483	11869700	54	0.01089764288482899
chr16	69347010	69847488	57	0.07420179254667462
chr19	37789605	38291932	60	0.0014001708342418961
chr2	61280524	61940385	63	0.0375740978349901
chr2	4939908	5248723	64	0.027499322794585
chr2	56719500	57272851	65	0.017446141424554924
chr20	58845327	59850940	67	0.04880291075445639
chr4	77195795	77671354	81	0.018830345236722418
chr5	165233848	165599421	82	0.01068020093573441
chr8	113390563	114733784	88	0.0583846746611825
chr8	128331565	128450608	89	0.007327445303200684
chr8	55246390	55365434	90	0.019053899454120223
chr9	30245128	30517232	91	0.01645876731159277
chr9	25466493	25786522	94	0.016129273388753303
