chrom	start	end	name	score
chr1	4227963	4347006	0	0.004419834055539206
chr1	6151201	6270244	1	0.029165918010269135
chr1	7942696	8061739	2	0.012844910508650326
chr1	10536421	10655465	3	0.007588076966284205
chr1	20879771	20998814	7	0.020546698654119955
chr1	26788020	26907063	10	0.052014751556193416
chr1	48934739	49053782	18	0.007983604838099094
chr1	50638878	50757921	19	0.0038387863542970026
chr1	71862795	71981839	22	0.008522070264179848
chr1	92812308	92931351	23	0.004766784265570931
chr1	110857627	110976671	26	0.008666327112606304
chr10	47608588	47727615	331	0.004752240640113158
chr10	51488559	51607602	334	1.492989353747257e-05
chr10	54584647	54703691	335	0.003000453115478331
chr10	56643056	56777011	336	0.007420327235419548
chr10	63332718	63451762	338	0.0016348841157587722
chr10	66728824	66847867	340	0.0020536221811394972
chr10	74232720	74351764	342	5.802703930729855e-05
chr10	75640715	75759758	345	0.0038278264838620653
chr10	88023240	88142283	350	0.028946610855634724
chr10	110932549	111051593	351	0.0007222294832320714
chr10	112656489	112775532	352	0.0008962279211383
chr11	62958560	63077843	363	0.0056133770812180715
chr11	68642182	68761225	369	4.844407713667948e-05
chr11	70676579	70795622	373	0.0010196429088665856
chr11	71861432	71980476	375	0.005403388966604216
chr11	84280308	84399351	385	2.418351365316859e-09
chr12	979767	1098811	393	0.0018760556176138756
chr12	12519606	12638649	397	0.012045230504674565
chr12	16261347	16380391	398	0.007476284222894875
chr12	23695270	23814314	400	6.378170341297605e-05
chr12	25730117	25849161	402	0.004742304864080267
chr12	26511545	26630589	404	0.006604943470357519
chr13	32160562	32284541	424	0.002849140988258019
chr13	48367559	48486602	425	0.011575837156272783
chr13	48586342	48705386	426	0.010359666696679816
chr13	50327992	50447036	427	0.008944695425179738
chr13	93558092	93677135	431	6.291245640595014e-05
chr14	33242977	33362021	439	0.00265667641576868
chr14	40143320	40262364	443	0.00992729330335813
chr14	66969761	67088805	448	0.012338678693446301
chr14	67861761	67980805	450	0.005014449637961221
chr14	68523434	68642477	452	0.009222233356671976
chr15	31914076	32033119	459	0.0013378090749514959
chr15	41672280	41791324	461	0.0021691313160673584
chr15	52385692	52504735	463	5.420477117499486e-07
chr15	57098702	57217745	464	0.002339048227785928
chr15	71612139	71731183	468	0.001113177467437046
chr15	74689495	74808538	470	0.0001238442540911776
chr16	51528392	51647435	487	0.015396808490769258
chr16	72457097	72576140	491	0.0006134282209926076
chr16	78659578	78778621	493	0.023872442284504768
chr16	83075225	83194268	495	0.023311194283975177
chr17	7597160	7716204	496	0.09664303654222547
chr17	8030064	8149108	497	0.06815319177704557
chr17	11976605	12095648	498	0.015331462897550175
chr18	4054332	4177300	525	0.0010370994806876224
chr18	5228437	5347481	526	0.0013376877972955496
chr18	8260480	8379524	528	2.7288239940919154e-05
chr18	28647327	28766370	532	0.004017120932877549
chr18	51018108	51137152	538	0.009013159554293168
chr19	19073669	19192713	545	0.002822746379287554
chr2	111082901	111201945	74	0.0034920825956440906
chr2	135370908	135489952	81	0.00031079767886275147
chr2	138362361	138481404	83	0.0011167020126874175
chr2	141082909	141201953	85	0.0010431740695692852
chr2	148208375	148327419	87	0.007561930658252489
chr2	159062302	159181346	91	6.869024038174449e-05
chr2	194882637	195001680	97	0.00047750461593219556
chr2	213835736	213954779	105	0.0009021568620605794
chr2	233221998	233341042	108	0.004488820872525193
chr21	20624165	20743204	566	0.00045583024572217964
chr21	23336110	23455156	567	0.00045583024572217964
chr22	22659401	22778424	570	0.001996830144655945
chr22	28878001	28997044	572	0.0015038208847211949
chr3	4542794	4661838	111	0.0011153821959445805
chr3	50642090	50761133	120	0.008153751964728898
chr3	60461946	60580989	122	0.00745023977860993
chr3	71113887	71232930	127	0.0002894368825758588
chr3	72728653	72847696	128	0.003142730737170265
chr3	116181631	116300675	135	0.00019617174262189524
chr3	116777631	116896675	136	0.00014893171780830313
chr3	117585941	117704984	137	4.2955206176647076e-05
chr3	163414369	163533412	143	5.708179221386339e-05
chr3	175230329	175349374	151	0.00014543331464742605
chr3	188329366	188448409	156	0.0008620445746545877
chr4	86492826	86611870	180	0.02980253803337837
chr4	90772430	90891473	183	0.006635641202091121
chr4	179133307	179252351	188	0.003884651956282683
chr4	181255436	181374479	189	0.009091160304873636
chr4	182341744	182460787	190	0.003884651956282683
chr4	186702296	186821339	191	0.003884651956282683
chr5	59266286	59385329	213	3.864040055553165e-05
chr5	60102775	60221818	214	0.0033367719495093133
chr5	131741067	131860110	217	0.005367840174627816
chr5	166069749	166188792	221	0.001366311057262217
chr6	162272027	162391070	248	0.05955112216824054
chr6	169712459	169831502	250	0.0336080400034818
chr8	3790699	3909742	279	0.017862729281139907
chr8	6374957	6494001	280	0.08950402933290194
chr8	34981360	35100403	286	0.03148049821400472
chr8	37723231	37842274	289	0.017630643328006183
chr9	9404478	9523522	305	0.0010586748267190755
chr9	11017701	11136744	306	0.0008281312250555444
chr9	17374280	17493324	310	0.00432319736912961
chr9	21916479	22035523	312	0.025438584358450124
chr9	26488480	26607524	314	0.003131761698117565
chr9	28524817	28643860	317	0.0023194537818741574
chr9	31256547	31375590	320	0.0003015436027087811
