chrom	start	end	name	score
chr10	46209242	46328286	572	0.004822584633409807
chr10	56664718	56783762	579	0.0057048637397077075
chr10	61846687	61965730	582	0.004722537123483907
chr14	81544498	81663541	765	0.020832327080896933
chr14	85310764	85429807	766	0.03579733352678915
chr14	97856056	97975099	767	0.01856317923964163
chr15	25724778	25843821	772	0.041191447409621364
chr17	33988079	34111229	826	0.00013934814538580018
chr17	59963428	60082471	845	0.09044596038927892
chr17	65908428	66027471	848	0.10802043190068665
chr17	73310600	73429643	850	0.02659360299940744
chr2	34062454	34181498	86	0.055040595348432975
chr4	72799454	72918497	259	0.018906887622130827
chr5	22195708	22314751	305	0.05843446581824508
chr5	25456677	25575720	307	0.053382620635686474
chr5	62881233	63000276	327	0.0007780554493074011
chr5	65943103	66062146	328	0.0024287553608839034
chr7	16799140	16918183	415	0.04679099420908097
chr7	17403724	17522768	417	0.030218356471331444
chr7	144251385	144370429	463	0.059939574047136485
chr8	2975142	3094186	471	0.10717437388123485
chr8	5350956	5470000	474	0.004907148472641107
chr8	136356717	136475760	514	0.06432242229048679
chr9	11358123	11477166	527	0.01452927259423912
chr9	30521707	30640750	542	0.0024160553584617033
chr9	32429711	32548754	545	0.0031362897951358044
chr9	33191595	33310638	546	0.005509927481412108
chr9	35615897	35734940	548	0.015676145669930423
chr9	72475932	72594975	551	0.09957444330591314
