chrom	start	end	name	score
chr1	5742084	5861127	1	0.004673778657715091
chr1	8642934	8761977	3	0.002399888377853737
chr1	10500478	10619522	5	0.0003809858773001662
chr1	23748478	23867522	10	0.00455452886106298
chr1	27294191	27413234	12	0.016262314655774893
chr1	111099850	111218894	27	0.011563952598802836
chr1	152217515	152336558	33	0.0002982808274867238
chr1	152698760	152817804	34	0.0001321752383635096
chr1	158211419	158330462	39	0.0015425879543002014
chr1	161256478	161375522	42	0.00027429064100342493
chr1	164872590	164991633	46	0.000281941559537774
chr1	189450615	189569659	53	0.0004227317788361059
chr1	194331936	194450979	55	0.00022902970561135378
chr1	201683235	201802279	57	0.00035387279345329415
chr1	206493057	206612100	61	0.0006732831964015205
chr1	228514337	228633380	66	0.00026661618596473705
chr1	235268478	235387522	68	0.00012972970358249064
chr1	239960190	240079233	71	0.00036231554769940047
chr1	241225752	241344795	72	0.0003661380379690341
chr1	242060847	242179890	73	0.00013337561232255378
chr1	246324759	246443802	74	0.00012637461271770793
chr10	47368407	47487450	571	0.008716241122000784
chr10	50230572	50349615	573	0.0034870048373413726
chr10	51636478	51755522	575	0.005847406503260003
chr10	53156478	53275522	576	0.002068289876475452
chr10	56380478	56499522	578	0.001719784480900458
chr10	58675021	58794064	580	0.006737393472551673
chr10	68270594	68389637	584	0.0005572679276578024
chr10	76011836	76130879	588	0.0005724117793822191
chr10	78008478	78127522	591	0.0018471977335372074
chr10	89834203	89953246	596	0.04362324422848615
chr10	111177571	111296614	598	0.005852670491732857
chr11	5540478	5659522	606	0.0027942636870623397
chr11	9904478	10023522	607	0.0017996302996406948
chr11	34492478	34611522	610	0.0035087714379243356
chr11	38609512	38728555	612	0.006564759624822752
chr11	45758426	45877469	614	0.024581395592679113
chr11	60576478	60695522	616	0.0014547039732564458
chr11	62927250	63046293	619	0.00102507476171662
chr11	64097437	64216481	621	0.001275000188605008
chr11	65762046	65881089	623	0.0010248141498407717
chr11	68344155	68463198	626	0.0009693920389049275
chr11	69820468	69939512	629	0.0006636355198010891
chr11	70746148	70865191	631	0.0005801604515644478
chr11	71621977	71741020	633	0.002043574193413768
chr11	74427239	74546283	636	0.00019632374862662788
chr11	76327656	76446699	638	0.0014667809639798185
chr11	78663286	78782329	643	0.00027262277024776014
chr11	79319856	79438899	644	0.0008323297744885306
chr11	80422058	80541101	645	0.001296591089313183
chr11	81051356	81170399	646	0.0007114898095378601
chr11	83714596	83833639	649	0.0002518776933099513
chr11	84260478	84379522	650	0.00015502324176185653
chr11	84877921	84996965	651	0.00020894894399316424
chr11	85459946	85578989	652	9.199215547456474e-05
chr11	114346953	114465997	659	0.003762935807753719
chr11	124107257	124226300	663	0.0003488053242782887
chr12	43613867	43732910	684	0.0015956239324263315
chr12	45973631	46092674	686	0.0018598510343050486
chr12	48020226	48139269	688	0.004252905245099902
chr12	51392651	51511695	689	0.006614637492090258
chr12	52770114	52889158	691	0.0006652106502945663
chr12	58871776	58990819	697	0.0014893063883573904
chr12	66995436	67114479	700	0.0008968379628442706
chr12	70640478	70759522	704	0.0010980028666978381
chr12	71900478	72019522	706	0.00035511146133652613
chr12	76491045	76610088	707	0.0030511861280953373
chr12	99835002	99954045	709	0.0003233809277031341
chr12	124840478	124959522	712	8.296600083731645e-05
chr13	32900478	33019522	718	0.0023566891936383197
chr13	48988478	49107522	721	0.003777407599910655
chr13	49474019	49593062	722	0.009705589795039576
chr13	50887270	51006314	723	0.009721734132607324
chr13	64940935	65059979	724	0.0010227447085940239
chr13	84423366	84542409	726	0.0002916717683557551
chr13	108168221	108287264	732	0.00015224045839256096
chr13	111994846	112113889	736	0.0011889695420397065
chr14	24771201	24890244	740	0.005351377693214897
chr14	38255681	38374725	752	0.0022823883913060086
chr14	40447686	40566729	754	0.001124707714502215
chr14	67358596	67477639	759	0.0027047052232808963
chr14	68520478	68639522	761	0.00026492157085000013
chr15	27629324	27748368	773	0.009027422080496455
chr15	32116571	32235614	774	0.008552754084530217
chr15	40684283	40803327	776	0.001994037936247172
chr15	42035926	42154970	778	0.008898716117265245
chr15	57386282	57505326	782	0.00713559322160011
chr15	74972745	75091788	790	0.00048296794336939
chr15	100554435	100673478	797	0.0006776376257309919
chr16	611535	730578	798	0.0008169877235165903
chr16	6596143	6715186	803	0.004049825202163242
chr16	7096478	7215522	804	0.00017755456736171792
chr16	15920142	16039185	808	0.0007592892037116812
chr16	22424499	22543542	809	0.0034575584563354862
chr16	23788181	23907224	810	0.003687248257635831
chr16	52776141	52895184	812	0.003097001562138794
chr16	71131482	71250525	816	0.0002178859458181386
chr16	72588478	72707522	817	8.456909351398445e-05
chr16	78658897	78777941	819	2.903963337824713e-05
chr16	83047323	83166366	821	0.0012623561904400457
chr17	7319101	7438144	822	0.07281418543620335
chr17	11868478	11987522	823	0.05964125522821212
chr18	23901821	24020864	863	0.029923709824311848
chr18	26366208	26485251	866	0.00270313200665302
chr18	34063865	34182908	872	0.002026866153698378
