chrom	start	end	name	score
chr1	5682024	5801067	1	0.13083401288412852
chr1	8582875	8701918	3	0.09683740930643417
chr1	23421985	23541031	10	0.06587401128538842
chr1	26967700	27086743	12	0.10529737228728778
chr11	2712010	2831053	604	0.02653584897337535
chr11	5519248	5638292	606	0.06525852671366152
chr11	38587962	38707005	612	0.07379095907712083
chr11	45736875	45855918	614	0.025255440497237144
chr11	63159778	63278821	619	0.0036098866443744063
chr11	64329965	64449009	621	0.007516946241094413
chr11	80711014	80830058	645	0.029056026111554053
chr11	81340313	81459357	646	0.007907813130638514
chr11	88912110	89069374	655	0.010001309145179917
chr12	45579848	45698891	686	5.407156689785047e-05
chr12	47626443	47745486	688	0.00013828859306740023
chr12	50998868	51117912	689	0.0004895628179657008
chr12	52376330	52495374	691	1.5270475987311782e-05
chr12	71506698	71625742	706	0.0005015636453444009
chr14	66891879	67010922	759	0.007489005771058913
chr14	68053761	68172805	761	0.0009975978392218017
chr16	6546142	6665185	803	0.001178499383310202
chr16	7046477	7165521	804	0.00038055021471540063
chr16	15826285	15945328	808	0.00010521760582930018
chr16	23776860	23895903	810	0.002238748401488804
chr19	33929022	34048066	890	0.007387106088781613
chr19	41118361	41237404	897	0.002874954645640805
chr19	42818215	42937258	898	0.0054882062551243095
chr2	133094905	133213950	115	0.0047316403043489086
chr2	135398965	135518009	116	0.0035756804983335063
chr2	141028146	141147190	120	0.013995256600214525
chr22	28081349	28200393	940	0.011784477113374521
chr22	28880933	28999976	941	0.0017934713538517032
chr22	33676492	33795535	945	0.0024353144553098042
chr22	48980666	49099798	950	0.14717825398132414
chr5	99132774	99251818	329	1.944273486909295e-06
chr5	101336774	101455818	330	0.009147205285380915
chr5	110501999	110621042	331	0.018725853498534634
chr5	131577954	131696998	335	0.009405599150043017
chr6	149704228	149823272	401	0.09687158512902806
chr7	127790217	127909261	454	0.0025114868654874042
chr7	152714756	152833799	468	0.0007280258893730013
