chrom	start	end	name	score
chr1	150571678	150741615	16	0.016845526903777486
chr1	151549752	151797157	1	0.0013223650026134455
chr1	153540304	153734176	28	0.0013223650026134455
chr1	154839176	155157122	20	0.0011792016531408898
chr1	160914013	161088587	8	0.006951624621195245
chr1	171732923	172364467	19	0.003456508415359276
chr1	201938893	202057937	22	0.002302630406662748
chr1	204393519	204512562	4	0.0029400739638860045
chr10	47408334	47827719	253	0.000653947143834837
chr10	54960117	56167514	248	0.00031306309059649047
chr10	61702484	61821527	250	0.00012676770699544517
chr10	63080956	63794123	242	0.000870455655886759
chr10	65364015	65713333	256	0.0002400791149238375
chr10	76654523	76935967	245	0.0005726273583630056
chr10	77060107	77208323	258	0.00014876997992988822
chr10	79624190	79947792	257	0.00032653336248023615
chr10	83068024	84207260	252	0.00047699678201371776
chr11	61916375	62341111	272	0.0008352341055139433
chr11	66919618	67140796	286	0.005055934566936026
chr11	69434720	69553763	285	0.019970334339484305
chr11	70165110	70284154	276	0.017643125328484527
chr11	70971824	71178480	282	0.0014855305406654708
chr11	72854062	73181590	288	0.0018561691026324823
chr11	73901947	74555388	270	0.0011318003145099193
chr11	77540996	77660040	259	0.004156370292921375
chr11	81822736	82785608	268	0.0020646569102637517
chr11	88179066	88819047	267	0.0005087581076020026
chr11	91183729	91578517	277	0.0004885091574697561
chr11	100071333	100456683	262	0.003679310549090216
chr11	102318256	102445858	271	0.0026536933913953427
chr12	750855	984603	315	0.004007653069833012
chr12	4005735	4630644	295	0.006535209247388192
chr12	19777246	20304059	293	0.013895517532676333
chr12	25088072	25291758	291	0.005462480907262911
chr12	26308757	26427801	311	0.0019381805487492239
chr12	27312183	27724555	300	0.0014741138526596902
chr13	27726123	28583697	323	5.2258492729502815e-05
chr13	30777977	31270349	319	4.105037386632895e-05
chr13	54542287	55760400	325	2.410679407930453e-05
chr13	71624228	72471666	326	5.072694757305221e-05
chr13	73860342	73979385	320	7.654090585511064e-05
chr13	106659219	107933285	322	5.1697605263768314e-05
chr14	23728314	24063263	340	0.0012036507502247481
chr14	26800466	27255014	330	0.00305454425285617
chr14	31251044	32181349	335	0.0030308300839857463
chr14	35775195	35986175	327	0.003886078553883273
chr14	37812674	38058478	332	0.0048803598969951794
