chrom	start	end	name	score
chr1	4227963	4347006	0	0.0020723701088353193
chr1	6151201	6270244	1	0.010985753732602388
chr1	7942696	8061739	2	0.005601242965192846
chr1	10536421	10655465	3	0.0019442887089691596
chr1	20879771	20998814	7	0.0010352155448355063
chr1	26788020	26907063	10	0.029302623608597336
chr1	92812308	92931351	23	0.0036481065229560187
chr1	110857627	110976671	26	0.021752335143801683
chr10	47608588	47727615	331	0.003623707083429185
chr10	51488559	51607602	334	2.5695260780867373e-05
chr10	54584647	54703691	335	0.0031076310496923262
chr10	56643056	56777011	336	0.0054742360674421954
chr10	66728824	66847867	340	0.004253957524964383
chr10	74232720	74351764	342	0.003337739331581241
chr10	75640715	75759758	345	1.702746692286724e-05
chr10	88023240	88142283	350	0.03938600759034195
chr10	110932549	111051593	351	0.0076301771898715605
chr10	112656489	112775532	352	0.001385303593156059
chr11	40411372	40530415	358	0.0029152465702551277
chr11	46206310	46325355	360	0.00635075335595493
chr11	62958560	63077843	363	0.00618461538543461
chr11	68642182	68761225	369	0.005364874745684943
chr11	70676579	70795622	373	0.0015274751066415558
chr11	71861432	71980476	375	0.005270377287499847
chr11	76349454	76468498	378	0.0011383103633530879
chr11	80558042	80677085	382	0.0015780454136467613
chr11	84280308	84399351	385	4.6126507229993566e-09
chr12	45058695	45177739	405	0.010510718491022471
chr12	58086057	58205100	412	0.0011271628936845345
chr12	68202497	68321540	416	0.0008621031648901308
chr14	33242977	33362021	439	1.0691597786132664e-05
chr14	40143320	40262364	443	0.0015050415208173891
chr14	66969761	67088805	448	0.002365864240850198
chr14	67861761	67980805	450	0.0016073109616309349
chr14	68523434	68642477	452	0.00227937422199953
chr15	31914076	32033119	459	0.0005480881914016726
chr15	41672280	41791324	461	0.00407243706970927
chr15	52385692	52504735	463	0.00010099758190231297
chr15	57098702	57217745	464	0.000639374029485375
chr15	71612139	71731183	468	0.00018018408665365
chr15	74689495	74808538	470	0.0007101636426438892
chr16	23496965	23616009	483	0.0036502635247933676
chr16	51528392	51647435	487	0.005889350205893806
chr16	72457097	72576140	491	7.331245439517687e-05
chr16	78659578	78778621	493	0.002324115276146537
chr16	83075225	83194268	495	0.0009719771035553874
chr17	8030064	8149108	497	0.0794434750976352
chr17	11976605	12095648	498	0.054329224200159704
chr18	28647327	28766370	532	0.011245387603140537
chr18	51018108	51137152	538	0.015155114727002402
chr2	133062905	133181950	79	0.0017203216530852345
chr2	135370908	135489952	81	0.002037448424926337
chr2	138362361	138481404	83	0.004390096131409345
chr2	141082909	141201953	85	0.009685801903821324
chr2	148208375	148327419	87	0.0009640880683983226
chr2	159062302	159181346	91	2.9294924742345528e-05
chr2	184287751	184406795	94	0.0006412246238676582
chr2	194882637	195001680	97	0.0002838091676824147
chr2	204971768	205090810	101	0.0006346309936956059
chr2	211550386	211669429	102	6.812311513015692e-06
chr2	212727680	212846723	103	0.0002810409412734306
chr2	213835736	213954779	105	0.0023731656683068313
chr2	232701653	232820697	107	0.0005333669134324449
chr2	233221998	233341042	108	0.0005333669134324449
chr2	235885002	236004045	109	0.00016916577541053625
chr20	14875832	14994876	555	0.006878572404909851
chr21	20624165	20743204	566	0.015771896644533802
chr21	23336110	23455156	567	0.005065269543390823
chr21	34942563	35061606	569	0.00413367782998003
chr22	28878001	28997044	572	1.4102280102707819e-06
chr3	4542794	4661838	111	0.02428456421591072
chr3	50642090	50761133	120	0.04414815707834984
chr3	60461946	60580989	122	0.11273198417877456
chr3	71113887	71232930	127	0.0004544148967901923
chr3	72728653	72847696	128	0.022350989582815558
chr4	10038854	10157898	161	0.003298301243429646
chr4	19436182	19555225	166	0.00848802778106428
chr4	21134855	21253899	167	0.010188363080667664
chr4	33759591	33878634	169	0.011254907782689285
chr4	86492826	86611870	180	0.006937112878950553
chr4	90772430	90891473	183	0.002454324368204893
chr4	179133307	179252351	188	0.004734321826012889
chr4	181255436	181374479	189	0.0002324669654066575
chr4	182341744	182460787	190	0.008241040486076287
chr4	186702296	186821339	191	0.0031249302044392448
chr5	59266286	59385329	213	0.0003537547499403219
chr5	60102775	60221818	214	0.06124665432369081
chr5	131741067	131860110	217	0.02952249572550594
chr5	166069749	166188792	221	0.04127835640405255
chr6	28448679	28567722	234	0.0016805059924345101
chr6	38340385	38459429	237	0.0011710026588248432
chr6	162272027	162391070	248	0.006881692305448154
chr6	167879139	167998182	249	0.0005089136658705086
chr7	69979492	70098536	261	0.0018268764012791525
chr7	78321863	78440907	262	0.001826719843887577
chr7	91003026	91122070	264	0.0025665188410409264
chr7	101993198	102112242	267	0.003760552561886223
chr7	110472421	110591466	269	0.004046442799394487
chr7	127145101	127264145	271	0.0027931493014234305
chr7	152068182	152187226	277	0.002700410024155217
chr8	3790699	3909742	279	0.01582954819785328
chr8	6374957	6494001	280	0.010910828735643165
chr8	34981360	35100403	286	0.022411337093817135
chr9	9404478	9523522	305	0.0063722970014291605
chr9	11017701	11136744	306	0.002271542034082393
chr9	17374280	17493324	310	0.003261067698055001
chr9	21916479	22035523	312	0.06237165495133425
chr9	26488480	26607524	314	0.011572786287968961
chr9	28524817	28643860	317	0.0033106669268805774
chr9	31256547	31375590	320	0.005951004616402969
