chrom	start	end	name	score
chr1	10824979	10988820	21	0.002516750288964773
chr1	24603397	25020960	26	0.0017898844128319414
chr1	31805355	32202812	18	0.00038598700756869623
chr1	40434842	40770691	0	0.006531006967779389
chr1	46707151	46967620	25	0.0015032081079494571
chr1	61572512	62827216	23	0.0009095742746777951
chr1	106869942	108231644	14	0.0039246991956045
chr1	150571678	150741615	16	0.006923878936308405
chr1	151549752	151797157	1	0.0022242106024903154
chr1	153540304	153734176	28	0.0017542192417729146
chr1	154839176	155157122	20	0.0003693773484675304
chr1	155736873	156034001	9	0.0009573082605733628
chr1	160914013	161088587	8	0.0055338445708339075
chr1	171732923	172364467	19	0.009639341153912328
chr1	201938893	202057937	22	0.0013873361888268843
chr1	204393519	204512562	4	0.0017149809246113637
chr11	13513869	14247668	278	0.0003236149385629435
chr11	32068935	32537281	281	0.0006203364512453404
chr11	34672395	34791439	263	0.0013373685137116657
chr11	40096845	41086885	269	0.0005778101844867658
chr11	46293298	46643939	274	0.000735262987176618
chr12	46271490	47236325	296	0.010335848074026266
chr12	48096881	48215924	304	0.005888240479425191
chr12	52494771	52613815	307	0.0025809678080981123
chr12	56477038	56596081	303	0.0006487357943912066
chr12	58142641	58261684	292	0.00905235946675249
chr12	60147861	60485820	298	0.029761027638186745
chr12	65893626	66407162	306	0.006221497684423852
chr12	67641689	67887068	314	0.006064071029600834
chr12	69490369	69636780	317	0.06846017159824573
chr12	95808951	96199625	309	0.004641272194523302
chr12	125136985	125256028	297	0.004814426219335637
chr15	25582394	25937167	350	0.003077242029516131
chr15	52141530	52835762	347	0.0025587194980843508
chr15	53463596	53760395	354	0.0007336542295898442
chr15	63556498	64026758	351	0.0018092238125916118
chr15	71820985	71940029	348	0.0028106234984049466
chr15	87405293	87541302	345	0.008992493875020111
chr15	90660290	90871493	349	0.0030057155650446594
chr15	93255720	93374763	346	0.003442789240644485
chr16	1995842	2383828	368	0.006151026684093928
chr16	4202082	4345377	373	0.014152098522260022
chr16	11731483	11869700	359	0.045285656370156226
chr16	18839445	19602747	369	0.010082378742798926
chr16	29044352	29740329	362	0.011269529384580245
chr18	3374767	3499942	396	0.012492342757236066
chr18	9476695	10938627	406	0.007076600974478754
chr19	9139027	9267988	418	0.010919524457306087
chr19	10736375	10946734	409	0.03474111820069136
chr19	13336475	13584705	416	0.01888072644144799
chr19	15320331	15478451	407	0.028197301352992903
chr19	33519365	33816790	410	0.0024082197854357833
chr19	35468671	35852015	417	0.0013985151267048306
chr19	37789605	38291932	408	0.0016876612432086017
chr19	39664941	39859916	411	0.0017908754993656425
chr19	45197410	45316453	412	0.0006227314670590319
chr20	34059289	34178332	424	0.01069856680325286
chr20	42716839	43707813	427	0.011665824337088659
chr20	45958505	46077548	428	0.00858641258360348
chr20	48654362	48886540	425	0.010885175556118006
chr20	52134620	52253663	434	0.024992740354576867
chr20	55535014	56580230	430	0.0039091111121323605
chr20	58845327	59850940	432	0.011718794329671059
chr20	60877594	60996638	423	0.00350485099670087
chr21	27563981	29211589	438	0.008219523562776816
chr21	34741048	34860091	435	7.68808506736027e-06
chr3	9236611	9447494	76	0.0042245229275594265
chr3	13660266	13779309	71	0.006512063523451185
chr3	66678637	66815569	70	0.0014110996890445138
chr3	69271641	70119682	79	0.006268498233369591
chr3	81546661	83261851	80	0.004552351103365702
chr3	100992050	102444535	84	0.0004290937745851206
chr3	107631968	107751012	78	0.000329829694477362
chr3	109621291	110836404	86	0.0003648232386114101
chr3	115149776	115973138	88	0.001037427287119614
chr3	148787016	149621348	73	0.0011161229950729227
chr3	166020407	166603769	72	0.0008983524803835148
