chrom	start	end	name	score
chr1	5682024	5801067	1	0.03261641174372563
chr1	8582875	8701918	3	0.011796984768738954
chr1	10440421	10559465	5	0.0010974165828713188
chr1	14903269	15022312	7	0.001705578722549131
chr1	23421985	23541031	10	0.004673106745674253
chr1	26967700	27086743	12	0.00712059834106137
chr1	71862795	71981839	23	0.0017895783796156347
chr1	110557228	110676272	27	0.034084467374073356
chr10	2924668	3043712	560	0.003109397568143954
chr10	12538531	12657574	564	0.007323890294347962
chr10	21888887	22007931	566	0.005868319193857478
chr10	26051549	26170593	567	0.00019623164121456988
chr10	49022527	49141570	573	0.001264791674373358
chr10	51396718	51515762	576	0.002532823884591055
chr10	56915261	57034304	580	0.003216459605749851
chr10	74252078	74371121	588	0.0009595558420890161
chr10	76248720	76367764	591	0.0008935614562080187
chr10	88074446	88193489	596	0.06708689119500824
chr10	109417813	109536856	598	0.001778326608123204
chr11	2712010	2831053	604	0.0011889282596909273
chr11	5519248	5638292	606	0.0014085352217445691
chr11	9882931	10001975	607	0.002262623267094048
chr11	34470931	34589975	610	0.0007352461869480523
chr11	38587962	38707005	612	0.0033857329221779623
chr11	45736875	45855918	614	0.005543771305825584
chr11	60809005	60928050	616	0.004396823619775317
chr11	63159778	63278821	619	0.0028672866672410694
chr11	64329965	64449009	621	0.006907280146876945
chr11	65994575	66113618	623	0.0046308689136563925
chr11	68576687	68695730	626	0.004868689434064107
chr11	71910931	72029974	633	0.015453455843249666
chr11	74716194	74835238	636	0.0038450018330473917
chr11	76616612	76735655	638	0.0026082976676029906
chr11	78952241	79071284	643	0.00030422354874158137
chr11	79608812	79727855	644	0.0012168153334316087
chr11	80711014	80830058	645	0.0054057578402682315
chr11	81340313	81459357	646	0.0010942713209962113
chr11	84003553	84122596	649	0.000676812232520625
chr11	84549435	84668479	650	0.0026995118994621045
chr11	85166877	85285921	651	0.0005614598077678952
chr11	85748903	85867946	652	0.0002386048867520373
chr11	86413436	86532480	653	0.0008448517511984007
chr11	114476231	114595275	659	0.01256550816620369
chr11	114699223	114818266	660	0.0004689114764828218
chr11	124236556	124356404	663	0.001041268899750789
chr11	134669965	134789009	664	0.0004085464714930449
chr12	43220064	43339107	684	0.003912304123608404
chr12	45579848	45698891	686	0.00258114390493132
chr12	47626443	47745486	688	0.005692982102572438
chr12	50998868	51117912	689	0.014042558227774195
chr12	52376330	52495374	691	0.0042010094221823155
chr12	57340622	57459665	695	0.0005992262391555037
chr12	58477993	58597037	697	0.0006270396007051628
chr12	66601656	66720699	700	0.0010587469096845084
chr12	68411785	68530829	701	0.0016802455440200347
chr12	70246698	70365742	704	0.0007455254451545479
chr12	76097265	76216308	707	0.0038985823482514084
chr12	124355932	124474976	712	0.0003379950995552979
chr14	24301995	24421038	740	0.0021661111311541592
chr14	37786476	37905520	752	0.0011921337716085066
chr14	39978482	40097525	754	0.00203812461567115
chr14	50531131	50650174	756	0.0012700742883858963
chr14	66891879	67010922	759	0.001097799990680589
chr14	68053761	68172805	761	0.0016996802423159315
chr14	105780011	105899533	770	0.00193085617463394
chr16	52742229	52861272	812	0.017361547776261334
chr16	71097579	71216622	816	3.8685093284584646e-07
chr16	72554579	72673623	817	0.0006444088022450825
chr16	78625000	78744044	819	0.00043133040469288056
chr16	83013718	83132761	821	0.021626945288628487
chr17	7415782	7534827	822	0.09820379638536866
chr17	11965161	12084205	823	0.007174099575143519
chr18	2644479	2763524	855	4.69151123240224e-06
chr18	3845211	3964254	857	0.00037177206674934946
chr18	8037245	8156289	859	0.0003986496539528211
chr18	10245686	10378320	862	0.000395968020701532
chr18	28786244	28905286	866	0.0032925308893649095
chr18	36483902	36602945	872	0.0010666483227526613
chr18	39551356	39670399	873	1.1571904325319178e-06
chr18	50936050	51055094	875	0.0009284595184592409
chr18	51391868	51510911	876	0.0009284595184592409
chr18	53030108	53149152	877	0.0006812932303598478
chr19	1496278	1615321	881	0.004614353154871647
chr19	9061017	9180060	883	0.00043217943711966684
chr19	11888810	12007853	885	0.00243331796906816
chr19	36750598	36869641	892	9.684827971221687e-05
chr19	41118361	41237404	897	0.0010627776077322022
chr19	42818215	42937258	898	0.001509267753213982
chr19	44260325	44379362	899	0.0001499295350680471
chr19	46800590	46919633	901	0.0012000416846909287
chr19	47613883	47732927	902	0.001108655086527577
chr2	9394058	9513101	77	1.142918135136764e-06
chr2	25452772	25571815	81	0.0002904150262592083
chr2	32442183	32561227	85	0.001048731300835967
chr2	45777339	45896383	92	0.00016012149769895366
chr2	54829341	54948385	94	0.0011829510423544294
chr2	78209352	78328396	102	0.0010025857543107398
chr2	133094905	133213950	115	0.00027191378086806767
chr2	135398965	135518009	116	0.003090563668541356
chr2	141028146	141147190	120	0.0005179562749728016
chr2	148226085	148345128	122	0.0003477091150635279
chr2	159441985	159561028	126	0.0002081485035446314
chr2	195087247	195206290	137	0.0004961154509618034
chr2	201248773	201367816	140	0.00021540349745568263
chr2	204933562	205052605	142	0.00010782440838848201
chr2	212590607	212709650	148	0.00037894201085504094
chr2	212852714	212971757	149	0.0004538807761159128
