chrom	start	end	name	score
chr1	150840601	150959645	31	0.0028222886166852468
chr1	151872534	151991578	32	0.0073337239776568985
chr1	152946743	153065787	35	0.0018879323491708827
chr1	153986660	154105704	36	0.002502866569145088
chr1	154974677	155093720	37	0.004814344393997502
chr1	155790687	155909731	38	0.009959538908816212
chr1	160063941	160182984	40	0.0015537354421631272
chr1	161038178	161157222	41	0.0012182856304017815
chr1	164148727	164267770	45	0.010112203209211378
chr1	172198882	172317925	48	0.016969485135618013
chr1	183131214	183250257	51	0.0004520381060625266
chr1	183852187	183971230	52	0.002718419846643387
chr1	201122578	201241621	56	0.001952884308947118
chr1	204450667	204569711	59	0.004098804672530819
chr1	234830505	234949549	67	0.012179259235720972
chr1	239069816	239188859	70	0.023071803411929635
chr10	4994078	5113121	561	0.0009119639930840668
chr10	9160137	9279181	562	0.0003991201557308468
chr10	11866479	11985523	563	2.595856029624891e-05
chr10	13620215	13739258	565	0.004382859857265377
chr10	27007032	27126076	568	2.539176160706098e-05
chr10	32007550	32126594	569	0.0008122795614424369
chr10	32926855	33045898	570	5.264645614026817e-05
chr10	46209242	46328286	572	1.0313675452536487e-08
chr10	53810504	53929548	577	8.67021420163997e-05
chr10	56664718	56783762	579	8.698823574511606e-05
chr10	59825889	59944933	581	2.869351884438801e-06
chr10	61846687	61965730	582	0.0004520871177582494
chr10	69179817	69298860	586	5.772830270552326e-06
chr10	71948720	72067764	587	6.355269262314533e-09
chr10	75116580	75235624	589	0.00035691558812211277
chr10	77560720	77679764	592	0.00025584908087783015
chr10	79252721	79371766	594	0.000164124746401564
chr10	81708878	81827921	595	3.1387759148560505e-05
chr10	121317723	121436766	600	4.21720776045502e-05
chr11	61017587	61136631	617	4.207982598583919e-05
chr11	62259737	62378780	618	0.00012475864369302403
chr11	63623486	63742530	620	9.381433428818973e-05
chr11	65401112	65520155	622	0.00011440385432941958
chr11	67113119	67232162	624	0.00023442942812861985
chr11	67417007	67536051	625	9.570843347494779e-05
chr11	69755074	69874117	628	0.0001800477145981397
chr11	70490373	70609417	630	3.7284157458152064e-05
chr11	71492104	71611147	632	8.105572697410782e-06
chr11	74425635	74544678	635	7.86344833270614e-06
chr11	75621200	75740243	637	5.426731973052077e-05
chr11	76990720	77109761	639	9.33101934932716e-06
chr11	77723517	77842559	640	6.449030375579381e-05
chr11	78013432	78132476	641	2.6123988923618752e-05
chr11	82024785	82143829	647	4.0325394829719914e-05
chr11	100881726	101000769	656	0.00011700320047459418
chr11	102254408	102373451	657	7.535727602589449e-05
chr11	102553747	102672791	658	1.4549796434923864e-06
chr11	118549763	118668813	661	1.3301070363362974e-05
chr11	121292062	121411105	662	2.8943007076681266e-06
chr12	763012	882055	665	0.0005553742404619087
chr12	1484313	1603357	666	0.002858552888464495
chr12	3895283	4014326	668	0.005409082780090247
chr12	6455229	6574273	670	0.0012530771174198985
chr12	12008916	12127959	674	0.0007943103187275337
chr12	20191170	20310213	677	0.020003128393324774
chr12	25130730	25250912	680	0.028525095897108076
