chrom	start	end	name	score
chr1	151282142	151401185	28	0.010135500457615746
chr1	160085162	160204205	33	0.004105991057189219
chr1	169153675	169272718	36	0.000434774144933502
chr1	172187888	172306931	37	0.0053951889737083245
chr1	202869279	202988322	41	0.0034247035684350155
chr1	204397458	204516501	42	0.026149243480554217
chr1	244365314	244484357	46	0.005461159173345125
chr11	13770824	13889867	355	5.72665137415101e-05
chr11	32110348	32229391	356	0.0025029469198097113
chr11	34694724	34813767	357	0.0019091007287502088
chr11	45786456	45905499	359	0.00221241630357241
chr12	520262	639306	392	0.0018633307309029084
chr12	3831312	3950356	394	0.0003296448139288015
chr12	6483312	6602356	395	0.000673041685162703
chr12	21225138	21344181	399	0.00436209055089582
chr12	25027192	25146235	401	0.003329967488466415
chr12	26084300	26203344	403	0.00220968601127751
chr13	24296253	24416042	421	0.006710589048259431
chr13	27753572	27872615	422	0.04906081033721632
chr13	30365547	30484590	423	0.015439818057221472
chr13	73253179	73372222	428	0.011300793153530652
chr13	91108224	91227268	430	0.0011301963852058052
chr16	19162804	19281847	482	0.001074366094191005
chr16	24525157	24644201	484	0.0019306337484337088
chr16	28626954	28745997	485	0.0019306337484337088
chr17	34475330	34594374	501	0.0007654621977960035
chr17	37769269	37888662	502	0.0007118155033586033
chr17	39615001	39734044	503	0.023274488657727008
chr17	48376177	48495220	509	0.00018251240236590084
chr17	50651117	50770161	510	0.0005314279823549024
chr17	52471832	52590875	511	0.006692768238785431
chr17	60574077	60693120	515	0.006050814928141628
chr17	67729348	67848392	518	0.006347275200177029
chr17	81542359	81661398	522	0.010332993181629047
chr19	33288455	33407499	546	0.004857376723021121
chr19	35610959	35730003	548	0.00217862337327331
chr19	39001205	39120248	550	0.002679043896599312
chr19	39565838	39684882	551	0.00047245359461130216
chr19	44747880	44866923	553	6.194295884949615e-06
chr2	103368020	103487064	73	0.0009520748672722044
chr2	115753799	115872842	77	0.0022809588040772102
chr2	124278901	124397945	78	0.003669134020887517
chr2	177077664	177196707	93	0.0012053392161153055
chr2	190766978	190886021	96	0.0009944135532233046
chr2	196365849	196484893	98	0.0006949151074189031
chr2	200558635	200677679	99	0.0005466856598500025
chr2	204371844	204490888	100	1.3775979205835807e-05
chr20	35442774	35561859	557	0.09945657210663336
chr20	45257565	45376610	559	0.05593469773444576
chr20	47179830	47298778	560	0.056058400723723756
chr20	50145126	50264169	561	0.03844133185219347
chr20	51797430	51916473	562	0.0027678935157377125
chr20	53817351	53936394	563	0.08886196195885661
chr3	102059982	102179025	129	0.00010828841933600048
chr3	107829631	107948675	130	0.0006003315610001027
chr3	115564047	115683091	134	7.593338790066262e-05
chr3	149290691	149409735	141	0.0010327259755126047
chr3	166884117	167003161	144	0.0029192525649871133
chr3	169026457	169145501	145	0.002689328094940112
chr3	169273456	169392499	146	0.0009781736214715046
chr3	170218642	170337685	148	0.001987555937047309
chr3	172437184	172556227	149	0.0023202831091339105
chr3	181658823	181777867	154	0.0014889765036322068
chr3	189904198	190023241	157	0.003869967591809318
chr5	1163671	1282714	192	0.006985013476266332
chr5	28484680	28603723	203	0.0020635776166221097
chr5	32356525	32475568	206	0.004679908599439022
chr5	36339040	36458083	207	0.0036813931719198167
chr5	36613249	36732292	208	0.001588641877770007
chr5	38665839	38784883	209	0.0010191299351643046
chr6	11343732	11462775	228	0.0004877078730168022
chr6	13439729	13558772	229	0.0003538304462649016
chr6	18430926	18549969	230	0.0009859616070875047
chr6	19377258	19496302	231	0.0003897651229264018
chr6	31543755	31662798	235	0.0014029702113996063
chr6	37215542	37334585	236	0.0020602044464068095
chr6	41910409	42029452	238	0.001538660125065207
chr6	43854071	43973114	239	0.0030961644005138137
chr6	46964741	47083786	240	0.004503909632087521
chr6	52438957	52558000	241	0.00219124690897231
chr7	8512848	8631892	252	0.023534449296508407
chr7	17312854	17431898	254	0.005339553071861724
chr7	38224877	38343921	257	0.014412283341570766
chr7	47736880	47855924	258	0.024038445766842612
chr7	92379164	92498208	265	0.0013648986760169063
chr7	117624424	117743468	270	0.000877318321161804
chr7	130137789	130256832	272	0.0007902031873310035
chr8	54383296	54502339	291	0.02451190194761061
chr8	100331626	100450669	293	0.029699210804290437
chr8	101048273	101167316	294	0.027412718894461924
chr8	119965349	120084394	295	0.015862138284319573
chr8	127481279	127600322	296	0.13989464099285895
chr8	128344590	128463634	298	0.021195567927299097
chr8	140879342	140998385	301	0.006779424251133131
chr9	3664478	3783522	302	0.0028069487452109126
chr9	6669591	6788634	303	0.004084852726612618
chr9	8968478	9087522	304	0.0015968152506690074
chr9	13144327	13263370	307	0.0021839813099295098
chr9	13921790	14040833	308	0.0003054801683395014
chr9	17120480	17239524	309	0.0017573488569410081
chr9	19348772	19467815	311	0.0001293121442143006
chr9	25087457	25206500	313	0.001755096089244308
chr9	26915120	27034163	315	0.00022761963557240103
chr9	27780260	27899303	316	0.0007868424259550035
chr9	29204480	29323524	318	0.0003875223518241018
chr9	30052303	30171346	319	5.119948735695343e-07
chr9	31470396	31589440	321	2.7786806860100774e-05
chr9	33775858	33894901	322	0.008361501296260438
chr9	35824119	35943162	323	0.004681424766385122
