chrom	start	end	name	score
chr1	151254618	151373661	28	0.014013565339674187
chr1	153718747	153837790	29	0.014127249069553247
chr1	155228637	155352871	31	0.03647411386539367
chr1	160054952	160173995	33	0.053927418548771394
chr1	169122913	169241956	36	0.0046575147811076635
chr1	172157028	172276071	37	0.0014325836935727594
chr10	61693118	61812161	337	0.0014405416295158206
chr10	76705391	76824435	343	0.002314934434365367
chr10	77115092	77234135	344	0.0012105235991318286
chr10	79334280	79453324	347	0.0007239296730125694
chr10	80804006	80923050	348	0.0010821417917918185
chr10	83473309	83592353	349	0.00032587712594400113
chr10	123077065	123196108	353	0.0025475083982537203
chr10	126399168	126518211	354	0.002211102607036113
chr11	13792371	13911414	355	0.0001839196227231138
chr11	32131894	32250937	356	0.0003309768763885384
chr11	34716271	34835314	357	0.0015578252847698057
chr11	45808007	45927050	359	0.0001503429987530814
chr11	67135608	67254651	368	4.3751288808097495e-05
chr11	68923011	69042054	370	0.00015813620544048574
chr11	69412478	69531522	371	0.0008487062656522334
chr11	70279555	70398598	372	0.0002739696522662095
chr11	71080478	71199522	374	1.6715206664736626e-05
chr11	72738968	72858012	376	6.088121571282364e-06
chr11	74080478	74199522	377	3.305911506177434e-05
chr11	77746042	77865085	379	0.00035745186613628325
chr11	79178093	79297137	381	0.00015145291585641875
chr11	82234356	82353399	384	1.384914364308838e-05
chr11	88847592	88966635	387	0.00048817900528108193
chr11	101281649	101400693	388	0.0005183212906013938
chr11	102426391	102545435	389	0.00020746890968487865
chr12	629428	748472	392	0.0065995548344617285
chr12	21378072	21497115	399	0.015390885244032284
chr12	25180126	25299169	401	0.021713314690325666
chr12	26237233	26356277	403	0.015337375644128482
chr13	30939684	31058727	423	0.005643856643433413
chr13	73827316	73946359	428	0.001839477120100472
chr14	27111311	27230354	437	0.007733101329917969
chr14	37116564	37235607	441	0.007436623500606484
chr15	25847068	25966111	458	0.0014024555929458362
chr15	87318721	87437765	471	0.014070694669245707
chr15	93236064	93355107	473	0.0014706760710691805
chr16	52540478	52659521	488	0.017824749391206807
chr17	31726497	31845541	500	0.009160686812612768
chr17	32802349	32921393	501	0.010334372586777139
chr17	36129241	36248284	502	0.0029510886007896695
chr17	37771254	37890297	503	0.0227481553518634
chr17	46453539	46572582	509	0.009449226193715878
chr17	48728478	48847522	510	0.014300354808982757
chr17	50549192	50668235	511	0.018248723575887273
chr17	58651438	58770481	515	0.005867737837973103
chr17	65725464	65844508	518	0.003511750950764593
chr17	77823894	77942937	521	0.005632217462075029
chr18	3290525	3409568	524	0.047365098032783465
chr18	7387795	7506838	527	0.043696227040920584
chr18	9959461	10078504	530	0.015578317333378337
chr19	33779361	33898405	546	0.009848227929880025
chr19	36101861	36220904	548	0.0029202767419870407
chr19	39491845	39610888	550	0.04305575622717948
chr19	40056478	40175522	551	0.013056340880899502
chr19	45251137	45370180	553	0.00610420243412712
chr2	102774815	102893858	72	0.0019915303226275285
chr2	103984478	104103522	73	0.001188133140297767
chr2	136899071	137018114	82	0.0014395762783300284
chr2	159616478	159735522	90	0.0010042593414211858
chr2	160765312	160884356	92	0.0010300986575791974
chr2	177942392	178061435	93	0.0022994311153586647
chr2	191631704	191750747	96	0.006889812771745211
