chrom	start	end	name	score
chr1	10855454	10996454	OG15	4.531965531090099
chr1	16131975	16276281	OG33	2.903347902548254
chr1	21718597	21926345	OG37	2.52223449844125
chr1	24520964	24728815	OG29	3.2712668703027505
chr1	31885955	32026955	OG18	5.068486851577093
chr1	33523082	33795480	OG36	1.4211376342235702
chr1	40125950	40267175	OG32	8.739295138433649
chr1	41358977	41499977	OG0	7.160901036462517
chr1	43837422	44103803	OG26	3.8287088789793633
chr1	46966151	47107151	OG34	2.3231637529629867
chr1	56154147	56671449	OG16	1.5229014132192435
chr1	61937528	62296800	OG30	4.103377171151689
chr1	115564012	116094318	OG38	1.2881940129583738
chr1	147065974	147206974	OG27	8.026164746952745
chr1	150569391	150710391	OG17	10.815178588733206
chr1	151542552	151683552	OG1	6.086866817755515
chr1	153712188	153853188	OG35	2.308777095200344
chr1	154983511	155124511	OG11	7.291661572889525
chr1	156020252	156161252	OG19	5.297843943222806
chr1	158351130	158623569	OG41	2.033888969343538
chr1	160960927	161101927	OG9	8.771849300448
chr1	168867968	169008968	OG42	1.3907059605784404
chr1	172301814	172543614	OG14	3.505418483265747
chr1	180460278	180601278	OG40	2.5872703298710475
chr1	183140311	183323562	OG5	3.4347149441973506
chr1	201924469	202065469	OG25	3.842759482940597
chr1	204361635	204502635	OG6	11.980191042747778
chr1	234889836	235030836	OG10	8.130110506202437
chr10	5158618	5299618	OG383	10.567548611423344
chr10	8968620	9240181	OG390	3.7353527191001614
chr10	11861645	12002645	OG408	1.618899981055283
chr10	13378934	13921184	OG401	1.7005563006495403
chr10	32344531	32489806	OG415	1.5942076067774975
chr10	33138220	33279220	OG389	3.383986712719887
chr10	47298718	47488529	OG396	3.858822637002636
chr10	51431472	51572472	OG406	3.235191100615263
chr10	55228077	56033421	OG393	2.0974057729507574
chr10	61644104	61785104	OG395	4.493214034761976
chr10	63543799	63808156	OG384	4.383219084125967
chr10	65543305	65684305	OG404	2.154685795267801
chr10	73764054	74201943	OG403	2.6655286098167914
chr10	76743905	76928280	OG387	5.297545435313894
chr10	77094036	77235036	OG414	1.8354911868238688
chr10	79480255	79742343	OG382	9.668841356100184
chr10	88367028	88657824	OG410	4.4356555745466695
chr10	113587401	114148132	OG412	1.4270845839966553
chr10	123032164	123217193	OG391	5.172235675473688
chr11	13566436	14124443	OG433	3.395193614895452
chr11	32059281	32237981	OG437	2.852388332301493
chr11	34649578	34790578	OG420	9.53486670068261
chr11	46218121	46657643	OG432	4.765998014959083
chr11	61117072	61258072	OG451	4.363116919866428
chr11	62102813	62243813	OG430	3.3265034632357797
chr11	63668893	63809893	OG444	3.603953231601421
chr11	65215750	65356750	OG429	5.9721058011682455
chr11	67002528	67143528	OG424	10.960421134785063
chr11	69435435	69576435	OG457	32.722111094720525
chr11	70147052	70288052	OG440	25.320219712926512
chr11	72463485	72604485	OG438	4.259403275163239
chr11	73930417	74289612	OG426	6.140765979802537
chr11	77761775	77902775	OG416	14.883881652743314
chr11	79497668	79747151	OG441	4.276513007590447
chr11	81033478	81397683	OG455	4.2797301540025225
chr11	85089060	85619168	OG442	2.93278274948338
chr11	86750812	87138491	OG456	1.6347382759948883
chr11	88482128	88698087	OG423	2.4405371907453333
chr11	91265831	91453418	OG435	2.882744593572546
chr11	96111991	96856471	OG453	1.9068023155383007
chr11	101411357	101597167	OG419	6.575443266855448
chr11	102344393	102485393	OG439	5.267389223101992
chr11	118286578	118427578	OG450	2.783346192175947
chr11	121160585	121301585	OG443	2.828627163520644
chr12	533853	785807	OG490	8.411791315950119
chr12	1607878	1793710	OG464	4.928895420088836
chr12	4464647	4740102	OG485	1.9277484678164272
chr12	6407390	6554798	OG471	3.018253217322313
chr12	11915534	12160682	OG482	2.10439915004644
chr12	14699597	15538883	OG489	3.162528384066986
chr12	25136473	25277473	OG460	12.681407461059775
chr12	26186655	26327655	OG481	2.2313530329687365
chr12	27276462	27604497	OG466	3.6894494581207096
chr12	46649996	47067234	OG463	4.923228299694179
chr12	48034439	48175439	OG491	3.6420654063074207
chr12	52491400	52659261	OG475	3.0964812928012684
chr12	53325068	53466068	OG484	2.0722720314722345
chr12	54466204	54607204	OG488	1.451508545214376
chr12	56470230	56611230	OG469	4.611766549209767
chr12	58130185	58271185	OG461	12.213883147195489
chr12	60344727	60485727	OG467	4.711605539291496
chr12	62827690	63499850	OG479	2.200811840912188
chr12	69185809	69326809	OG458	17.19106919945437
chr12	73503242	73913994	OG483	3.4357272734699107
chr12	95839728	96189829	OG477	2.4139368312704423
chr12	125087934	125228934	OG473	4.253035704326589
chr13	27562307	27921253	OG495	5.709828627132344
chr13	30948870	31170293	OG502	4.323806359799336
chr13	73848425	73989425	OG493	14.458829599025442
chr13	83667472	83808472	OG498	1.076000148443513
chr13	95759498	96167309	OG503	1.66458355148519
chr13	110895161	111383585	OG505	3.2432587120882035
