chrom	start	end	name	score
chr1	5758281	6359521	1	0.040688741904804086
chr1	26780389	26989453	2	0.024087108946015973
chr1	114725108	115702047	3	0.01559015661073103
chr1	93088471	93294034	4	0.01559015661073103
chr1	51217575	51336619	5	0.02281749905514149
chr1	7856438	8493750	7	0.038096112870808656
chr1	14711802	15089994	13	0.020066570889168113
chr1	212599176	213761196	15	-0.009242606562682
chr1	246237974	246357017	17	-0.013937766599784036
chr1	192981788	193166871	21	-0.013937766599784036
chr1	157555762	158038113	23	-0.013937766599784036
chr1	210418225	210907811	27	-0.011795370487661428
chr10	89965304	90084347	33	0.025338650278401043
chr10	89560990	89680033	34	0.021224785638218037
chr10	58218870	58714895	36	0.024473407012590938
chr10	47184277	47650133	37	0.027435989214383262
chr10	77918891	78043175	39	0.02142285240593743
chr10	77295386	77414429	42	0.021701175746764778
chr11	45931344	46402442	50	0.0325708166186041
chr11	39985638	40635879	55	0.03439025863515864
chr11	113905768	114104249	57	-0.008523979113393478
chr11	62685002	63185231	58	-0.005735517195997909
chr11	80339167	80463952	60	-0.0013091358756720385
chr11	68133517	68341010	61	-0.002260192504138372
chr11	64602254	65066589	67	-0.007599434043882216
chr11	75846730	76992775	71	-0.005602094865114692
chr11	85972100	87096374	72	-0.006407810489245387
chr11	69896864	70147013	74	-0.008523979113393478
chr11	83964212	84366423	75	-0.008379301562109602
chr11	72023274	72313020	79	-0.007907199613335658
chr12	12722317	13120592	80	0.019481624203553642
chr12	26424358	26998323	83	-0.024160814114924083
chr12	24097405	24228750	85	-0.022729467240466716
chr12	45348202	45969805	94	0.02754790592884216
chr12	58096082	58747276	95	0.017220891812572622
chr12	74618787	75789025	98	0.014750509547124141
chr12	99864342	100151810	101	0.01316343832510177
chr12	52402269	53168356	103	0.022486278111002452
chr12	67138261	67494262	104	0.016803385540871754
chr13	48939729	49058772	108	0.019617704780217668
chr13	32621411	32950651	111	0.01385063492542096
chr13	50860815	51455790	114	0.020974501745842564
chr14	68742331	68861374	118	0.009641478406598488
chr14	33699932	33818975	124	0.008335742429475785
chr14	40295008	40722782	127	0.012587414632337025
chr14	67168861	67652025	132	0.012470877338670569
chr14	27537653	29081983	134	0.009498101855220441
chr15	32159195	32278239	142	0.005809954442029875
chr15	41285416	42451276	145	0.009271242880321181
chr15	57326607	57557542	146	0.011696301082407793
chr16	6690619	6809663	147	-0.0038005052834708254
chr16	23317721	24116798	149	0.008965163783230133
chr16	3723115	3842158	151	-0.0012909828119335852
chr16	78647303	78766346	155	-0.0024887587568451397
chr16	79003131	79122175	156	-0.0024887587568451397
chr16	72508842	72677340	159	-0.0024887587568451397
chr16	53432883	54385775	162	0.0021664450383659254
chr16	83335710	83621823	163	-0.0024887587568451397
chr17	7514447	7633490	164	0.003371052722369341
chr17	11812452	11954002	165	-0.007812810037713665
chr17	39069342	39414905	168	0.0011130854363995317
chr17	42042144	42320075	170	-0.004273829171370835
chr17	55765392	56193649	175	-0.0008296021861619987
chr17	44220411	44339454	177	0.006757873085071888
chr17	58928804	59481230	179	-0.002499385543000265
chr17	53330349	54068840	181	-0.0023047383497553212
chr17	37461077	37780421	182	0.00021189498230948756
chr17	70365942	70514571	183	-0.0038663094795837673
chr17	32188861	32931084	184	0.00861309097299647
chr18	7209439	8629661	186	0.003951251397506892
chr18	3642355	4275605	187	0.00020958216303308246
chr18	48538690	48667732	191	0.004810976473861661
chr18	24556761	25643499	192	0.0048005869572910025
chr19	18878316	19376690	199	-0.07146685693121758
chr19	34065789	34406265	206	0.06196901575934546
