chrom	start	end	name	score
chr1	35641978	35658749	ENSG00000116560	0.038814673952295736
chr1	36690016	36770958	ENSG00000054118	0.06827054321752657
chr1	36931643	36948879	ENSG00000119535	0.06827054321752657
chr1	40361097	40367928	ENSG00000116990	0.08413916959556143
chr1	43803477	43818443	ENSG00000117400	0.13409740402830297
chr1	45794834	45806142	ENSG00000132781	0.02550586740613696
chr1	47681961	47697892	ENSG00000162367	0.027123032052098477
chr1	47715810	47779819	ENSG00000123473	0.027123032052098477
chr1	51426416	51440305	ENSG00000123080	0.0835980712859114
chr1	51819934	51985000	ENSG00000085832	0.0835980712859114
chr1	59246464	59249785	ENSG00000177606	0.06541702161246397
chr1	116915289	116952883	ENSG00000163399	0.016445777969396436
chr1	120454175	120612240	ENSG00000134250	0.020918908121745315
chr1	144836156	145076186	ENSG00000178104	0.13604200986571754
chr1	147013181	147098017	ENSG00000116128	0.15393505166521848
chr1	150782180	150849244	ENSG00000143437	0.2304872507280695
chr1	150898738	150937213	ENSG00000143379	0.2304872507280695
chr1	151030233	151040970	ENSG00000213190	0.2304872507280695
chr1	153430219	153433177	ENSG00000143556	0.15673115380232966
chr1	154127783	154167124	ENSG00000143549	0.16068161328941466
chr1	155158299	155162707	ENSG00000185499	0.17087321518541546
chr1	156052363	156109880	ENSG00000160789	0.1784313069152452
chr1	156720401	156770607	ENSG00000143294	0.15258360008342048
chr1	156785431	156851642	ENSG00000198400	0.15258360008342048
chr1	157543538	157567870	ENSG00000163518	0.15258360008342048
chr1	161284046	161332984	ENSG00000143252	0.15483051359737446
chr1	161551100	161648444	ENSG00000072694	0.15751479925136969
chr1	162601162	162757190	ENSG00000162733	0.1573312220410927
chr1	164524820	164868533	ENSG00000185630	0.14848387660470808
chr1	170631868	170708560	ENSG00000116132	0.13992149095609885
chr1	179068461	179198819	ENSG00000143322	0.14487118917992634
chr1	186280783	186344825	ENSG00000047410	0.16862410213530224
chr1	193091146	193223031	ENSG00000134371	0.14342858706668765
chr1	197053257	197115824	ENSG00000066279	0.14652222344327256
chr1	198607800	198726545	ENSG00000081237	0.16422246706649915
chr1	201977072	201986316	ENSG00000163435	0.16257528677586056
chr1	203274618	203278730	ENSG00000159388	0.16626106059211615
chr1	204485510	204542871	ENSG00000198625	0.1656290715154947
chr1	205577070	205601090	ENSG00000158711	0.1551346232851227
chr1	205626978	205649587	ENSG00000158715	0.1551346232851227
chr1	226249551	226259702	ENSG00000163041	0.1046722279224997
chr1	240931553	241520530	ENSG00000182901	0.17369843466336593
chr1	241660902	241683061	ENSG00000091483	0.17369843466336593
chr1	243651534	244014381	ENSG00000117020	0.17917690139363546
chr10	855483	977564	ENSG00000107929	0.10624566130700223
chr10	3818187	3827473	ENSG00000067082	0.11008786591298432
chr10	8095566	8117161	ENSG00000107485	0.1174192837100047
chr10	21823093	22032559	ENSG00000078403	0.1089106819104755
chr10	27035521	27150016	ENSG00000136754	0.06469488557229665
chr10	31607423	31818742	ENSG00000148516	0.0927584087592739
chr10	32297937	32345359	ENSG00000170759	0.1272635477272826
chr10	76585339	76792380	ENSG00000156650	0.016381058791015958
chr11	57416464	57429340	ENSG00000172409	0.020169691242452957
chr11	57520714	57587018	ENSG00000198561	0.020169691242452957
chr11	69455854	69469242	ENSG00000110092	0.031516634539482724
chr11	85668726	85780924	ENSG00000073921	0.2006064490338263
chr11	85955585	85989855	ENSG00000074266	0.2006064490338263
chr11	92085261	92629618	ENSG00000165323	0.17267275598395718
chr11	95709761	96076344	ENSG00000184384	0.043948308660434685
chr11	102188214	102210134	ENSG00000023445	0.07233474017970457
chr11	108093210	108239829	ENSG00000149311	0.03377309439854691
chr11	108535751	108811657	ENSG00000178105	0.025835468415145935
chr11	111222976	111326355	ENSG00000110777	0.032531654886747974
chr11	111957496	111990353	ENSG00000204370	0.03419200495807756
chr11	113930314	114121398	ENSG00000109906	0.03314750294520751
chr11	117014982	117047610	ENSG00000168092	0.05393207513707142
chr11	118307204	118397539	ENSG00000118058	0.06407061460440318
chr11	118620033	118661858	ENSG00000110367	0.06407061460440318
chr11	118764583	118796317	ENSG00000186174	0.06407061460440318
chr11	118842416	118852001	ENSG00000176302	0.06407061460440318
chr11	119076751	119178859	ENSG00000110395	0.06407061460440318
chr11	120207786	120360645	ENSG00000196914	0.06507250904790547
chr11	128556429	128683162	ENSG00000151702	0.06361234725560795
chr11	128761250	128790930	ENSG00000120457	0.06361234725560795
chr12	389294	498620	ENSG00000073614	0.17861038747251887
chr12	1099674	1605099	ENSG00000082805	0.18288042513035832
chr12	4382937	4414516	ENSG00000118971	0.19384517673632137
chr12	6679248	6716642	ENSG00000111642	0.16414465302844203
chr12	6775642	6798738	ENSG00000126746	0.164144653028442
chr12	7055630	7070479	ENSG00000111679	0.15776339940519477
chr12	11802787	12048336	ENSG00000139083	0.14839356399563597
chr12	12867991	12875305	ENSG00000111276	0.1420319350965954
chr12	22778008	22843599	ENSG00000139163	0.26700011140544455
chr12	25357722	25403870	ENSG00000133703	0.40093084075341673
chr12	27676363	27848497	ENSG00000110841	0.29858529185254035
chr12	69201955	69239214	ENSG00000135679	0.02983983573814309
chr12	70910629	71031220	ENSG00000127329	0.03449139042508325
chr16	10971054	11026079	ENSG00000179583	0.00339204505088187
chr16	11343475	11445619	ENSG00000175643	0.004393423547738579
chr16	11348261	11350036	ENSG00000185338	0.004393423547738586
chr16	27413482	27462115	ENSG00000103522	0.010257109453237816
chr16	31191430	31203127	ENSG00000089280	0.01544170830565143
chr17	47676245	47755596	ENSG00000121067	0.07004138506274049
chr17	47865916	47906458	ENSG00000136504	0.07004138506274049
chr17	48260649	48278993	ENSG00000108821	0.0705792964896221
chr17	53342372	53402426	ENSG00000108924	0.02247591487578015
chr17	55333211	55762046	ENSG00000153944	0.02149024402804675
chr17	56429860	56494956	ENSG00000108375	0.016335420537249384
chr17	57697218	57773671	ENSG00000141367	0.03666864407762565
chr17	58677543	58741849	ENSG00000170836	0.021325481586399835
chr17	59758626	59940882	ENSG00000136492	0.02078700922519112
chr17	62006099	62009714	ENSG00000007312	0.02695063104697877
chr17	62495733	62504317	ENSG00000108654	0.0214764035633362
chr17	63524680	63557765	ENSG00000168646	0.015334144203928804
chr17	66507920	66547460	ENSG00000108946	0.01926253520700867
chr17	73772514	73781974	ENSG00000132475	0.02597610948883314
chr17	74730196	74733456	ENSG00000161547	0.010577102926713928
chr17	75276650	75496678	ENSG00000184640	0.011566136871330202
chr17	76987798	77005949	ENSG00000171302	0.036957117690717814
chr17	78234664	78372586	ENSG00000173821	0.03433225386000803
chr17	79934682	79975282	ENSG00000169696	0.03359982763810555
chr19	10596795	10614417	ENSG00000079999	0.17017141607422487
chr19	10828754	10944164	ENSG00000079805	0.1285735621930863
chr19	11071597	11176071	ENSG00000127616	0.12495754984308713
chr19	13049391	13055303	ENSG00000179218	0.18391649940324215
chr19	13209846	13213975	ENSG00000104903	0.18391649940324215
chr19	14202499	14228896	ENSG00000072062	0.14983869755675439
chr19	14625581	14640582	ENSG00000132002	0.14983869755675439
chr19	15347646	15443356	ENSG00000141867	0.10781868345157367
chr19	16177830	16213813	ENSG00000167460	0.07258611704827994
chr19	17935588	17958880	ENSG00000105639	0.065037088276228
chr19	18553472	18632937	ENSG00000105656	0.065037088276228
chr19	18794486	18893004	ENSG00000105662	0.08682819072905182
chr19	30302804	30315215	ENSG00000105173	0.4957936710904221
chr19	33369901	33462897	ENSG00000121289	0.2441701421206358
chr19	33790839	33793470	ENSG00000245848	0.2441701421206358
chr19	34663408	34720420	ENSG00000257103	0.20481282759522074
chr19	40736223	40791443	ENSG00000105221	0.3892205645000619
chr19	42381189	42385439	ENSG00000105369	0.26266585667574804
chr19	42772688	42799949	ENSG00000079432	0.26266585667574804
chr2	16080685	16087129	ENSG00000134323	0.06418138657368139
chr2	24714782	24993571	ENSG00000084676	0.054971296335475255
chr2	25455844	25565459	ENSG00000119772	0.06874438812996986
chr2	25956621	26101385	ENSG00000143970	0.07083322233752311
chr2	29415639	30144432	ENSG00000171094	0.07218291149200771
chr2	32582095	32843966	ENSG00000115760	0.08586594686588746
chr2	37070782	37193615	ENSG00000115808	0.0854068141777106
chr2	42396489	42559688	ENSG00000143924	0.09567277734423021
chr2	45232299	45236569	ENSG00000170577	0.10193159864715053
chr2	46520805	46613836	ENSG00000116016	0.11054511015629277
chr2	47630107	47789450	ENSG00000095002	0.12756500997233994
chr2	47922668	48037240	ENSG00000116062	0.1170813597091902
chr2	48016454	48132932	ENSG00000138081	0.1170813597091902
chr2	60678301	60780702	ENSG00000119866	0.09111107044961415
chr2	61108655	61158745	ENSG00000162924	0.09877481536179981
chr2	61704983	61765761	ENSG00000082898	0.09877481536179981
chr2	70314584	70316332	ENSG00000169564	0.0747060089845316
chr2	74588280	74619214	ENSG00000204843	0.049600132766482063
chr2	79412356	80875905	ENSG00000066032	0.06083372754099953
chr2	96914253	96931732	ENSG00000135956	0.054717189586619426
chr2	100162322	100759201	ENSG00000144218	0.049930831796835495
chr2	107021445	107084832	ENSG00000153165	0.03377843382197728
chr2	109335936	109402267	ENSG00000153201	0.026623291640739608
chr2	113973573	114036527	ENSG00000125618	0.06037981100220584
chr2	140988991	142889270	ENSG00000168702	0.007218312736149908
chr2	148602085	148688393	ENSG00000121989	0.013396217774278305
chr2	158592957	158732374	ENSG00000115170	0.035318505769151964
chr2	176957618	176960666	ENSG00000128714	0.08527105703774185
chr2	176968943	176974722	ENSG00000128713	0.08527105703774185
chr2	178092322	178257425	ENSG00000116044	0.07769327920699406
chr2	187454791	187545628	ENSG00000138448	0.06018695217770318
chr2	189839045	189877472	ENSG00000168542	0.07951098691749602
chr2	190649106	190742355	ENSG00000064933	0.08655918431757068
chr2	198254507	198299815	ENSG00000115524	0.0728733783095974
chr2	202098165	202152434	ENSG00000064012	0.004507999310443579
chr2	204571197	204603635	ENSG00000178562	0.004227844183015179
chr2	208394460	208468155	ENSG00000118260	0.002803654877104427
