chrom	start	end	name	score
chr1	944203	959309	NOC2L	0.0011976027089217528
chr1	1401909	1407293	MRPL20	0.001048658451154793
chr1	1541673	1574863	SSU72	0.0012415030642551157
chr1	6521347	6554513	NOL9	0.001167827538440003
chr1	8861000	8879190	ENO1	0.0011261404243164573
chr1	10398592	10420511	PGD	0.0012409368861119503
chr1	11106535	11262556	MTOR	0.0011133504600942508
chr1	17018664	17054032	SDHB	0.0011964248221606702
chr1	20651767	20661544	DDOST	0.0012066605957757669
chr1	23691742	23696835	RPL11	0.0013041946490452735
chr1	24631716	24673281	SRRM1	0.0010660022554297814
chr1	26432282	26471306	DHDDS	0.0012868264361130387
chr1	26876132	26890283	GPN2	0.0013783583810941448
chr1	26900238	26946871	NUDC	0.0011003180058564575
chr1	28505943	28539300	RCC1	0.0012943156411535115
chr1	32221077	32245397	EIF3I	0.001177690723210022
chr1	32600172	32650903	ZBTB8OS	0.0012357834761449807
chr1	35176378	35193446	SFPQ	0.0011823481756693302
chr1	35599541	35641526	PSMB2	0.001150025497925221
chr1	37534449	37554293	SNIP1	0.001058395891010129
chr1	37681570	37692249	C1orf109	0.0012160638636154
chr1	37802945	37808208	YRDC	0.0011952422314506913
chr1	37956975	37990075	SF3A3	0.001181055395943215
chr1	40979300	41012565	CTPS1	0.0012329199945480256
chr1	43358981	43363203	CDC20	0.001301895970387169
chr1	43946950	43968022	IPO13	0.0012836290661920506
chr1	43974487	43978295	ATP6V0B	0.0013073342207535982
chr1	44775251	44778779	RPS8	0.0013550714180412783
chr1	44850522	44986722	EIF2B3	0.0013062720365178855
chr1	45010950	45015575	UROD	0.0010559817419009431
chr1	52372829	52404423	ORC1	0.001117792536246863
chr1	53226900	53238518	MAGOH	0.00105771826409433
chr1	75786197	75795086	RABGGTB	0.0012181163974874225
chr1	88852633	88891944	GTF2B	0.001272595201576869
chr1	91500851	91525764	CDC7	0.0011189596446152046
chr1	92832013	92841924	RPL5	0.00132956864175115
chr1	103525691	103555239	RNPC3	0.001107456915164795
chr1	108692310	108702928	PRPF38B	0.0012596909274231593
chr1	109399042	109426448	PSMA5	0.0010913818072088581
chr1	111439890	111449256	WDR77	0.0011643768553280239
chr1	111754832	111775602	DDX20	0.001227464615175144
chr1	112911847	112957593	SLC16A1	0.0010749976075235782
chr1	116372668	116410261	ATP1A1	0.001078240979941279
chr1	117929720	117966543	WDR3	0.0012540139858782766
chr1	145824053	145844402	POLR3C	0.0011241668156127284
chr1	145921556	145927678	RBM8A	0.0013019620346074597
chr1	146064711	146229000	NBPF10	0.001197704912169361
chr1	149923317	149927803	SF3B4	0.001246839908855099
chr1	150487414	150507602	TARS2	0.0010965618599325087
chr1	151254709	151267479	PSMD4	0.0010549971635238774
chr1	151399560	151401937	PSMB4	0.0012941094255358185
chr1	151759647	151763496	MRPL9	0.0010869079465248097
chr1	153728050	153774808	INTS3	0.001322882883971847
chr1	155308748	155320666	FDPS	0.0012109871201642693
chr1	155687960	155739010	DAP3	0.0010333230699411979
chr1	156212993	156240042	PMF1	0.0011568419367810952
chr1	156249224	156282825	SMG5	0.0011997922917572025
chr1	156308968	156367873	CCT3	0.0013418471268138426
chr1	156721891	156728766	ISG20L2	0.0011837961406952664
chr1	163266576	163355764	NUF2	0.0010590724619354247
chr1	175010789	175023425	MRPS14	0.001069388834578119
chr1	182839347	182887982	DHX9	0.0010414468862307404
chr1	193121983	193254815	CDC73	0.001243453092052514
chr1	203861599	203871152	SNRPE	0.0012693314258701075
chr1	205086142	205122015	RBBP5	0.0010315690131845491
chr1	212035553	212107400	DTL	0.0012617397825486674
chr1	212726153	212791782	NSL1	0.0010922151463787597
chr1	220094132	220148041	IARS2	0.0012833029827510954
chr1	224227334	224330189	NVL	0.0012482833155644934
chr1	225982702	225999343	SDE2	0.0011389282040551699
chr1	228139962	228148984	GUK1	0.0012587204769591894
chr1	229440259	229508341	NUP133	0.0011798656154499351
chr1	229626247	229660200	URB2	0.0011786712904882347
chr1	236549005	236604516	HEATR1	0.0012425449712328235
chr1	244840638	244864560	HNRNPU	0.0012166860108557835
