chrom	start	end	name	score
chr1	155258846	155383080	31	0.007158314478869956
chr1	156085499	156204543	32	0.022401616660112672
chr1	202869279	202988322	41	0.0022965221704573176
chr1	204397458	204516501	42	0.0516308464679657
chr1	234656732	234775775	44	0.002292966973501118
chr1	244365314	244484357	46	0.015120485625393618
chr10	5086277	5205550	326	0.022628947739007078
chr10	8952172	9071215	327	0.025134496668189996
chr10	11800361	11919404	328	0.016051248780939723
chr11	62433006	62552050	362	0.002871402941678422
chr11	66685511	66804554	367	0.006959816695490254
chr11	67368137	67487180	368	0.0033818136943635263
chr11	69155543	69274587	370	0.0026136235547507204
chr11	69597710	69716754	371	0.005349329174942942
chr11	70433449	70552493	372	0.0012291218351661096
chr11	71369432	71488476	374	0.001434508095762111
chr11	73027923	73146967	376	4.997495583667551e-05
chr11	74369433	74488477	377	0.00027848518941750216
chr11	78034996	78154039	379	0.004891165000713738
chr11	79467049	79586093	381	0.009680897957183174
chr11	82523314	82642357	384	0.00032602514771060256
chr11	89114424	89233467	387	0.019582156310738754
chr11	101410918	101529962	388	0.027177665230370112
chr11	102555660	102674704	389	0.004030111958929731
chr12	3831312	3950356	394	0.014063896833476709
chr12	6483312	6602356	395	0.01437209811683671
chr12	11921039	12040082	396	0.003232515844827425
chr12	21225138	21344181	399	0.025619308997940196
chr12	25027192	25146235	401	0.01031367064730148
chr12	26084300	26203344	403	0.011857679255135992
chr15	25601921	25720964	458	0.0013852635838013108
chr15	52160565	52279608	462	0.0006788351391334053
chr15	86775490	86894534	471	0.0012224116444157094
chr15	90229639	90348682	472	0.00023489724867920182
chr15	92692834	92811877	473	0.0014402088111777113
chr16	4316363	4435406	476	0.0018292445647329143
chr16	11502943	11621986	480	0.0016576659491526128
chr16	19162804	19281847	482	0.0005847828131274045
chr16	24525157	24644201	484	0.000769986627293006
chr16	28626954	28745997	485	0.0013716986619778106
chr17	33399479	33518522	500	0.001919691943517015
chr17	37769269	37888662	502	0.0003646484577592028
chr17	39615001	39734044	503	0.0016595825045591127
chr17	52471832	52590875	511	0.004915052864512038
chr17	60574077	60693120	515	0.004975197564282739
chr17	67729348	67848392	518	0.008316230378044564
chr17	75460397	75579441	520	0.0017602289973654137
chr17	79850095	79969138	521	0.0007218779906243057
chr17	81542359	81661398	522	0.0022240328969909172
chr18	3290527	3409570	524	0.0021065638267435166
chr18	7387797	7506840	527	0.0013318660130034103
chr18	9959464	10078507	530	0.0001145778090807009
chr19	9017497	9136540	540	0.00648780513294375
chr19	10630484	10749527	541	0.02736318505478141
chr19	13794140	13913184	542	0.04152066579198702
chr19	15201464	15320507	543	0.07349192002396207
chr19	18819730	18938773	544	0.014907938129529617
chr2	20081304	20200347	53	0.003289756393138126
chr2	56665377	56784421	63	0.008081487561211763
chr2	60888140	61007183	64	0.0031010122716645244
chr2	102158355	102277398	72	0.0008262522836873064
chr2	103368020	103487064	73	0.0014993138216505117
chr2	115753799	115872842	77	0.00768881604101076
chr2	124278901	124397945	78	0.0027327882719904214
chr2	136141501	136260544	82	0.001791767628136914
chr2	140106887	140225930	84	0.0029040483923144225
chr2	152159050	152278093	88	0.00043112463061400336
chr2	200558635	200677679	99	0.00028973854320110226
chr2	204371844	204490888	100	1.4234240272853495e-05
chr2	218323735	218442778	106	0.0007275158444086056
chr20	35442774	35561859	557	0.015734132941031723
chr20	47179830	47298778	560	0.003072541005666524
chr20	50145126	50264169	561	0.0036734763494400287
chr20	51797430	51916473	562	0.0001903508483808015
chr20	53817351	53936394	563	0.00017296495970000136
chr21	33395325	33514367	568	0.0031103931598063243
chr3	1408884	1527927	110	0.0007470329766680058
