chrom	start	end	name	score
chr1	6103062	6344246	TSG3	8.113729463246987
chr1	8177219	8412650	TSG22	3.709014608006261
chr1	10648504	10789504	TSG44	2.006510830755893
chr1	15003239	15144239	TSG31	4.294114560332897
chr1	27092661	27233661	TSG2	10.294627637397966
chr1	49411670	49552670	TSG39	2.868460030973475
chr1	51209384	51350384	TSG12	7.099750084572849
chr1	72226753	72367753	TSG24	4.801694841075277
chr1	93179603	93320603	TSG7	3.4660386262461365
chr1	115146245	115656090	TSG4	3.2572770004225973
chr1	149166119	149307119	TSG23	8.496919900707862
chr1	157615410	157827028	TSG20	5.414141669772843
chr1	169521470	169720954	TSG43	1.850813761067287
chr1	189316818	189457818	TSG28	4.010674797012938
chr1	193039084	193180084	TSG13	6.074597152872111
chr1	241632200	241914244	TSG21	3.7660660127446217
chr1	246195942	246336942	TSG8	13.466403448879632
chr10	20304881	20445881	TSG411	1.9853830747016885
chr10	22272244	22608102	TSG400	1.9729258755900865
chr10	24387128	25159609	TSG392	2.2723268304256905
chr10	47488781	47712143	TSG386	6.398784459263822
chr10	53137827	53278827	TSG402	2.724477126898415
chr10	56366293	56761157	TSG405	2.8284452956673025
chr10	58570059	58846397	TSG385	4.804398515232951
chr10	65212660	65353660	TSG407	2.6301209891350736
chr10	68779243	68937762	TSG394	4.860839247885755
chr10	76006183	76147183	TSG399	4.56145603086413
chr10	77397676	77538676	TSG388	8.202229067204687
chr10	77966641	78107641	TSG398	5.918601768262222
chr10	89752254	89893254	TSG381	41.50772854892413
chr10	90021649	90162649	TSG397	15.3032201281078
chr10	112717541	112900400	TSG409	2.265724867972397
chr10	114392960	114533960	TSG413	2.1591121465665046
chr11	40375984	40854382	TSG428	2.351580702183539
chr11	45952507	46384023	TSG421	4.072336474885616
chr11	63713979	64270409	TSG418	5.934245590294447
chr11	65275065	65534356	TSG449	6.063361920594575
chr11	68167088	68308088	TSG425	15.588116292901134
chr11	69905231	70111438	TSG452	7.615646098098312
chr11	71053255	71254426	TSG454	13.933101586063536
chr11	76091488	76696619	TSG436	5.598277792809023
chr11	78693986	78984185	TSG431	4.823648054158099
chr11	80369689	80510689	TSG422	13.870522798079069
chr11	80915432	81056432	TSG434	4.111069171580216
chr11	81952497	82137223	TSG447	2.872232103955987
chr11	83777984	83950191	TSG445	4.599136860125883
chr11	84548708	84689708	TSG427	4.576579815980845
chr11	85563809	85876956	TSG446	4.216374304725775
chr11	99396579	100009357	TSG448	0.9768576893971432
chr11	114046103	114261662	TSG417	4.124790218524999
chr12	1264702	1502194	TSG487	2.423187831395449
chr12	12680830	12821830	TSG480	3.1237396112630327
chr12	13351897	13508716	TSG459	9.43792155391261
chr12	24052860	24193860	TSG468	6.008260251280714
chr12	25846676	26148420	TSG462	6.61620121102367
chr12	57856273	57997273	TSG486	2.234498530447071
chr12	58522457	58685411	TSG470	5.852223740532971
chr12	60882083	61070912	TSG476	3.880014329134681
chr12	68614373	68970804	TSG474	5.780127863809289
chr12	74890985	75116809	TSG472	4.023617234043575
chr12	99932245	100073245	TSG465	7.495819049996321
chr12	115059398	115917048	TSG478	1.8664191736408768
chr13	29034704	29431891	TSG501	1.219639825817879
chr13	32730505	32871505	TSG494	6.413624137384868
chr13	48924358	49065358	TSG492	15.780451552561598
chr13	50744882	51091497	TSG499	4.449088253461677
chr13	84390476	84821700	TSG500	3.577226766269583
chr13	94190111	94402652	TSG496	3.7499666291814338
chr13	112563587	112711149	TSG497	5.686702616777075
chr14	24468978	24625498	TSG520	6.845523899682867
chr14	28007236	28545715	TSG528	2.4935813701732608
chr14	33686285	33827285	TSG512	6.376010656562474
chr14	40552188	40737095	TSG514	3.7747035433012375
chr14	67325748	67519430	TSG517	4.884835401423199
chr14	68733244	68874244	TSG507	9.934041780156386
chr14	102516150	102807344	TSG527	1.4592453930431075
chr15	32146625	32287625	TSG535	4.770768545590839
chr15	52696130	52949577	TSG542	3.045513220290712
chr15	57317685	57482996	TSG538	6.4748515932043285
chr15	67530161	67671161	TSG543	3.0598415355528723
chr15	71708431	71849431	TSG540	3.805045370227756
chr15	74833502	75254383	TSG537	2.3849249249426894
chr16	3711090	3852090	TSG553	8.043152845556937
chr16	6680266	6821266	TSG550	40.50589763609173
chr16	23136424	23384754	TSG548	3.0140908549897683
chr16	53831975	53995914	TSG564	1.4267532338199789
chr16	55857788	56276684	TSG546	2.7305682861783813
chr16	63197678	63608561	TSG561	3.2320966180342454
chr16	72276359	72417359	TSG554	5.565363589937073
chr16	78634731	78775731	TSG545	35.45777107177254
chr16	83133387	83291025	TSG562	4.855549249801891
chr17	7530920	7671920	TSG573	11.28781913551212
chr17	11730386	11871386	TSG585	4.270752310073782
chr17	37471479	37650319	TSG581	5.068077746048068
chr17	39062668	39336505	TSG575	5.590359483772125
chr17	42174226	42356271	TSG579	6.07033665207725
chr17	44197563	44338563	TSG577	7.745553557173854
chr17	51295672	51757207	TSG588	1.4299046002433515
chr17	53710597	53938315	TSG586	2.882611462807683
chr17	56158353	56322616	TSG578	3.99665254351025
chr17	59036087	59309254	TSG589	2.653184852296925
chr17	63496941	63637941	TSG580	3.72756805667877
chr17	70583696	70728216	TSG587	3.990588022689458
chr18	3602147	3916997	TSG601	4.265567409753809
chr18	5027549	5635209	TSG606	2.071833381079552
chr18	7893552	8703888	TSG616	5.616296042625022
chr18	23930269	24484561	TSG599	2.725187588385812
chr18	26437997	26644441	TSG607	3.0029867371223364
chr18	34006250	34147250	TSG602	4.841504289520186
chr18	36983514	37124514	TSG609	2.773258928901434
chr18	48531712	48672712	TSG598	8.261022060623295
chr18	66264362	66488455	TSG615	1.6879374666323057
chr18	70054891	70361212	TSG610	1.7613206871858915
chr19	6788796	7489771	TSG635	2.487319458944885
chr19	12232780	12663901	TSG625	3.413414997263211
chr19	18926283	19560327	TSG626	1.21456945317983
chr19	34188451	34356019	TSG622	3.568084572104566
chr19	37262142	37499554	TSG627	3.417102913109188
chr19	43003559	43237286	TSG633	2.546334729074469
chr19	43304260	43722108	TSG632	1.830242075776083
chr19	47954255	48095255	TSG618	7.494459264412597
chr2	9491578	9632578	TSG103	2.907713158009312
chr2	43404965	43694593	TSG54	4.813347534397593
chr2	54664542	55148510	TSG81	3.763208762932999
chr2	63177042	63486985	TSG82	3.6447081753393222
chr2	77875374	78063753	TSG70	5.07384193350407
chr2	111953472	112455424	TSG68	1.8950091713567616
chr2	133714460	133855460	TSG64	7.660797521907282
chr2	136161150	136325603	TSG51	7.300640499567465
chr2	139037307	139226799	TSG98	3.445228164506092
chr2	141581037	141722037	TSG63	11.46008034674696
chr2	141848687	141989687	TSG45	82.33211908090783
chr2	148825180	148966180	TSG65	4.742871206059796
chr2	154883300	155024300	TSG101	2.6328683595966824
chr2	159849474	160092322	TSG86	4.493130495778191
chr2	187080060	187221060	TSG55	10.364806400637384
chr2	195707481	195984012	TSG67	4.268985082623061
chr2	205801195	205942195	TSG61	9.130129189499854
chr2	213091140	213232140	TSG73	5.598234845380837
chr2	213731079	213872079	TSG52	12.166207857630788
chr2	214075981	214247094	TSG93	4.059074467732458
chr2	233451612	233592612	TSG50	7.846869665094895
chr2	233934598	234075598	TSG90	4.151882336259406
chr2	236734094	236875094	TSG84	4.363846888811123
chr20	14909089	15050089	TSG636	59.55186590101554
chr20	38993503	39339432	TSG645	4.004373200898214
chr20	45216405	45977937	TSG646	1.7433528043353006
chr20	47687624	47945499	TSG644	1.2006190953115186
chr20	53391360	54008415	TSG643	2.3016769420499603
chr20	54112167	54281681	TSG638	3.198733530392766
chr21	21231387	21514553	TSG654	3.350401701232121
chr21	24572734	25034439	TSG653	3.280172017109633
chr21	30516440	30710111	TSG652	2.854914629312376
chr21	36320643	36461643	TSG649	4.4512174852979145
chr22	23000024	23206197	TSG659	4.095892875080815
chr22	25772045	25913045	TSG658	5.727965980466747
chr22	29226605	29367605	TSG656	9.861337491129497
chr22	33931299	34249066	TSG660	2.0538838770729897
chr22	40496961	40773666	TSG662	2.9369867265296667
chr3	4336384	4512490	TSG136	5.159441891343526
chr3	9103873	9244873	TSG140	4.045902043240067
chr3	11551156	11692156	TSG145	2.961686543486597
chr3	30071662	30505571	TSG134	2.2138709788776603
chr3	50299238	50604209	TSG113	4.0148631928464455
chr3	60398378	60539378	TSG108	76.45869611518982
chr3	71253019	71394019	TSG117	9.856072832417128
chr3	72704582	72856748	TSG150	1.980388113541444
chr3	80826988	81522383	TSG125	2.55940568991319
chr3	114301008	114442008	TSG149	3.9925392402684303
chr3	116533210	116674210	TSG109	40.56445016286968
chr3	160692238	161365708	TSG121	3.0151936773477885
chr3	163281540	164034000	TSG135	2.0301935844312573
chr3	168992140	169133140	TSG144	3.2669910474080304
chr3	174328058	174469058	TSG128	9.084231844821312
chr3	174772559	174913559	TSG112	15.331956623413078
chr3	175225377	175366377	TSG126	9.38019087295921
chr3	177562122	177821794	TSG138	2.9603957659920805
chr3	185169295	185717881	TSG129	2.957159220405006
chr3	188158453	188299453	TSG114	7.112428857973463
chr3	193635765	194174217	TSG124	4.840510681712456
chr4	9966599	10107599	TSG170	6.088149758001821
chr4	19524102	19668165	TSG163	5.1873005465965845
chr4	21164469	21336499	TSG175	5.111346452821893
chr4	61044222	62245105	TSG164	2.206756384192905
chr4	77327609	77972276	TSG178	1.244527084278357
chr4	87333867	87474867	TSG180	3.360390532949696
chr4	91763960	91904960	TSG158	20.19310267987238
chr4	143261674	143402674	TSG187	2.134090156718051
chr4	151390765	151531765	TSG181	2.647421331225793
chr4	182139003	182280003	TSG157	34.42119026971008
chr4	185794191	186319627	TSG168	1.920340355093192
chr4	187544590	187685590	TSG182	3.583773139611141
chr5	5990034	6254907	TSG196	6.216758654264947
chr5	24881399	25189860	TSG223	2.2461884995845374
chr5	25993777	26645883	TSG197	6.435665148832945
chr5	32039737	32389916	TSG204	5.056084338284157
chr5	38100050	39024872	TSG211	2.5140156193460856
chr5	56184691	56378345	TSG210	5.066699475980998
chr5	58463060	58604060	TSG198	12.363383471634869
chr5	59227107	59368107	TSG194	18.178097170474054
chr5	65746822	66648982	TSG227	4.323658066518568
chr5	93273174	93432061	TSG224	2.725906534616818
chr5	100101690	100635472	TSG201	3.145611116006096
chr5	109702832	109886346	TSG212	3.4265006934983044
chr5	130741950	131216583	TSG203	3.0589680700153523
chr5	140542807	140683807	TSG222	2.358695885492174
chr5	165547801	165688801	TSG200	10.599438416519035
chr6	1890686	2031686	TSG237	13.108926126532712
chr6	9707505	10519083	TSG247	1.0774235103103451
chr6	20737766	20878766	TSG259	2.656462724165709
chr6	28440092	29124724	TSG242	2.6299675481540614
chr6	38131283	38530422	TSG249	2.5727945285158467
chr6	45065602	45501841	TSG253	1.32387184067544
chr6	49737924	50705313	TSG271	1.7767542333657658
chr6	68401126	68805280	TSG244	2.553275604698337
chr6	101351995	101508552	TSG257	3.5313193156304203
chr6	119722853	119863853	TSG261	2.730701656532988
chr6	125646791	125885204	TSG267	2.414606825032055
chr6	144973577	145114577	TSG272	1.837238732554057
chr6	148057834	148198834	TSG263	3.2210768197927
chr6	149543326	149910297	TSG254	1.4905970312405343
chr6	157272038	157413038	TSG250	5.225168563998986
chr6	162668635	162809635	TSG232	23.08198075512841
chr6	162907119	163069480	TSG265	2.8011480575653533
chr6	163587466	163817015	TSG264	2.0402292156479214
chr6	168369156	168510156	TSG252	4.521337599487929
chr6	169952832	170146602	TSG268	5.238940640402728
chr7	3867985	4008985	TSG292	4.7165925054952655
chr7	7847621	7988621	TSG311	2.469038878043229
chr7	11657543	11935639	TSG307	2.469379514507981
chr7	17141733	17306904	TSG306	2.009117878653031
chr7	33371382	33512382	TSG285	5.918850154197585
chr7	50720727	50870366	TSG315	5.571121819431122
chr7	69367365	69508365	TSG283	7.462950345064112
chr7	69953866	70094866	TSG277	14.699568104838466
chr7	78021042	78162042	TSG286	3.854870157782183
chr7	83779004	84358280	TSG294	2.811638521826666
chr7	91562017	91901107	TSG305	2.274989201341761
chr7	101624046	101780175	TSG293	3.595436024173506
chr7	110369383	110510383	TSG276	20.932192810385608
chr7	118764411	119120252	TSG289	2.351271477508762
chr7	126857808	127122530	TSG278	5.474725946555689
chr7	133516226	133657226	TSG304	3.418356531325383
chr7	136141925	136791282	TSG314	2.074927017140228
chr7	146400838	146541838	TSG284	3.95645394343144
chr7	152181326	152339506	TSG282	6.6276109145065085
chr7	157566919	157829857	TSG301	4.073244803802755
chr8	3694578	3835578	TSG319	19.28255819612679
chr8	35039432	35265764	TSG345	6.480760922020513
chr8	63578120	63751893	TSG346	3.6158076341853382
chr8	90321567	90462567	TSG321	6.2886657846898455
chr8	112758831	113295048	TSG329	1.5434906793684209
chr8	122983538	123306729	TSG344	1.5515301683046414
chr8	129095068	129240007	TSG338	2.693122887484472
chr8	137631379	137949420	TSG347	3.21340880525252
chr8	141059360	141253872	TSG335	3.17438877116673
chr9	3976763	4117763	TSG373	3.517121523559362
chr9	9412056	9553056	TSG349	26.056832450235195
chr9	11024010	11394006	TSG364	5.098048458889121
chr9	17234459	17375459	TSG361	4.616496782932169
chr9	21931645	22072645	TSG348	112.02009303227676
chr9	26328307	26552214	TSG371	10.52961495664377
chr9	28268969	28409969	TSG362	9.054370531894213
chr9	30603029	30744029	TSG354	13.274543059897145
chr9	36963777	37339965	TSG379	2.49950840375076
chr9	132127034	132915170	TSG355	3.0405332317190514
chrX	7344135	7485135	TSG666	34.204040169168934
chrX	32817299	32958299	TSG667	25.5115515066705
chrX	41933504	42503781	TSG670	3.316778668585542
chrX	69549190	70057007	TSG672	2.277395558438568
chrX	89746218	90087948	TSG671	2.747179680371332
chrX	96350749	96491749	TSG675	10.36928077782264
chrX	107642144	107783144	TSG689	4.1533744034030935
chrX	121426207	121770096	TSG684	4.385778404150822
chrX	128164136	128480873	TSG673	5.311668445018526
chrX	142921738	143784838	TSG674	3.6184369566131664
