chrom	start	end	name	score
chr1	5682024	5801067	1	0.009010912347530162
chr1	8582875	8701918	3	0.007211010276984921
chr1	10440421	10559465	5	0.0014680201710846107
chr1	23421985	23541031	10	0.022087691935757055
chr1	26967700	27086743	12	0.04986608654482742
chr1	49178590	49297633	20	0.0015200795966500951
chr1	71862795	71981839	23	0.0014284763956196648
chr1	110557228	110676272	27	0.011586631682747374
chr10	12538531	12657574	564	0.00015089130808898117
chr10	21888887	22007931	566	0.006869420047666881
chr10	26051549	26170593	567	0.0025005469847767794
chr10	51396718	51515762	576	6.811243594829645e-05
chr10	56915261	57034304	580	0.00015092320756999647
chr10	66510836	66629879	584	0.00014571424898681047
chr10	88074446	88193489	596	0.004789520418865857
chr10	109417813	109536856	598	0.0005779649260007064
chr11	60809005	60928050	616	0.000904509934239682
chr11	63159778	63278821	619	0.0011868905508704767
chr11	64329965	64449009	621	0.002233848360068376
chr11	65994575	66113618	623	0.0013670491965808355
chr11	71910931	72029974	633	0.0010637633455294535
chr11	74716194	74835238	636	5.128531209837163e-05
chr11	76616612	76735655	638	0.00025006614593901127
chr11	79608812	79727855	644	0.0003877435920856706
chr11	84003553	84122596	649	0.0002926561897137346
chr11	84549435	84668479	650	0.0006097311754972019
chr11	85166877	85285921	651	0.0006358589184538481
chr11	85748903	85867946	652	0.00014342879111198316
chr11	86413436	86532480	653	0.00030294506538020634
chr11	114476231	114595275	659	0.002190054144866702
chr11	114699223	114818266	660	0.00029435550491697894
chr11	124236556	124356404	663	5.139387986135805e-05
chr12	43220064	43339107	684	0.004664335611043488
chr12	45579848	45698891	686	0.0019058388860445133
chr12	47626443	47745486	688	0.0055356368221894615
chr12	50998868	51117912	689	0.012498438557781258
chr12	52376330	52495374	691	0.0002591480242022187
chr12	58477993	58597037	697	3.777117719235927e-06
chr12	66601656	66720699	700	0.00034327959358086615
chr12	76097265	76216308	707	0.004447316031650614
chr14	24301995	24421038	740	9.21701044029248e-05
chr14	33222550	33341593	746	3.838900342723524e-05
chr14	37786476	37905520	752	4.570213503913006e-05
chr14	39978482	40097525	754	9.007826738819814e-06
chr14	66891879	67010922	759	5.0714897493220946e-05
chr14	68053761	68172805	761	1.4760056053967041e-05
chr17	7415782	7534827	822	0.02519993830210572
chr17	11965161	12084205	823	0.10526944490612948
chr18	26321857	26440900	863	0.03903660168936065
chr18	28786244	28905286	866	0.00533007373218122
chr18	36483902	36602945	872	0.003996603206164378
chr18	39551356	39670399	873	9.83785965418764e-06
chr18	50936050	51055094	875	0.040150257684584335
chr18	51391868	51510911	876	0.07437040013671138
chr18	53030108	53149152	877	0.01367998254047122
chr19	1496278	1615321	881	0.022402556546529954
chr19	9061017	9180060	883	0.013108134335986902
chr19	11888810	12007853	885	0.008109725585670541
chr2	9394058	9513101	77	1.501907582708444e-07
chr2	25452772	25571815	81	0.0006061645317985764
chr2	32442183	32561227	85	0.0007545064712070739
chr2	43299785	43418828	90	0.0008040904145224815
chr2	45777339	45896383	92	0.00019323874310100535
chr2	54829341	54948385	94	3.679783996173055e-06
chr2	78209352	78328396	102	0.0004603793978085982
chr20	14963832	15082876	906	0.021080899423596932
chr21	28991576	29110619	927	0.004835937215824304
chr21	34847154	34966197	929	0.0035680659567908007
chr21	40037645	40156688	930	0.00488885493504329
chr22	25260511	25379555	939	0.000631272641963554
chr22	28081349	28200393	940	0.0027193605530503443
chr22	28880933	28999976	941	0.004056078334912516
chr22	33676492	33795535	945	0.000286645253764179
chr22	48980666	49099798	950	0.003829924036289186
chr3	4404818	4523861	160	0.008451263549318841
chr3	9106794	9225838	162	2.8918374047615293e-05
chr3	30492532	30611575	168	0.007002755642146163
chr3	47945003	48064047	171	0.016829006468762706
chr3	49693066	49812109	172	0.054240012507207544
chr3	60409369	60528412	178	0.010264557762246823
chr3	61718804	61837848	180	0.01402378105241555
chr3	71367831	71486874	184	0.004895706517210082
chr3	72349447	72468490	185	0.005470823506932101
chr4	10034854	10153898	232	0.0006683889803417686
chr4	13144166	13263209	235	0.0007419252905530171
chr4	19509304	19628347	239	0.003070142510393894
chr4	20324544	20443587	240	0.0008408697002237832
chr4	21284097	21403140	241	0.0015398041236573787
chr4	33738271	33857315	244	0.00379150707686283
chr4	42069655	42188698	249	0.0011509634943575227
chr4	58029666	58148709	252	0.0005160257616122861
chr4	61205001	61324044	253	0.0006943165956965541
chr4	64758926	64877969	254	0.0009588658632352958
chr4	69194760	69313804	257	0.0016222814805020782
chr4	85723518	85842561	264	1.1220874173785272e-05
chr4	86599325	86718369	265	0.000583349242912184
chr4	90823327	90942371	269	0.00013056495585227142
chr4	92773775	92892818	272	0.0004010571841134723
chr4	142103325	142222369	275	4.12703489271854e-05
chr4	152280081	152399124	278	0.0009486545089255826
chr4	163993928	164112971	280	0.0017243389308675206
chr4	178985703	179104747	282	0.0015685106125306828
chr4	181242435	181361478	283	0.0042442448419924336
chr4	182391325	182510369	284	0.00025025466091626735
chr4	184260742	184379784	285	0.0044989159554038125
chr4	186596006	186715050	286	0.0023455555308584176
chr4	187586848	187705892	287	0.0025098312133582917
chr5	56833517	56952560	321	0.006443535179457453
