chrom	start	end	name	score
chr1	150571678	150741615	16	0.015353092468506966
chr1	151549752	151797157	1	0.004337845492827676
chr1	153540304	153734176	28	0.0031369156756637187
chr1	154839176	155157122	20	0.0019505708453874367
chr1	155736873	156034001	9	0.0006407335930459172
chr1	160914013	161088587	8	0.0247731017517353
chr1	171732923	172364467	19	0.00899938268547384
chr1	201938893	202057937	22	0.00036081892830091205
chr1	204393519	204512562	4	0.0011478495852248404
chr1	234903837	235022881	10	0.0020439984265458715
chr10	5019540	5275655	240	0.023163402069235253
chr10	8854729	9324669	249	0.04060144543561965
chr10	11675709	12164521	255	0.007605506397051149
chr10	32162300	32813035	247	0.004719802485309294
chr11	61916375	62341111	272	0.0023735910323900377
chr11	65228434	65347477	275	0.00042177801160231507
chr11	66919618	67140796	286	0.0038129763850243657
chr11	69434720	69553763	285	0.011997065462642448
chr11	70165110	70284154	276	0.008289701805644614
chr11	70971824	71178480	282	0.0011589733645752502
chr11	72854062	73181590	288	0.002467938996610973
chr11	73901947	74555388	270	0.001322075549170927
chr11	77540996	77660040	259	0.005719107976803334
chr11	81822736	82785608	268	0.0020583640771662795
chr11	88179066	88819047	267	0.000947007368337923
chr11	91183729	91578517	277	0.0005889133771077217
chr11	100071333	100456683	262	0.0034102719846956695
chr11	102318256	102445858	271	0.0017996073534003027
chr12	750855	984603	315	0.002356200566321519
chr12	4005735	4630644	295	0.0035866763604131503
chr12	6495089	6729835	312	0.0007473261141134818
chr12	19777246	20304059	293	0.0037257863224095106
chr12	25088072	25291758	291	0.005131440470565877
chr12	26308757	26427801	311	0.001330371182256747
chr12	27312183	27724555	300	0.0018540658209856443
chr12	46271490	47236325	296	0.0003503776963501965
chr12	48096881	48215924	304	5.3125395314994224e-05
chr12	52494771	52613815	307	0.00016891495548427608
chr12	56477038	56596081	303	6.163232956229788e-05
chr12	58142641	58261684	292	9.805200426765955e-05
chr12	60147861	60485820	298	0.0005026030774081606
chr12	65893626	66407162	306	0.0002299194281797573
chr12	67641689	67887068	314	0.00019778926645865034
chr12	69490369	69636780	317	0.0017419731169303178
chr12	95808951	96199625	309	0.00024199862892624078
chr12	125136985	125256028	297	5.24054789880431e-05
chr13	27726123	28583697	323	0.002230989365530333
chr13	30777977	31270349	319	0.004926131014397291
chr13	54542287	55760400	325	0.00047400592284378175
chr13	71624228	72471666	326	0.0012136474915047828
chr13	73860342	73979385	320	0.0012792632734606635
chr13	106659219	107933285	322	0.0020569684618645468
chr16	1995842	2383828	368	2.2746581601008072e-05
