chrom	start	end	name	score
chr1	40525328	40677071	1	0.019265929522447166
chr1	62065390	62718530	6	0.0013753782705235287
chr1	109251510	110177361	7	0.0010027540619244888
chr1	31890745	32119632	8	0.0015121882728887982
chr1	10765757	11069149	9	0.000272642907641008
chr1	46752197	46971690	11	0.0012977657875341338
chr1	15931422	16111543	12	0.000272642907641008
chr1	150911747	151052747	14	0.007923852172010318
chr1	204383521	204524521	15	0.0036825489589012617
chr1	155112079	155253079	17	0.0015263709159921489
chr1	160978991	161119991	18	0.010961182939336761
chr1	234890001	235031001	19	0.0012752355882550109
chr1	171862709	172192253	20	0.003223084008125518
chr1	202040510	202181510	24	0.0018724979069548197
chr1	156123744	156264744	27	0.0012752355882550109
chr1	151714144	151855144	29	0.0012752355882550109
chr1	153568873	153709873	30	0.0012752355882550109
chr1	180441769	180582769	31	0.0012752355882550109
chr1	158334313	158604360	33	0.0012752355882550109
chr10	33221262	33362262	34	0.0015050871663898663
chr10	8642581	8846874	35	0.0008534134641432947
chr10	5171366	5312366	37	-0.0007250846156320183
chr10	76432072	76579554	41	0.0028371764549732
chr10	123028582	123180844	44	0.0005604046920298607
chr10	61692347	61833347	46	0.004520211940363533
chr10	79441266	79683324	49	0.007909134139642358
chr10	51415563	51556563	50	0.0002789946771519247
chr10	73820234	74024068	51	0.0002789946771519247
chr10	77020546	77161546	52	0.0002789946771519247
chr10	65313148	65717851	53	0.0021574133646299213
chr11	34650986	34791986	54	0.01171062858071423
chr11	32250564	32391564	57	-0.0008675628013722661
chr11	45625929	46021165	58	0.0035022811380318354
chr11	69513323	69654323	59	-0.0026639560209190116
chr11	77488877	77629877	60	0.007091252375871812
chr11	85130017	85511645	64	0.0017534994757901251
chr11	66784768	66925768	65	-0.0006363239109696265
chr11	70163326	70304326	66	0.039401149447384036
chr11	73936300	74292579	67	-0.0005835907289551734
chr11	102202526	102510100	68	0.001576892471129668
chr11	81066559	81638917	70	0.0007016138780075004
chr11	91088502	91352510	71	0.0008202039672042089
chr11	61972432	62156281	72	0.0027081925804545268
chr11	65227407	65368407	73	-0.0022606740065775
chr11	69111765	69252765	74	0.03410349842882973
chr11	88284359	88534593	77	-0.000806526656310256
chr11	63622382	63763382	79	-0.0018469689262796546
chr11	118277944	118418944	80	-0.0026639560209190116
chr11	72998086	73257499	81	-0.0026639560209190116
chr11	82398914	82658574	83	-0.0024706604760205693
chr12	25010267	25151267	86	0.01066117559897841
chr12	19583198	19901717	87	0.007992548355844706
chr12	849174	990174	89	0.0019116515116674368
chr12	26298074	26439074	90	0.0018167686498807565
chr12	6833080	6988460	92	0.002180640578724987
chr12	12153231	12294231	93	0.0012815805318022423
chr12	27422920	27563920	94	0.0033643005076767654
chr12	4152344	4434129	95	0.0012815805318022423
chr12	69226892	69367892	97	0.013969503948117683
chr12	58129996	58270996	98	2.3213544380766244e-05
chr12	46584368	47067860	99	0.005426359929434186
chr12	125129323	125270323	100	-0.0015583575801947445
chr12	60500550	60724284	102	0.002149998160122074
chr12	66031720	66366330	104	0.0002316820657999855
