chrom	start	end	name	score
chr1	40526006	40679148	1	1.917733777111926
chr1	150911465	151061657	2	0.5551773786165131
chr1	204361990	204502990	4	0.715876120910715
chr1	155707232	156028762	8	0.43012066343584404
chr1	234884373	235025373	9	0.6807519471948554
chr1	161025836	161166836	10	1.2511651307561371
chr1	171882734	172137165	14	1.0880240027767487
chr1	10848347	10998450	15	-0.7027753559861105
chr1	31867758	32138354	16	-0.19198561527143224
chr1	201940576	202081576	19	-0.10726411796838035
chr1	61947300	62564255	22	0.5326617786095695
chr1	16164120	16342906	25	-0.8575529151534298
chr1	46538700	47103669	26	0.3726856610480443
chr1	153527443	153750910	29	0.1767429521233113
chr1	151933439	152074439	30	0.22406462527874582
chr1	203313021	203491924	31	-0.36645951077841954
chr2	190943788	191728780	33	0.7947987735936499
chr2	60324894	60693572	34	0.15496255187487534
chr2	177887242	178256478	35	0.911254914171767
chr2	116601806	116854228	36	0.19092763686927766
chr2	113995092	114136092	38	0.264544650469314
chr2	103100485	103424158	43	-0.4707598669906237
chr2	159604976	159807684	44	0.17331685506469047
chr2	85305863	85642750	45	-0.28177765942041555
chr2	28769742	28910742	46	-0.16190964321707546
chr2	43187509	43328509	50	-0.31498915606330646
chr2	66918613	67477801	51	-0.6410870799458317
chr2	4831953	4972953	53	-0.9542502867250087
chr2	140733530	141007904	54	-0.2263459036660229
chr2	69910813	70051813	55	-0.7623545287238577
chr2	204334238	204799880	57	-0.037095583686919446
chr2	68124610	68265610	60	-0.8477171501823614
chr2	20307656	20448656	62	-0.7776747110570287
chr3	172199161	172340161	65	0.29305862543919686
chr3	181205839	181534423	68	-0.4373278276568285
chr3	168676427	168817427	69	0.6490999475774067
chr3	32195967	32336967	73	-0.5018052547706096
chr3	66690238	66831238	74	-0.34835522225529136
chr3	13644673	13785673	76	-0.04191539693654077
chr3	148755255	149392667	77	0.5482724311945923
chr3	166100795	166419596	78	0.25094774890415544
chr3	9315795	9456795	79	-0.5197009545341712
chr3	107606743	107747743	80	0.6743561571783842
chr3	177159455	177321738	81	-0.20963365363273193
chr3	69438334	70041388	82	-0.46069803552069066
chr3	174063889	174204889	83	-0.04639052020967722
chr3	61345812	61486812	85	-0.8670763254913346
chr3	193581536	193722536	88	-1.290348499153281
chr3	4781369	4922369	90	-1.055374366698534
chr3	182477899	182668923	93	-0.38871644132438316
chr3	169303738	169444738	94	0.33890103116125053
chr3	189517064	189778235	95	0.5803188642794893
chr4	57408109	57549109	96	0.1498006933122822
chr4	74196459	74365742	97	-0.25254533496782583
chr4	10192887	10333887	102	0.25686773801315665
chr4	144117913	144258913	103	0.23530762739653305
chr4	31180875	31580227	104	-0.49063241185829526
chr4	1708604	1849604	105	-0.46759892161387473
chr4	65410699	66127579	106	-0.5621446396042113
chr4	77351428	77524244	107	-0.6784086630207011
chr4	60300916	61066665	108	-0.37837579949135136
chr4	90921207	91062207	109	-0.7927114900031779
chr4	38120116	38374260	110	-0.6585591219496085
chr4	22048282	22884950	111	-0.6824115588956555
chr4	153946063	154087063	114	-0.3918025560480434
chr4	119939213	120080213	115	-0.4197553268463131
chr4	72985303	73448855	116	-0.5244500389660082
chr4	78108040	78249040	118	-0.3574559555659586
chr4	87752225	88205120	119	-1.0597885245171144
chr5	14152432	14360358	122	-0.49807680710314617
chr5	148928256	149069256	123	-0.6913997751596435
chr5	36291035	36432425	127	0.3763192477092486
chr5	55714385	55855385	132	-1.0113404697490727
