chrom	start	end	name	score
chr1	5742084	5861127	1	0.023832965206297147
chr1	8642934	8761977	3	0.017466188799228982
chr1	10500478	10619522	5	0.0015128125720474804
chr1	23748478	23867522	10	0.016724568185482337
chr1	27294191	27413234	12	0.033218963137745985
chr1	72328478	72447522	23	0.003108410015516568
chr1	111099850	111218894	27	0.004503228830707229
chr10	22177816	22296860	566	0.0029967220176908027
chr10	26340478	26459522	567	1.3284071614818703e-05
chr10	47368407	47487450	571	0.045523385274178235
chr10	50230572	50349615	573	0.0022949999027041764
chr10	51636478	51755522	575	0.0012643142342893554
chr10	53156478	53275522	576	0.00048675777885333744
chr10	58675021	58794064	580	0.007588311342631035
chr10	68270594	68389637	584	0.0011276442390091076
chr10	68971212	69090255	585	0.004985486549294518
chr10	76011836	76130879	588	0.0004095663026953454
chr10	78008478	78127522	591	0.003358646896060768
chr10	89834203	89953246	596	0.004109622386396261
chr10	111177571	111296614	598	0.006531922789220513
chr11	60576478	60695522	616	0.0023649730214562294
chr11	62927250	63046293	619	0.0011393266169107755
chr11	64097437	64216481	621	0.010300095932452152
chr11	65762046	65881089	623	0.004610329759102837
chr11	68344155	68463198	626	0.002888674861260408
chr11	69820468	69939512	629	0.0017268023490952496
chr11	71621977	71741020	633	0.006317030037997601
chr11	74427239	74546283	636	0.0006284862884414367
chr11	76327656	76446699	638	0.003405964109808579
chr11	79319856	79438899	644	0.0006497247068193045
chr11	83714596	83833639	649	0.0011205342788208228
chr11	85459946	85578989	652	1.4098615410966163e-05
chr11	86124478	86243522	653	0.0011957497756205
chr11	88645278	88802542	655	0.003055069925651427
chr11	114346953	114465997	659	0.0034831111735250508
chr11	114569945	114688988	660	0.002083384503708957
chr13	32900478	33019522	718	0.00084148890537085
chr13	48988478	49107522	721	0.002301269188504051
chr13	49474019	49593062	722	0.002371978311002529
chr13	50887270	51006314	723	0.0016388634864472457
chr13	64940935	65059979	724	0.002214930726483833
chr13	84423366	84542409	726	0.0009791772865675545
chr13	108168221	108287264	732	0.0008066690508264512
chr14	24771201	24890244	740	0.020991805025291514
chr14	33691756	33810799	746	0.003866175536440754
chr14	38255681	38374725	752	0.005977668586824649
chr14	40447686	40566729	754	0.005797901454172772
chr14	67358596	67477639	759	0.006844786234029347
chr14	68520478	68639522	761	0.002578849792142292
chr15	27629324	27748368	773	0.0004546232583149413
chr15	32116571	32235614	774	0.0006788698846930414
chr15	40684283	40803327	776	0.004462608355668628
chr15	42035926	42154970	778	0.0022227013608720025
chr15	57386282	57505326	782	0.003551305602904163
chr15	74972745	75091788	790	0.002193703449387437
chr15	77221327	77340371	791	0.00026419187722230065
chr17	7319101	7438144	822	0.028341973598934096
chr17	11868478	11987522	823	0.012653708498291467
chr18	23901821	24020864	863	0.010701128805055044
chr18	26366208	26485251	866	0.00587156555451697
chr18	34063865	34182908	872	0.003768574546311261
chr18	48462420	48581464	875	0.0016722632152567681
chr18	48918238	49037281	876	0.0032036922504621026
chr18	50556478	50675522	877	0.0008370227151179429
chr19	1496277	1615320	881	0.0013127738900555708
chr19	9171693	9290736	883	0.0018058517731685195
chr19	11999625	12118668	885	0.0007526303620083277
chr2	9534187	9653230	77	1.4082884023674923e-07
chr2	25675641	25794684	81	0.0008670412437028318
chr2	29904478	30023522	84	6.527431198931525e-05
chr2	32667251	32786294	85	0.0024285054751916344
chr2	43526924	43645967	90	0.0012065947255090175
chr2	46004478	46123522	92	0.0005884313100472528
chr2	55056478	55175522	94	0.00028433323078094405
chr2	78436478	78555522	102	0.00025479780690212977
chr2	132306981	132426024	114	0.0035743679235328172
chr2	133852478	133971522	115	0.0003451832880872014
chr2	136156535	136275579	116	0.009705182856966641
chr2	141785715	141904759	120	0.0018250003335709554
chr2	148983654	149102697	122	0.0026605813269479587
chr2	154936482	155055525	124	0.0003833206301843071
chr2	160298496	160417539	126	0.0012665424792508869
chr2	195951971	196071014	137	0.0012274183702741992
chr2	205798285	205917328	142	0.00014355218931593906
chr2	213455331	213574374	148	0.00041499290469857337
chr2	213717438	213836481	149	0.0005261195260455972
chr2	225200478	225319522	153	0.000598103331781464
chr2	233214997	233334041	154	0.0005350285010433812
chr22	28477337	28596381	940	0.0007880186023499617
chr22	29276921	29395964	941	0.000486362051714163
chr22	40520478	40639522	948	0.0002403319502030626
chr22	49376478	49495522	950	0.00023120144091593633
chr3	47986493	48105537	171	0.027121229848146036
chr3	49730499	49849542	172	0.07598496049701492
chr3	60395102	60514145	178	0.03890631989796742
chr3	61704478	61823522	180	0.013077078581785452
chr3	71416982	71536025	184	0.024264818419307957
chr3	72398598	72517641	185	0.0034179182694028896
chr3	81754992	81874035	187	0.10854896884903596
chr4	19510927	19629970	239	0.004615161068402811
chr4	20326167	20445210	240	0.00013111061606779572
chr4	21285720	21404763	241	0.0009561975600972101
chr4	33739893	33858937	244	0.012814454598492172
chr4	42071672	42190715	249	0.002255063976293844
chr4	58895832	59014875	252	0.0024291018725711693
chr4	62070719	62189762	253	0.004844981462198778
chr4	65624644	65743687	254	0.0019118729597377166
chr4	70060478	70179522	257	0.005560651154597198
chr4	91197163	91316206	268	0.0017489203947295294
chr4	91744478	91863522	269	0.00039960334860329174
chr4	106477503	106596546	273	0.00026439099469784843
chr4	143024478	143143522	275	7.934954886946011e-05
chr4	153201233	153320276	278	0.0018239561640014384
chr4	179906857	180025901	282	0.0031354927626296362
chr4	182163588	182282631	283	0.0027201039184962706
chr4	187517160	187636204	286	0.0009572048667719631
chr4	188508002	188627046	287	0.006285636783164568
chr5	554578	673622	289	0.00025248942144315853
chr5	1440478	1559522	291	0.0004005191958362151
chr5	2643068	2762111	292	0.0024594976129105064
chr5	5644478	5763522	296	0.0010565997440240991
chr5	6888308	7007352	297	0.0010445290761033849
chr5	12336624	12455668	300	0.0024458987311423504
chr5	13417761	13536804	301	0.0011670611621972676
chr5	16252478	16371522	303	0.0019339520636642508
chr5	24879818	24998861	306	2.3738910055097675e-05
chr5	26248808	26367852	308	0.0002756588465942302
chr5	27318914	27437957	309	0.0010663747270289567
chr5	29116456	29235499	310	0.0024513503736834767
chr5	31940458	32059501	312	0.00021029325255375538
chr5	32389724	32508767	314	0.0018189084958553125
chr5	35374566	35493609	315	0.0005778467923727275
chr5	40655310	40774353	319	0.0006198221274876831
chr6	5224478	5343522	354	0.0006231075445385998
chr6	26046318	26165361	362	0.00013189139344023674
chr6	27583603	27702647	364	0.011529337015604973
chr6	29788478	29907522	365	0.002386051734179693
chr6	31107325	31226368	367	0.0028030451082730113
chr6	32572478	32691522	369	0.003791135237231882
chr6	38210390	38329433	374	0.0007657436262914776
chr6	43061165	43180208	379	0.004269417385411214
chr6	45210651	45329694	382	0.0018483987770627143
chr6	50926236	51045279	384	0.0017281316219976916
chr6	68821709	68950989	389	0.029226401461078664
chr6	128672119	128791162	397	0.01054227793549525
chr6	144989016	145108059	399	0.0056143214934170505
chr8	2407562	2526605	470	0.002959032452038821
chr8	3692478	3811522	472	0.0047069543966976515
chr8	4390842	4509885	473	0.008981764779717186
chr8	6241429	6360473	475	0.00010786435754636363
chr8	30072478	30191522	483	0.026755337626696206
chr8	34884478	35003522	488	0.004536338059312788
chr8	36283967	36403010	490	0.014758930591293308
chr9	9352478	9471522	526	0.003732199621232968
chr9	11656478	11775522	528	0.010161433627654547
chr9	14069123	14188166	530	0.0012593096319728151
chr9	17198330	17317373	533	0.001748413507959841
chr9	21920478	22039522	536	0.02370761776306432
chr9	28712034	28831077	539	0.005095334631187606
chr9	30316478	30435522	541	0.002327557322455154
chr9	37268942	37387985	550	0.0031184833737002812
chr9	99846649	99965692	552	0.0500767432674748
