chrom	start	end	name	score
chr1	40434842	40770691	0	0.00013509234855684489
chr1	106869942	108231644	6	-0.0006261753131654176
chr1	31805355	32202812	8	-0.000626847774273394
chr1	10824979	10988820	9	-0.0006299133191923816
chr1	61572512	62827216	10	-0.0005953295833198323
chr1	46707151	46967620	11	-0.0003291210271783592
chr1	24603397	25020960	12	-0.0006836183371440844
chr1	151549752	151797157	14	0.0006486468323764335
chr1	204393519	204512562	16	0.0006713026021938665
chr1	160914013	161088587	18	0.0007274837636256973
chr1	155736873	156034001	19	0.0006301273101193009
chr1	234903837	235022881	20	0.0006301273101193009
chr1	150571678	150741615	22	0.0008660463716575187
chr1	171732923	172364467	24	0.0006785351887335202
chr1	154839176	155157122	25	0.0006466418512768684
chr1	201938893	202057937	26	0.0006623753013939107
chr1	153540304	153734176	28	0.0006486468323764335
chr10	5019540	5275655	29	-0.0007625617879633705
chr10	32162300	32813035	30	-0.0005921427043246038
chr10	8854729	9324669	31	-0.0006897362537458878
chr10	11675709	12164521	32	-0.00074980366097
chr10	63080956	63794123	35	0.00022312138391678587
chr10	76654523	76935967	38	7.535014411805973e-05
chr10	54960117	56167514	40	-5.343591810037475e-05
chr10	61702484	61821527	41	-0.00014586870582535458
chr10	83068024	84207260	43	2.790183599121074e-05
chr10	47408334	47827719	44	0.00011569797412363182
chr10	126144907	126666595	45	-0.0002087660912817062
chr10	65364015	65713333	46	-8.964783167695147e-05
chr10	79624190	79947792	47	-4.675247400444071e-05
chr10	77060107	77208323	48	-0.00013495200255389013
chr11	34672395	34791439	49	0.00016759837697303352
chr11	40096845	41086885	51	-0.0003340372082092683
chr11	46293298	46643939	52	-0.00020696101263274592
chr11	13513869	14247668	53	-0.00045793638927920077
chr11	32068935	32537281	54	-0.0004662925767363047
chr11	77540996	77660040	56	0.0008801306569922279
chr11	100071333	100456683	59	0.0007117492872879431
chr11	88179066	88819047	62	-0.0004073180197325855
chr11	81822736	82785608	63	0.0001418466811275112
chr11	73901947	74555388	64	-0.0001874111809366021
chr11	102318256	102445858	65	0.00034975097567606253
chr11	61916375	62341111	66	-0.00029208617211846206
chr11	65228434	65347477	68	-0.0005868875351107335
chr11	70165110	70284154	69	0.00564036942188367
chr11	91183729	91578517	70	-0.00041446501966798483
chr11	70971824	71178480	73	-6.25597744700849e-05
chr11	69434720	69553763	76	0.006461773126403711
chr11	66919618	67140796	77	0.0011976377754491488
chr11	72854062	73181590	78	6.825954016761457e-05
chr12	25088072	25291758	81	0.001321377315865921
chr12	19777246	20304059	82	0.0015873836066405639
chr12	4005735	4630644	84	0.0013552147696136792
chr12	27312183	27724555	86	0.0011955708272227141
chr12	26308757	26427801	87	0.001210209049014243
chr12	6495089	6729835	88	0.0011490723266773927
chr12	750855	984603	89	0.0012754871609976042
chr12	58142641	58261684	90	-0.000509842613713714
