chrom	start	end	name	score
chr1	5682024	5801067	1	0.006322587141086492
chr1	8582875	8701918	3	0.0067651470480883935
chr1	10440421	10559465	5	0.0005786666351050199
chr1	23421985	23541031	10	0.0136294945299197
chr1	26967700	27086743	12	0.041250663495784747
chr1	49178590	49297633	20	0.002668226619781261
chr1	110557228	110676272	27	0.014320958563072295
chr10	49022527	49141570	573	0.0024324222880077575
chr10	51396718	51515762	576	0.0010040182572149078
chr10	54620718	54739762	578	0.0006176310947302075
chr10	56915261	57034304	580	0.0022201413407082512
chr10	66510836	66629879	584	0.0013515645722893483
chr10	67211454	67330497	585	0.0023901889488026793
chr10	74252078	74371121	588	0.0028624554139754944
chr10	76248720	76367764	591	0.002182196820722598
chr10	78426003	78545046	593	0.002650761176413818
chr10	88074446	88193489	596	0.030066390633384954
chr10	109417813	109536856	598	0.003914494982299343
chr11	2712010	2831053	604	0.0023882762445459316
chr11	5519248	5638292	606	0.0010936435648761524
chr11	38587962	38707005	612	0.004764923878486642
chr11	45736875	45855918	614	0.0031846448438715763
chr11	60809005	60928050	616	0.001592792621714768
chr11	63159778	63278821	619	0.002027857650159734
chr11	64329965	64449009	621	0.004077262528920686
chr11	65994575	66113618	623	0.0014195213435308583
chr11	68576687	68695730	626	0.0023488759149550838
chr11	71910931	72029974	633	0.004520304335436859
chr11	74716194	74835238	636	0.00039739796225875083
chr11	76616612	76735655	638	0.0008280003992801424
chr11	78952241	79071284	643	0.0007139183815701303
chr11	79608812	79727855	644	0.0009813589835389457
chr11	80711014	80830058	645	0.0013061454057815122
chr11	81340313	81459357	646	0.0011522269913128871
chr11	84549435	84668479	650	0.000926468245240424
chr11	85166877	85285921	651	0.0011954806484271363
chr11	85748903	85867946	652	0.00022885795609325747
chr11	86413436	86532480	653	0.000647802312453202
chr11	88912110	89069374	655	0.00044958536110972764
chr11	114476231	114595275	659	0.005567270242727808
chr11	114699223	114818266	660	0.0005350825795095037
chr11	124236556	124356404	663	0.00041681493292865127
chr12	43220064	43339107	684	0.004929151594794443
chr12	45579848	45698891	686	0.0017478302748954644
chr12	47626443	47745486	688	0.0017945424969214288
chr12	50998868	51117912	689	0.007690475420646127
chr12	52376330	52495374	691	0.005202236524478381
chr12	57340622	57459665	695	0.00043339336977857014
chr12	58477993	58597037	697	0.0020978384718001466
chr12	66601656	66720699	700	0.0009584788857578665
chr12	71506698	71625742	706	0.00045679521051923553
chr12	76097265	76216308	707	0.003113999280820715
chr14	24301995	24421038	740	0.006705226809838773
chr14	37786476	37905520	752	0.0021434936962117642
chr14	39978482	40097525	754	0.0002922049592848618
chr14	50531131	50650174	756	0.0019332327420473212
chr14	66891879	67010922	759	0.0022329349471935478
chr14	68053761	68172805	761	0.0009265386662159696
chr14	105780011	105899533	770	0.00013245316036099872
chr15	27384178	27503222	773	0.00036512610998383347
