chrom	start	end	name	score
chr1	147194443	147313487	29	0.012458686423352258
chr1	150813077	150932121	31	0.0027220480836078376
chr1	151845010	151964054	32	0.008271291392354727
chr1	154947153	155066196	37	0.0007342026580082615
chr1	205342936	205461979	60	3.533314296595027e-05
chr1	234966252	235085296	67	0.00018301633823443673
chr1	246568478	246687522	75	0.005784300219301298
chr10	47580478	47699522	572	0.0002024051346587797
chr10	58424478	58543522	579	0.00012364981535679798
chr10	61585647	61704691	581	2.308263145999347e-06
chr10	63606446	63725489	582	8.050936716902131e-05
chr10	70939573	71058616	586	6.922481941661356e-06
chr10	113940446	114059489	599	1.000282890815901e-05
chr12	6564395	6683439	670	0.011478831721912816
chr12	46642802	46761845	687	0.027266166690630984
chr12	52562932	52681976	690	0.001789392214886764
chr12	53279452	53398495	692	0.0021398344215222665
chr12	54460478	54579522	693	0.0041703274286611905
chr12	58152689	58271732	696	0.005659936626625707
chr12	60042251	60161294	698	0.02177353545645082
chr12	65935599	66054642	699	0.03261530655287079
chr12	69128478	69247522	702	0.017085186821478936
chr12	69760361	69879404	703	0.030131729702518453
chr12	126896478	127015522	714	0.008441572352999405
chr16	2044617	2163661	800	0.01260313754866146
chr16	4204478	4323522	802	0.0038002998477284266
chr16	7732478	7851522	805	0.0393281621778291
chr16	11380883	11499926	806	0.001808126297077481
chr16	11694292	11813335	807	0.004013736928099042
chr16	28155216	28274259	811	0.004292848359209113
chr16	68345739	68464782	814	0.04877202491490654
chr16	70915062	71034105	815	0.00010182399771566545
chr19	8964478	9083522	882	0.015821268435084825
chr19	10576478	10695522	884	0.022576750985418833
chr19	13184478	13303522	886	0.015995441399816707
chr19	15373987	15493030	887	0.04310551819558022
chr19	33667544	33786587	889	0.001887313719731279
chr19	35861811	35980854	891	0.007732499875013271
chr19	38249755	38368798	893	0.00549730482246887
chr19	39711092	39830136	894	0.01012923207263525
chr19	40125729	40244773	895	0.003918696172665489
chr19	40900478	41019522	896	0.002999268024209166
chr19	45077262	45196306	900	0.008054557153786493
chr19	55950744	56069787	903	0.005299031204562575
chr20	15398466	15517509	907	0.000640452856059148
chr20	19940478	20059522	908	0.00038757604456192836
chr20	34076149	34195193	909	0.008796619594401218
chr20	46007090	46126133	913	0.0016761104810036973
chr20	48228559	48347603	914	9.336763372847691e-05
chr20	48749975	48869018	915	0.012376312570617371
chr20	49024478	49143522	916	0.0015714283646582744
chr20	50476478	50595522	917	0.0003702010271781735
chr20	52327763	52446806	919	0.051060193407272164
chr20	55990973	56110017	921	0.001196716709310273
chr20	62318010	62437054	926	0.0022318475218287893
chr21	34852478	34971522	928	0.008233888817292406
chr21	45469216	45588259	933	0.0021043661769580536
chr4	10242019	10361063	233	0.002416296689168719
chr4	11781423	11900466	234	0.005921177093262473
chr4	14072499	14191542	236	0.001017274945679007
chr4	18468478	18587522	238	0.0052882592178075455
chr4	25167416	25286459	242	0.009509486815473178
chr4	33432478	33551522	243	0.026207911278625942
chr4	38164478	38283522	245	0.004480483388430427
chr4	38384478	38503522	246	0.007876627361805279
chr5	1220889	1339932	290	0.011170734328406276
chr5	2970817	3089860	293	0.0007050387886369965
chr5	5125696	5244739	295	0.0008156496580268317
chr5	8043689	8162733	298	0.004450507173678792
chr5	10102404	10221447	299	0.012941144279555186
chr5	14389391	14508435	302	0.013953612229111614
chr5	17068478	17187522	304	0.008018153647686944
chr5	22195817	22314860	305	0.007409151003698846
chr5	25456786	25575829	307	0.008219360363708465
chr5	31118924	31237968	311	0.0005377853547622852
chr5	32174237	32293280	313	0.011559117810373215
chr5	36233772	36352815	316	0.006351585809390657
chr5	39274894	39393937	318	0.002916409403848464
chr5	55783819	55902862	320	0.009476706810134836
chr5	59695640	59814683	326	0.01371817246741672
chr5	62177060	62296103	327	0.016020293326039665
chr5	65238931	65357974	328	0.0035910650663746805
chr5	110064357	110183400	332	0.0007064461294551601
chr5	149020799	149139843	340	0.0015430622957996545
chr5	165773156	165892199	344	0.027811935030414677
chr7	6346462	6465505	412	0.02670535307546981
chr7	16838764	16957807	415	0.027638292914172306
chr7	23287740	23406783	418	0.006101345143502192
chr7	66544261	66663304	426	0.003053896199516389
chr7	69148478	69267522	427	0.004352120098615286
chr7	86748478	86867522	435	0.0005700997448771954
chr7	92372579	92491622	439	0.019084689878984457
chr7	98804944	98923987	440	0.0011798429452142597
chr7	99587282	99706325	441	0.00012233540567626843
chr7	139916949	140035992	460	0.0026791261029714434
chr7	142340478	142459522	462	0.0010984343916665697
chr7	143948478	144067522	463	0.0022580741866874295
chr7	146751327	146870370	466	0.002810069390002001
chr8	128289701	128408744	508	0.0007760266729457275
chr8	128632043	128751087	509	0.015873270502334762
chr8	129480478	129599522	511	0.00935024996277671
chr8	137368960	137488003	514	0.052511693615208896
chr8	140454004	140573047	517	1.6451165307565825e-05
chr9	75090848	75209891	551	0.010622365439373248
chr9	114672478	114791522	554	0.016879230034469735
chr9	130502093	130621137	555	0.030040965886822098
