chrom	start	end	name	score
chr1	4227963	4347006	0	0.002412036006145149
chr1	6151201	6270244	1	0.0088108873827898
chr1	7942696	8061739	2	0.00599397775764307
chr1	10536421	10655465	3	0.0013340278298448781
chr1	20879771	20998814	7	0.0019144874622283722
chr1	26788020	26907063	10	0.0016971552053743645
chr1	48934739	49053782	18	0.0007140670885788533
chr1	50638878	50757921	19	0.0004291844115654732
chr1	71862795	71981839	22	0.00019055708622893564
chr1	92812308	92931351	23	0.0006738741372051134
chr1	162158802	162277845	34	1.5771998503400528e-06
chr1	189424363	189543407	39	0.0006094531656632276
chr1	241427643	241546686	45	0.0048056935779361935
chr1	246112518	246231561	48	0.0066296018794730375
chr10	22342056	22461100	329	0.01670896834554991
chr10	24395920	24514963	330	0.01547324559697307
chr10	47608588	47727615	331	0.026623999323494088
chr10	51488559	51607602	334	6.5363300741354245e-06
chr10	54584647	54703691	335	0.004499128509977499
chr10	56643056	56777011	336	0.007247570367215031
chr10	66728824	66847867	340	0.003079371597650872
chr10	74232720	74351764	342	0.004626414015053815
chr10	75640715	75759758	345	5.554690773010581e-05
chr10	88023240	88142283	350	0.15057904457780488
chr10	110932549	111051593	351	0.0004418339238680695
chr10	112656489	112775532	352	0.0007884026603007161
chr11	40411372	40530415	358	0.011216804578058848
chr11	46206310	46325355	360	0.005336415837154039
chr11	62958560	63077843	363	0.002814047261202883
chr11	68642182	68761225	369	0.004709747812656034
chr11	71861432	71980476	375	0.0020526358719315896
chr11	76349454	76468498	378	0.000714755925461115
chr11	80558042	80677085	382	0.006821971293930652
chr11	82277673	82396716	383	0.0014495674039619725
chr11	85986567	86105612	386	0.0007219195204882786
chr12	45058695	45177739	405	0.0034475072068055994
chr12	58086057	58205100	412	0.011205444893083632
chr12	66986441	67105485	414	0.006375383529576387
chr12	68202497	68321540	416	0.007058369540452251
chr13	32160562	32284541	424	0.013857678003840813
chr13	48367559	48486602	425	0.012728415355704197
chr13	48586342	48705386	426	0.019723341884588016
chr13	50327992	50447036	427	0.01406880647733035
chr13	83934035	84053078	429	0.005398715304043618
chr13	93558092	93677135	431	0.00498112272076522
chr13	112049822	112168865	434	0.00394093165948074
chr14	33242977	33362021	439	0.008038858507346194
chr14	40143320	40262364	443	0.00676744067842362
chr14	66969761	67088805	448	0.005637861477317132
chr14	67861761	67980805	450	0.005086535050850315
chr14	68523434	68642477	452	0.009418650079099632
chr15	31914076	32033119	459	0.013417647054770493
chr15	41672280	41791324	461	0.015837068751284572
chr15	52385692	52504735	463	1.5588758027145603e-06
chr15	57098702	57217745	464	0.005446392737066496
chr15	74689495	74808538	470	0.0015510151711885416
chr16	51528392	51647435	487	0.019463746959429984
