chrom	start	end	name	score
chr1	10764922	10928763	21	0.0021637453554225043
chr1	24276907	24694469	26	0.0009265421526612281
chr1	31332508	31737211	18	0.0030272824504004306
chr1	39969170	40305019	0	0.012563591081318177
chr1	46241479	46501948	25	0.0037117935367781936
chr1	61106840	62361545	23	0.00204267012239028
chr1	106327320	107689022	14	0.003602892634044746
chr1	150599202	150769139	16	0.010929507126283978
chr1	151577276	151824681	1	0.002974585628429122
chr1	153567828	153761700	28	0.0018349493531673426
chr1	154866700	155184646	20	0.0027388409376119752
chr1	155767082	156064210	9	0.002841908016348448
chr1	160944223	161118797	8	0.009344826206593024
chr1	171763783	172395327	19	0.005608809850563339
chr1	201969765	202088809	22	0.005464983506878243
chr1	204424391	204543434	4	0.0060851650072378805
chr1	234768090	234887134	10	0.001346915769054302
chr10	4977348	5233692	240	0.0012514069481676315
chr10	8812766	9282706	249	0.002392457300873894
chr10	11633710	12122522	255	0.0008410988434101357
chr10	31873372	32524107	247	0.0012636005947579147
chr10	53200357	54407754	248	0.002241019437044778
chr10	59942726	60061769	250	0.001513328040911908
chr10	61321198	62034364	242	0.006327439937361365
chr10	63604255	63953573	256	0.0014629469809292366
chr10	74894765	75176209	245	0.008344331332495585
chr10	75300349	75448565	258	0.0014317989369234756
chr10	77864432	78188035	257	0.006740160615020748
chr10	81308268	82447504	252	0.00429066222143162
chr10	124456338	124978026	254	0.002873644714013872
chr11	13492322	14226122	278	0.0009806657215489319
chr11	32047389	32515735	281	0.0032124644962290435
chr11	34650848	34769892	263	0.005763502567490136
chr11	40075295	41065335	269	0.0021568731950720415
chr11	46271747	46622389	274	0.0024700797860146913
chr11	62148903	62573639	272	0.0036282415260662586
chr11	65460963	65580006	275	0.000525367665628935
chr11	67152147	67373325	286	0.009247510869257293
chr11	69619952	69738995	285	0.03077687686682987
chr11	70319004	70438048	276	0.02111444955608379
chr11	71260778	71467434	282	0.0031509209730619316
chr11	73143017	73470545	288	0.004957343573295169
chr11	74190902	74844343	270	0.004556766599378417
chr11	77829950	77948994	259	0.01660666975795716
chr11	82111694	83074566	268	0.005678938488612773
chr11	88445898	89085879	267	0.0027526024296821907
chr11	91450563	91845351	277	0.001772643994785569
chr11	100200601	100585952	262	0.0035448006215977987
chr11	102447525	102575127	271	0.0023875829517807216
chr12	641689	875437	315	0.003079854834427713
chr12	3896569	4521478	295	0.004178907109032469
chr12	6385923	6620669	312	0.0012834173597540141
chr12	19624312	20151125	293	0.009297633467020183
chr12	24935138	25138824	291	0.00802121545282425
chr12	26155824	26274868	311	0.0038537232640289366
chr12	27159250	27571622	300	0.004560791431734639
chr12	45877707	46842542	296	0.003258515378190945
chr12	47703098	47822141	304	0.0008724302599091101
chr12	52100987	52220031	307	0.0013784477243472197
chr12	56083254	56202297	303	0.0008110977028813014
chr12	57748858	57867901	292	0.0011671165808432547
chr12	59754080	60092039	298	0.0030408915866145685
chr12	65499846	66013382	306	0.0040299065437900145
chr12	67247909	67493288	314	0.0008387019524951288
chr12	69096589	69243000	317	0.01614453843781201
chr12	95415175	95805847	309	0.0017405192739106186
chr12	124652439	124771482	297	0.00047351712443544146
chr13	27151986	28009560	323	0.005672876526747972
chr13	30203840	30696212	319	0.00818951611529538
chr13	53968152	55186265	325	0.0008108835778788127
chr13	71050096	71897528	326	0.0019337065761974965
chr13	73286205	73405248	320	0.0015498290015889008
chr13	106006870	107280937	322	0.002396156463032724
chr14	23259105	23594054	340	0.0013188682930949862
chr14	26331260	26785808	330	0.0024018897362041553
chr14	30781838	31712143	335	0.0022518864636730893
chr14	35305989	35516969	327	0.0029100317033898867
chr14	37343469	37589273	332	0.0035689040890684847
chr14	41444173	42113315	338	0.0014008053412398569
chr14	49950433	50078527	329	0.0034380115219399643
chr14	61473706	61592749	341	0.00015216511888976688
chr14	76968624	77087668	333	0.00035605355492580485
chr14	103111801	103323946	339	0.00021523469820935263
chr14	104596671	104974929	343	0.00040745543103181753
chr15	25337247	25692020	350	0.0030868345429703424
chr15	51849333	52543565	347	0.005105500581007943
chr15	53171399	53468198	354	0.001089068829938716
chr15	63264299	63734559	351	0.0005211746812033784
chr15	71528646	71647690	348	0.0018334886189092616
chr15	72303492	72637942	353	0.0018341963939677971
chr15	86862062	86998071	345	0.002847608069913037
chr15	90117058	90328261	349	0.002124570679077983
chr15	92712490	92831533	346	0.0013560153128185405
chr16	1945841	2333827	368	0.0028485551551022947
chr16	4152081	4295376	373	0.0017692897217394207
chr16	11637627	11775844	359	0.008903926645464359
chr16	18828123	19591425	369	0.004140460457516591
chr16	29033031	29729008	362	0.003860601986768875
chr16	52265164	52702418	364	0.0006540117853003001
chr16	69313107	69813585	370	0.00020294231022983502
chr16	77887628	78006671	366	8.073137043724827e-05
chr16	79217842	79336885	363	1.3488474879985577e-06
chr17	32736739	33017432	384	0.006687848281096792
chr17	37680110	37860694	388	0.001026217412600429
chr17	39658666	39777709	375	0.04746718170422142
chr17	48251532	48479073	383	0.008765301242440042
chr17	50515699	50712150	386	0.009499327183364766
chr17	52326898	52711688	377	0.009894937068431496
chr17	62571334	63664492	382	0.01853377569380783
chr17	69200499	69893902	374	0.01107912939020223
chr17	75471682	75590726	381	0.005145523114839486
chr17	79760434	80083049	390	0.002717097057303956
chr18	3374769	3499944	396	0.005340432699197267
chr18	9476697	10938629	406	0.0029554733272609715
chr18	26369786	26562008	402	0.0023402746502223125
chr18	28630753	28946257	395	0.0012906280925872762
chr18	31301791	31687818	401	0.0012044902211103036
chr18	34223869	35294783	405	0.0005808007442712803
chr18	43502244	44343852	398	0.0014800087771190272
chr18	48627598	49089456	404	0.000610035943808744
chr19	9028351	9157312	418	0.0002336751353110846
chr19	10625699	10836058	409	0.0008507863439479241
chr19	13225661	13473891	416	0.00045215779212451904
chr19	15209520	15367640	407	0.001529509936758312
chr19	33028459	33325884	410	0.008987508927957976
chr19	34977767	35361113	417	0.00412237186989212
chr19	37298703	37801292	408	0.010170785204312045
chr19	39174301	39369276	411	0.009028959668969145
chr19	44694140	44813196	412	0.00300946613765614
chr2	4892318	5108590	51	0.0006817157888069908
chr2	28537956	28657000	44	0.0004931768048214922
chr2	42906359	43137250	48	0.00020039776200177635
chr2	56492365	57045716	55	0.000974256870897847
chr2	61053389	61713250	31	0.0015399264116202147
chr2	66831659	67020022	50	0.0005121219022697655
chr2	84934804	85393222	39	0.0013945621806851541
chr2	102460067	102884836	38	0.001070869698828863
chr2	113265416	113384460	35	0.00039486664775965696
chr2	115361023	115746221	32	0.0022394831699314955
chr2	117069373	117563143	60	0.0005515354515118979
chr2	122445691	123519575	42	0.0005143578190203274
chr2	136001658	136530193	59	0.0003073873108217704
chr2	139895344	140296379	53	0.001299206291890471
chr2	158667607	159034837	40	0.0009614769144388788
chr2	176734215	177614813	33	0.0018964089076026665
chr2	190189956	190667595	30	0.0020520332759150607
chr2	194224646	195113419	41	0.002428753968774136
chr2	203393734	204010198	57	0.0012435690767949755
chr20	10885934	11882474	426	0.0029956356428784132
chr20	35471464	35590410	424	0.006710533837471732
chr20	44088199	45079172	427	0.004449850165247272
chr20	47329761	47448804	428	0.0033017292105153354
chr20	50037825	50270003	425	0.0038023532631074586
chr20	53518081	53637124	434	0.018473823718309287
chr20	56959958	58005174	430	0.0022715379988813
chr20	60270269	61275884	432	0.00499467089452113
chr20	62302538	62421582	423	0.001703502521393773
chr21	26191662	27839270	438	0.002425022248399893
chr21	33368742	33487784	435	0.0023091039643696873
chr22	29876838	30055255	439	0.003304163171214232
chr22	37972328	38203478	442	0.0016072483041273335
chr3	9194927	9405810	76	0.005267654500370425
chr3	13618766	13737811	71	0.004940798143196109
chr3	66628213	66765145	70	0.0020188417451037213
chr3	69222490	70070531	79	0.0042990450684150605
chr3	81497510	83212700	80	0.001980673218105302
chr3	101273206	102725691	84	0.002592597261497014
chr3	107913121	108032165	78	0.0011216857359082073
chr3	109902444	111117557	86	0.0015730273834210068
chr3	115430929	116254291	88	0.0023418630648703678
chr3	149069229	149903561	73	0.004393821393344896
chr3	166302619	166885981	72	0.0069407636916254175
chr3	168966038	169085081	64	0.0046105968557428705
chr3	169830658	169949702	74	0.0035630800525029544
chr3	172462495	172581538	61	0.006416144475064689
chr3	174401008	174577097	81	0.0031735954019703797
chr3	177352018	177696805	77	0.004840629233946052
chr3	181555805	182210768	65	0.0062865048242832485
chr3	189033007	189254044	87	0.001079319246432971
chr3	189793170	190120713	90	0.0006576249985730436
chr4	1718440	1837483	100	0.001523386399494059
chr4	10222752	10341795	98	0.0010852905619930771
chr4	11932112	12385295	113	0.0019286935350947088
chr4	20130254	21194165	104	0.0012444634119318817
chr4	25136122	25980942	115	0.0019493259381164925
chr4	32725678	34307033	96	0.003415673880453002
chr4	37826255	38759880	114	0.0011981796052445363
chr4	56545657	56738389	105	0.005875116253254275
chr4	59363382	60549785	110	0.002112223897867903
chr4	64419871	65686783	103	0.002201748195320472
chr4	72868413	73201356	92	0.008729267685998897
chr4	76274642	76750201	101	0.004257285168377889
chr4	77242127	77361169	118	0.00015810202666988502
chr4	90004616	90123660	109	1.6097070196828454e-05
chr4	143453186	143964956	97	0.004959278197994472
chr4	153036134	153155177	117	0.0008432013691287103
chr5	1097476	1216519	130	0.0012908189108426075
chr5	8000355	8453031	143	0.0013868362993058317
chr5	14069683	14427092	141	0.004015973057196553
chr5	16399049	16808251	145	0.0025654734627762687
chr5	21982079	23108832	121	0.0049826251036184125
chr5	28006282	29170486	140	0.002895062651031852
chr5	31575234	32519600	144	0.0005731100745420879
chr5	35617386	37519978	146	0.004588164313021424
chr5	36156759	36428058	129	0.0030912294862567987
chr5	56441875	56560918	132	0.0006773291215730949
chr5	58764402	59033886	139	0.0011903610705437083
chr5	127745205	127943299	142	0.0009286510799562526
chr5	138220444	138824105	123	0.002255015389902518
chr5	149551455	149680855	131	0.0017469215340629434
chr5	165806843	166172416	124	0.005314827802176001
chr5	177119154	177265973	137	0.003731216206780822
chr6	6735171	7149202	152	0.0026440089916405984
chr6	11334461	11453504	161	0.003055005724602184
chr6	13296077	13509006	171	0.0012818509850963519
chr6	18454666	18629079	166	0.0009478958495993776
chr6	19695819	20333881	149	0.0037259267132456995
chr6	21224254	21809708	169	0.0024711955862157147
chr6	30607414	30799650	158	0.002057732721413124
chr6	31606336	31844576	168	0.0007204095518031694
chr6	37281386	37593297	165	0.0007734154981015147
chr6	41827713	42175432	163	0.0027873562099928048
chr6	43791654	43910698	148	0.0031891788699088537
chr6	46874360	47153180	159	0.0028702302462997706
chr6	53000850	53704020	151	0.0032197521737165487
chr6	67713527	68032263	153	0.004183823361467513
chr6	106726318	106845361	157	0.0024426774655298966
chr6	124969804	125401184	155	0.000284482056108107
chr6	134702680	135774770	172	0.0018445053644563893
chr6	151608842	151727885	154	0.0006252175864105157
chr7	14710412	15289094	179	0.0023976727522623587
chr7	17251370	17607236	188	0.0010256453420708351
chr7	47683129	47881075	189	0.0007139526606213055
chr7	53357578	53476622	178	0.0023211449231519635
chr7	68156051	69162770	181	0.0040455083736793815
chr7	91822729	92620519	173	0.0035466959974777956
chr7	98914052	99856425	177	0.0046059357660176445
chr7	104761551	105075031	191	0.0012388398021186565
chr7	116690916	116873158	190	0.00042743157699423796
chr7	144518649	144740044	187	0.0015114080274931596
chr8	11529279	12146815	209	0.0006353772810832072
chr8	32138716	32436612	204	0.0013702510545849239
chr8	34342689	34651830	200	0.002045679854035276
chr8	37029928	37227117	203	0.0038756624274098673
chr8	37965219	38093615	195	0.02568144469436923
chr8	54333830	54452874	207	0.0023245893187424376
chr8	67570345	69315963	208	0.0027461878308265996
chr8	100283460	100429046	205	0.003697958231767001
chr8	106027489	106530598	212	0.0033927019791424543
chr8	112378334	113721555	198	0.006904849712393977
chr8	127319320	127438363	206	0.0010696454857539663
chr8	127733264	127852307	196	0.014949201622943522
chr8	128525719	128644762	211	0.004717870622340675
chr8	141030075	141149118	202	0.0008814421166145706
chr9	3690545	3997914	231	0.004089124652924497
chr9	6395784	7050834	236	0.002482561107802466
chr9	8556540	9321421	226	0.002036693808221085
chr9	12739603	13013796	232	0.005952387878926095
