chrom	start	end	name	score
chr1	1592939	1624167	SLC35E2B	0.000889830810837811
chr1	2439972	2458039	PANK4	0.0012244985335987842
chr1	9352939	9429591	SPSB1	0.000985450160198089
chr1	10057264	10076078	RBP7	0.0008434482906257357
chr1	11845780	11866977	MTHFR	0.0011031904038133567
chr1	28586038	28609002	SESN2	0.001136728533812857
chr1	29138654	29190208	OPRD1	0.0013600782080648499
chr1	31838472	31849697	FABP3	0.0009133788595608645
chr1	47533160	47583991	CYP4Z1	0.0009048159327524816
chr1	51567906	51613752	C1orf185	0.0008420211361576719
chr1	54382247	54411602	HSPB11	0.0009048159327524814
chr1	63063158	63071830	ANGPTL3	0.0008570062580723423
chr1	64058947	64125916	PGM1	0.0008348853638173527
chr1	67557848	67697536	C1orf141	0.0009611885342410035
chr1	67773047	67862583	IL12RB2	0.001023269753601781
chr1	68939835	68962904	DEPDC1	0.0009340725993477903
chr1	74663896	74699770	FPGT	0.0008477297540299273
chr1	77554675	77685115	PIGK	0.0010732201599840158
chr1	84864215	84880701	DNASE2B	0.0008791271523273321
chr1	85015289	85040163	CTBS	0.0009718921927514824
chr1	85109390	85156486	SSX2IP	0.0009569070708368121
chr1	85784164	86043933	DDAH1	0.0008841221929655555
chr1	87794151	87814606	LMO4	0.0014592654435952874
chr1	89646831	89664615	GBP4	0.0008933986970079705
chr1	92414928	92479983	BRDT	0.0008862629246676513
chr1	92683497	92711370	C1orf146	0.0007984929248817245
chr1	95362507	95392834	CNN3	0.0009726057699855143
chr1	110230436	110251661	GSTM1	0.0009140924367948964
chr1	150898739	150937213	SETDB1	0.0016305239797629496
chr1	154171848	154178809	C1orf189	0.000948344144028429
chr1	157764193	157789895	FCRL1	0.000899107314880226
chr1	158259576	158263420	CD1C	0.0009026752010503856
chr1	162039564	162353321	NOS1AP	0.0009768872333897058
chr1	163038565	163046592	RGS4	0.0008627148759445979
chr1	163080911	163291577	RGS5	0.0008662827621147574
chr1	171669300	171711387	VAMP4	0.000889117233603779
chr1	173009100	173020103	TNFSF18	0.001023269753601781
chr1	190066792	190446759	BRINP3	0.0008006336565838203
chr1	192286122	192336415	RGS21	0.0013757769072135523
chr1	192605275	192629390	RGS13	0.000995440241474536
chr1	196743925	196763203	CFHR3	0.0008669963393487894
chr1	197871777	197876497	C1orf53	0.001022556176367749
chr1	205111632	205180727	DSTYK	0.0007999200793497883
chr1	212458879	212535200	PPP2R5A	0.000889117233603779
chr1	215179118	215410436	KCNK2	0.000832031054881225
chr1	219347186	219386207	LYPLAL1	0.0008348853638173527
chr1	222988406	223179337	DISP1	0.0009347861765818221
chr1	229406822	229441641	RAB4A	0.0009205146319011838
chr1	235710987	235814054	GNG4	0.000995440241474536
chr1	243419320	243663394	SDCCAG8	0.0009219417863692475
chr1	247263264	247267674	ZNF669	0.0007992065021157565
chr1	247670360	247740992	GCSAML	0.0009233689408373115
chr1	248020501	248041507	TRIM58	0.0008962530059440981
chr10	12391481	12877545	CAMK1D	0.000946916989560365
chr10	14861249	14880574	CDNF	0.0008784135750933002
chr10	15074226	15115851	OLAH	0.0009055295099865134
chr10	15119522	15130775	ACBD7	0.0009497712984964927
chr10	16478942	16555736	PTER	0.0010375412982824197
chr10	18098352	18200091	MRC1	0.0008627148759445979
chr10	23384435	23410942	MSRB2	0.0009012480465823219
chr10	27035522	27150016	ABI1	0.0008170459329665546
chr10	32556679	32667726	EPC1	0.0012309207287050715
chr10	32735068	32863492	CCDC7	0.0010867781274306223
chr10	35535953	35860852	CCNY	0.0008270360142430016
chr10	81370695	81375196	SFTPA1	0.0008841221929655556
chr10	85933494	85945050	C10orf99	0.0008156187784984908
chr10	96698415	96749147	CYP2C9	0.0008983937376461942
chr10	97733786	97792441	CC2D2B	0.0009062430872205453
chr10	105995114	106027217	GSTO1	0.0008677099165828213
chr10	114043493	114064793	TECTB	0.0011410099972170489
chr10	114133776	114188138	ACSL5	0.0010568078836012814
chr10	116697952	116737430	TRUB1	0.0009711786155174507
chr10	118083940	118139541	CCDC172	0.00128229828955537
chr10	118643742	118886097	KIAA1598	0.0008962530059440983
chr10	121259340	121302220	RGS10	0.0010568078836012814
chr10	124670217	124672627	FAM24A	0.0009583342253048758
chr10	124895478	124897257	HMX3	0.0008655691848807256
chr10	126135592	126138753	NKX1-2	0.0011702666638123576
chr10	128933694	128994422	FAM196A	0.001071793005515952
chr10	129347613	129350935	NPS	0.0010118525178572702
chr10	129535499	129539450	FOXI2	0.0010082846316871105
chr11	2904443	2907111	CDKN1C	0.0010439634933887068
chr11	6340176	6341877	PRKCDBP	0.0008377396727534804
chr11	7041677	7092539	NLRP14	0.0007977793476476925
chr11	10326227	10328944	ADM	0.0010874917046646542
chr11	10578513	10633236	LYVE1	0.0011345878021107613
chr11	18194384	18195827	MRGPRX4	0.0009169467457310241
chr11	18252896	18258440	SAA4	0.0009383540627519819
chr11	18627948	18656338	SPTY2D1	0.0009883044691342167
chr11	22835345	22851845	SVIP	0.0008941122742420024
chr11	22868477	22881972	CCDC179	0.0009540527619006842
chr11	24518516	25104150	LUZP2	0.000832744632115257
chr11	30252563	30256808	FSHB	0.001081069509558367
chr11	30344598	30359774	ARL14EP	0.0008184730874346185
chr11	35160417	35253949	CD44	0.0009897316236022805
chr11	36532259	36614706	RAG1	0.000860574144242502
chr11	40135753	41481323	LRRC4C	0.001002576013814855
chr11	49168187	49230222	FOLH1	0.0007984929248817245
chr11	58672871	58811000	GLYATL1	0.000909810973390705
chr11	60146003	60185161	MS4A14	0.0010396820299845154
chr11	60197062	60222687	MS4A5	0.000986163737432121
chr11	60282886	60310194	MS4A13	0.0008213273963707462
chr11	88910620	89028927	TYR	0.0010375412982824195
chr11	93474757	93497915	C11orf54	0.00113030633870657
chr11	100862811	100864663	TMEM133	0.0009940130870064723
chr11	102267063	102341115	TMEM123	0.0008270360142430016
chr11	104813593	104840163	CASP4	0.000899107314880226
chr11	104864962	104893895	CASP5	0.0009961538187085678
chr11	105008448	105010453	CARD18	0.00107107942828192
chr11	111749659	111756699	C11orf1	0.0010839238184944947
chr11	114262165	114271139	C11orf71	0.0008370260955194485
chr11	120894781	120961484	TBCEL	0.001051812842963058
chr11	123753633	123756349	TMEM225	0.0010867781274306225
chr11	123986069	124018428	VWA5A	0.0010496721112609622
chr11	124543694	124567414	SPA17	0.0009704650382834186
chr11	124609742	124617106	NRGN	0.0014100286144470848
chr11	124824017	124911385	CCDC15	0.0008470161767958953
chr11	125315646	125366213	FEZ1	0.0008434482906257357
chr11	125541417	125551018	ACRV1	0.0016897508901875993
chr11	125616188	125619762	PATE1	0.0009547663391347162
chr11	131240373	132206716	NTM	0.0010732201599840158
chr11	132284871	133402414	OPCML	0.0009968673959425997
chr11	134201768	134248235	GLB1L2	0.0008463025995618634
chr12	4430371	4462338	C12orf5	0.0009126652823268325
chr12	4537321	4554780	FGF6	0.0008591469897744382
chr12	4647950	4669214	RAD51AP1	0.0010246969080698449
chr12	5541278	5630702	NTF3	0.0009975809731766316
chr12	6308881	6347425	CD9	0.0009276504042415029
chr12	9980077	9997606	KLRF1	0.0009369269082839181
chr12	10163226	10171218	CLEC12B	0.0009390676399860138
chr12	10564911	10573194	KLRC3	0.0008698506482849171
chr12	10594863	10607284	KLRC1	0.0011460050378552722
chr12	10954131	10955226	TAS2R7	0.0010482449567928984
chr12	10958650	10959892	TAS2R8	0.000822040973604778
chr12	10961693	10962767	TAS2R9	0.0009911587780703443
chr12	11243886	11244912	TAS2R43	0.0009333590221137584
chr12	11544476	11653975	PRB2	0.0008527247946681509
chr12	12202778	12364018	BCL2L14	0.0008962530059440981
chr12	12867992	12875305	CDKN1B	0.0008049151199880119
chr12	14518610	14651697	ATF7IP	0.0023184124333697253
chr12	14956506	15059520	C12orf60	0.000899107314880226
chr12	18233803	18473041	RERGL	0.0008826950384974918
chr12	20968673	21245679	SLCO1B7	0.0013329622731716366
chr12	21417534	21572528	SLCO1A2	0.000908383818922641
chr12	21679241	21690311	C12orf39	0.0010268376397719408
chr12	21917889	21928515	KCNJ8	0.000928363981475535
chr12	22601517	22697480	C2CD5	0.000849870485732023
chr12	27676364	27848497	PPFIBP1	0.0008933986970079705
chr12	42632249	42853517	PPHLN1	0.001673338613804865
chr12	48961467	48963849	LALBA	0.0008291767459450974
chr12	49726200	49730971	C1QL4	0.0008598605670084702
chr12	64580096	64616076	C12orf66	0.0008213273963707462
chr12	66582659	66648402	IRAK3	0.0008933986970079705
chr12	68595131	68619601	IL26	0.000887690079135715
chr12	75728419	75764340	GLIPR1L1	0.0008006336565838202
chr12	86198331	86230348	RASSF9	0.0008884036563697471
chr12	86268073	86276770	NTS	0.0008562926808383105
chr12	89741009	89747048	DUSP6	0.0008862629246676513
chr12	95470525	95611258	FGD6	0.0008213273963707462
chr12	96672039	96794338	CDK17	0.0008534383719021828
chr12	108168162	108170421	ASCL4	0.0009155195912629604
chr12	117293949	117319246	HRK	0.0008134780467963949
chr12	123185840	123187890	HCAR2	0.000984023005730025
chr12	133562951	133589154	ZNF26	0.000908383818922641
chr13	20207788	20247599	MPHOSPH8	0.0018809895889081553
chr13	20532810	20665968	ZMYM2	0.0011502865012594636
chr13	21276266	21297237	IL17D	0.0009198010546671519
chr13	26618735	26625169	SHISA2	0.0008241817053068739
chr13	28551851	28562791	URAD	0.0008049151199880117
chr13	28712643	28869475	PAN3	0.0010375412982824197
chr13	31309645	31338556	ALOX5AP	0.0008341717865833208
chr13	36047926	36050832	MAB21L1	0.0008620012987105659
chr13	36801182	36871977	CCDC169	0.0008598605670084702
chr13	43355686	43365683	FAM216B	0.0009462034123263331
chr13	43597339	43683045	DNAJC15	0.0008170459329665546
chr13	45766988	45775175	KCTD4	0.0008933986970079705
chr13	46627321	46679211	CPB2	0.0009511984529645565
chr13	47345391	47371367	ESD	0.0008284631687110654
chr13	48877887	49056122	RB1	0.001796787475292388
chr13	49882786	50018262	CAB39L	0.0008898308108378109
chr13	50069746	50103123	PHF11	0.000860574144242502
chr13	52951305	52980629	THSD1	0.0008141916240304269
chr13	61983818	62002220	PCDH20	0.001059662192537409
chr13	77522632	77532777	IRG1	0.0011488593467913998
chr13	96085858	96232013	CLDN10	0.000823468128072842
chr13	98828039	98829519	RNF113B	0.0008199002419026823
chr13	102372134	103054124	FGF14	0.0008719913799870128
chr13	103451399	103493885	BIVM	0.00120451837104589
chr13	112721913	112726020	SOX1	0.0013208314601930939
chr14	24439148	24475617	DHRS4L2	0.0009554799163687481
chr14	35179593	35184029	CFL2	0.0009968673959425997
chr14	51098776	51135049	SAV1	0.0008263224370089696
chr14	52897308	53019240	TXNDC16	0.0008149052012644588
chr14	59951161	59972128	JKAMP	0.0008199002419026823
chr14	60712470	60765805	PPM1A	0.0009162331684969922
chr14	62162231	62214976	HIF1A	0.0010097117861551745
chr14	67656110	67695267	FAM71D	0.0008420211361576719
chr14	70838148	70883778	SYNJ2BP	0.0009447762578582691
chr14	71787166	72207946	SIPA1L1	0.0008562926808383105
chr14	92047040	92247051	CATSPERB	0.0008042015427539799
chr14	92246095	92333880	TC2N	0.001063230078707569
chr14	94571182	94583033	IFI27	0.0008819814612634598
chr14	99177950	99184098	C14orf177	0.0008612877214765339
chr14	104406763	104408645	RD3L	0.0008584334125404063
chr14	105452112	105476819	C14orf79	0.0008077694289241397
chr15	38544527	38649450	SPRED1	0.0012066591027479858
chr15	41913422	42062141	MGA	0.0011531408101955914
chr15	43891596	44010458	STRC	0.0012287799970029756
chr15	45003675	45011075	B2M	0.0008898308108378109
chr15	45653322	45694525	GATM	0.0010004352821127594
chr15	48431625	48470714	MYEF2	0.0008455890223278316
chr15	48483736	48495953	CTXN2	0.0012209306474286242
chr15	49913177	49937333	DTWD1	0.0015134973133817137
chr15	59499042	59500705	LDHAL6B	0.0008941122742420026
chr15	71402583	71407833	CT62	0.0008627148759445979
chr15	94774767	95023632	MCTP2	0.0008948258514760345
chr15	96869167	96883492	NR2F2	0.0009818822740279294
chr15	98462784	98517068	ARRDC4	0.0012558959318961888
chr15	99511459	99551024	PGPEP1L	0.0008434482906257357
chr15	99791567	99930934	LRRC28	0.0008084830061581714
chr15	101142739	101191910	ASB7	0.0016212474757205347
chr16	318726	333003	ARHGDIG	0.0008391668272215442
chr16	1823208	1831709	EME2	0.000964756420411163
chr16	1883984	1934295	MEIOB	0.0008498704857320231
chr16	1993975	2007607	RPL3L	0.0008826950384974918
chr16	2285817	2288712	DNASE1L2	0.0009519120301985885
chr16	2732476	2759031	KCTD5	0.0015541712157215335
chr16	2867164	2876305	PRSS21	0.000832031054881225
chr16	4853204	4897343	GLYR1	0.000899820892114258
chr16	15688243	15737023	KIAA0430	0.0009333590221137583
chr16	17195626	17564738	XYLT1	0.0008370260955194485
chr16	20547548	20587749	ACSM2B	0.0012087998344500815
chr16	30535325	30538142	ZNF768	0.0010197018674316214
chr16	46918290	46965209	GPT2	0.0007977793476476925
chr16	48116884	48189929	ABCC12	0.0009369269082839181
chr16	72088491	72094954	HP	0.0009397812172200457
chr16	75032928	75144892	ZNRF1	0.0009347861765818224
chr16	75182390	75206134	ZFP1	0.000927650404241503
chr16	78056412	78100658	CLEC3A	0.0008256088597749377
chr16	80574631	80584657	DYNLRB2	0.0010432499161546751
chr16	82068609	82132139	HSD17B2	0.0010139932495593662
chr16	82181403	82203831	MPHOSPH6	0.0009262232497734392
chr17	660337	685581	GLOD4	0.0009340725993477905
chr17	3343313	3417146	SPATA22	0.0009875908919001848
chr17	4843303	4848517	RNF167	0.0010974817859411012
chr17	5675554	6027747	WSCD1	0.0008612877214765339
chr17	10600911	10614550	ADPRM	0.0008084830061581714
chr17	32612687	32615353	CCL11	0.0014464210533827128
chr17	32646055	32648421	CCL8	0.0009797415423258337
chr17	33738079	33760302	SLFN12	0.0010710794282819199
chr17	39471173	39471947	KRTAP17-1	0.0007999200793497883
chr17	39592698	39597173	KRT38	0.0009033887782844176
chr17	58520520	58603580	APPBP2	0.003688480722711022
chr17	64208151	64252643	APOH	0.0009133788595608644
chr17	66243715	66253297	AMZ2	0.0008919715425399067
chr17	67143355	67240987	ABCA10	0.000840593981689608
chr17	68049570	68131749	KCNJ16	0.0008370260955194485
chr17	72537247	72542282	CD300C	0.0011146076395578673
chr18	904944	912173	ADCYAP1	0.000889117233603779
chr18	5145284	5197502	C18orf42	0.0014414260127444893
chr18	6729717	6915715	ARHGAP28	0.0011923875580673472
chr18	6941743	7117813	LAMA1	0.0009904452008363124
chr18	7231123	7232045	LRRC30	0.0009576206480708439
chr18	14728271	14852737	ANKRD30B	0.0009112381278587688
chr18	21083473	21111746	C18orf8	0.0018032096703986757
chr18	21742008	21977844	OSBPL1A	0.001234488614875231
chr18	28709199	28742819	DSC1	0.0008248952825409057
chr18	31158579	31331156	ASXL3	0.0009454898350923011
chr18	40323192	40695657	RIT2	0.0008905443880718431
chr18	47309869	47340330	ACAA2	0.0008248952825409059
chr18	48494361	48514491	ELAC1	0.0010418227616866111
chr18	51850728	51884334	STARD6	0.0011039039810473886
chr18	52254988	52266724	DYNAP	0.0008669963393487894
chr18	56806709	56826068	SEC11C	0.001002576013814855
chr18	56887400	56898006	GRP	0.0010018624365808232
chr18	56995055	57027194	LMAN1	0.0009690378838153547
chr18	57098172	57364612	CCBE1	0.0011545679646636554
chr18	57567180	57571538	PMAIP1	0.0010382548755164514
chr18	61254223	61271873	SERPINB13	0.000832031054881225
chr18	61304493	61311532	SERPINB4	0.0013208314601930939
chr18	61322431	61329197	SERPINB3	0.0009419219489221416
chr18	61420169	61472604	SERPINB7	0.0009033887782844176
chr18	61616535	61649008	HMSD	0.001796787475292388
chr18	66340925	66382535	TMX3	0.0009305047131776307
chr18	66382446	66722426	CCDC102B	0.0011260248753023783
chr18	70409549	70535381	NETO1	0.0008855493474336195
chr18	71983048	72026422	C18orf63	0.001098908940409165
chr18	72163051	72188366	CNDP2	0.0008470161767958954
chr18	72201675	72254448	CNDP1	0.0009133788595608645
chr18	73121431	73139658	SMIM21	0.001081783086792399
chr18	74690783	74845639	MBP	0.0012858661757255295
chr18	77155856	77289325	NFATC1	0.0010339734121122598
chr18	77623668	77660184	KCNG2	0.00101542040402743
chr18	77724561	77730822	HSBP1L1	0.0014664012159356064
chr19	825097	832017	AZU1	0.0008869765019016832
chr19	7828035	7834491	CLEC4M	0.0011895332491312196
chr19	9759330	9785776	ZNF562	0.0010418227616866111
chr19	11925099	11946016	ZNF440	0.0012758760944490827
chr19	12335501	12405702	ZNF44	0.000984023005730025
chr19	15751707	15773635	CYP4F3	0.0008905443880718428
chr19	20802867	20844402	ZNF626	0.000889117233603779
chr19	21579921	21610375	ZNF493	0.0008655691848807256
chr19	21679484	21739072	ZNF429	0.0008013472338178522
chr19	22115760	22193751	ZNF208	0.0008577198353063743
chr19	35168544	35177302	ZNF302	0.000833458209349289
chr19	36874022	36909558	ZFP82	0.001176688858918645
chr19	37498759	37621216	ZNF420	0.0009683243065813227
chr19	38187264	38210691	ZNF607	0.0008948258514760342
chr19	41349443	41356352	CYP2A6	0.000851297640200087
chr19	42751724	42759309	ERF	0.0008034879655199479
chr19	43670408	43690688	PSG5	0.0008677099165828214
chr19	48471303	48495427	BSPH1	0.0009148060140289284
chr19	52800430	52829175	ZNF480	0.001005430322750983
chr19	52932440	52955568	ZNF534	0.0008113373150942992
chr19	53030905	53067717	ZNF808	0.0011081854444515802
chr19	53267448	53290044	ZNF600	0.0011838246312589644
chr19	53341261	53360902	ZNF468	0.001569869914870236
chr19	53547991	53554329	ERVV-2	0.000870564225518949
chr19	53569859	53606689	ZNF160	0.0009576206480708439
chr19	53792856	53794875	BIRC8	0.0008477297540299274
chr19	53837002	53858122	ZNF845	0.0008976801604121622
chr19	55875757	55881831	IL11	0.0010304055259421003
chr19	56296770	56348166	NLRP11	0.0009247960953053753
chr19	57630506	57643294	USP29	0.0008291767459450974
chr19	57702868	57724724	ZNF264	0.0009198010546671519
chr19	57874845	57890933	ZNF547	0.0009954402414745357
chr19	57999079	58006048	ZNF419	0.0008099101606262354
chr19	58089824	58105145	ZIK1	0.0008776999978592682
chr19	58111253	58124090	ZNF530	0.000947630566794397
chr19	58208735	58220579	ZNF154	0.0009255096725394072
chr19	58315209	58326281	ZNF552	0.0010054303227509827
chr19	58570607	58597677	ZNF135	0.0010696522738138563
chr2	8818975	8824583	ID2	0.0008434482906257359
chr2	19551246	19558414	OSR1	0.0008084830061581714
chr2	20096404	20101747	TTC32	0.0009347861765818224
chr2	24150155	24227779	UBXN2A	0.0008969665831781302
chr2	24272571	24286551	FKBP1B	0.0012166491840244328
chr2	26915619	26956288	KCNK3	0.0009062430872205453
chr2	39103103	39156213	MORN2	0.0008248952825409057
chr2	44502599	44548633	SLC3A1	0.0008184730874346185
chr2	65537985	65659771	SPRED2	0.0009597613797729396
chr2	71336814	71357369	MCEE	0.0009676107293472909
chr2	71503691	71662199	ZNF638	0.0009576206480708439
chr2	79347488	79350545	REG1A	0.0008948258514760345
chr2	131862420	132111282	PLEKHB2	0.0008191866646686503
chr2	136289025	136482840	R3HDM1	0.0009255096725394073
chr2	139259371	139331117	SPOPL	0.0008555791036042786
chr2	159825146	160089170	TANC1	0.0008099101606262354
chr2	172864490	172947158	METAP1D	0.0008819814612634596
chr2	189156396	189460653	GULP1	0.001023983330835813
chr2	189598882	189654831	DIRC1	0.0008348853638173528
chr2	190539016	190625919	ANKAR	0.0008063422744560756
chr2	190635049	190649097	ORMDL1	0.001250900891257965
chr2	190744335	191068210	C2orf88	0.0010275512170059725
chr2	190920423	190927455	MSTN	0.0009683243065813227
chr2	192109911	192290115	MYO1B	0.0009126652823268325
chr2	192813769	193060435	TMEFF2	0.00093764048551795
chr2	197504278	197628214	CCDC150	0.000995440241474536
