chrom	start	end	name	score
chr1	150599202	150769139	16	0.02487062850477608
chr1	160944223	161118797	8	0.004441449433084514
chr1	171763783	172395327	19	0.004060978589596513
chr1	201969765	202088809	22	0.008559348170585528
chr12	641689	875437	315	0.07558385464144775
chr12	3896569	4521478	295	0.119161121617374
chr12	19624312	20151125	293	0.2121256782774324
chr12	24935138	25138824	291	0.054428668484065974
chr12	26155824	26274868	311	0.05015942069620846
chr12	27159250	27571622	300	0.07150616814931514
chr14	26331260	26785808	330	0.003315916349488011
chr14	35305989	35516969	327	0.0051386453949033165
chr14	37343469	37589273	332	0.0038912605119438125
chr14	76968624	77087668	333	0.00026900323281640084
chr14	104596671	104974929	343	0.0030300497228189097
chr15	25337247	25692020	350	0.0010162934357550032
chr15	51849333	52543565	347	0.002367152785371608
chr17	39658666	39777709	375	0.0027096231008902085
chr17	48251532	48479073	383	0.0017769505194759057
chr17	50515699	50712150	386	0.00313718263117891
chr17	52326898	52711688	377	0.0004818796608723016
chr17	69200499	69893902	374	0.006009224815471019
chr19	9028351	9157312	418	0.00312075352384071
chr19	10625699	10836058	409	0.010918872571563735
chr19	13225661	13473891	416	0.0035189228364923115
chr2	56492365	57045716	55	0.036868823427160115
chr20	35471464	35590410	424	0.0007172827931261023
chr20	44088199	45079172	427	0.000959511022081703
chr20	47329761	47448804	428	0.002815760535253209
chr20	50037825	50270003	425	0.008788098183080129
chr20	53518081	53637124	434	0.0018485075699206058
chr20	60270269	61275884	432	0.0054022667375169175
chr21	33368742	33487784	435	0.00011296342187390037
chr3	115430929	116254291	88	0.0014158178277213045
chr3	149069229	149903561	73	0.004593891198691015
chr3	166302619	166885981	72	0.002461825559786308
chr3	168966038	169085081	64	0.002461825559786308
chr3	169830658	169949702	74	0.001223929041211504
chr3	172462495	172581538	61	0.002461825559786308
chr3	174401008	174577097	81	0.002461825559786308
chr3	177352018	177696805	77	0.000952744288987203
chr3	181555805	182210768	65	0.0020831118085281063
chr3	189033007	189254044	87	0.0031798654904301106
chr3	189793170	190120713	90	0.0010472807900579035
chr6	11334461	11453504	161	0.0011189270107358038
chr6	19695819	20333881	149	0.001192385906342904
chr6	21224254	21809708	169	0.000948677370168603
chr6	41827713	42175432	163	0.0015917256334634052
chr6	43791654	43910698	148	0.0036086258223851117
chr6	46874360	47153180	159	0.0033901725759332107
chr6	53000850	53704020	151	0.001221084168271604
chr7	14710412	15289094	179	0.04753817789774625
chr7	47683129	47881075	189	0.02123309481610407
chr7	53357578	53476622	178	0.030152749847783097
chr7	68156051	69162770	181	0.0062069606827946195
chr7	91822729	92620519	173	0.010668790623933234
chr7	98914052	99856425	177	0.002785444497813309
chr7	104761551	105075031	191	0.0006495325532237021
chr8	54333830	54452874	207	0.032182970822110406
chr8	67570345	69315963	208	0.01317437997363734
chr8	106027489	106530598	212	0.0030285838236524094
chr8	112378334	113721555	198	0.05322552791454777
chr8	127319320	127438363	206	0.0007671986742213025
chr8	127733264	127852307	196	0.004157706429299713
chr8	128525719	128644762	211	0.003701078924278512
