chrom	start	end	name	score
chr1	5758281	6359521	2	0.027687714628186547
chr1	7856438	8493750	15	0.013142439193667838
chr1	14711802	15089994	27	0.008021301666233107
chr1	26780389	26989453	5	0.06591724382681857
chr1	51217575	51336619	13	0.008682699904506538
chr1	93088471	93294034	11	0.00943245011637914
chr1	114725108	115702047	7	0.009774994286914916
chr10	47184277	47650133	244	0.0038238994872493133
chr10	58218870	58714895	243	0.012118058319589642
chr10	77295386	77414429	251	0.0009982914830395041
chr10	77918891	78043175	246	0.000415055568409293
chr10	89560990	89680033	241	0.0007992856193160271
chr10	89965304	90084347	239	0.0160118141896968
chr11	39985638	40635879	287	0.00010217103372578527
chr11	45931344	46402442	264	0.00037655240003857263
chr11	62685002	63185231	261	0.004252399527780961
chr11	64602254	65066589	273	0.002351503655849844
chr11	68133517	68341010	266	0.0005321594567272165
chr11	69896864	70147013	283	0.0017696630155886685
chr11	72023274	72313020	289	0.0037191982307511573
chr11	75846730	76992775	279	0.0002502561166464902
chr11	83964212	84366423	284	0.0013377382235114262
chr11	113905768	114104249	260	0.0011868511641508852
chr12	12722317	13120592	290	0.014405970983410241
chr12	24097405	24228750	299	0.0048981580570499755
chr12	26424358	26998323	294	0.007804787754388939
chr13	32621411	32950651	321	0.0036027388508390722
chr13	48939729	49058772	318	0.023212285715011428
chr13	50860815	51455790	324	0.014220398153381107
chr14	27537653	29081983	344	0.00023945636423481365
chr14	33699932	33818975	334	0.003957998271909188
chr14	40295008	40722782	337	0.006970533133661836
chr14	67168861	67652025	342	0.005271283043350093
chr14	68742331	68861374	328	0.0021335056386090597
chr15	32159195	32278239	352	0.0016163354128491993
chr15	41285416	42451276	355	0.0030722523735152484
chr15	57326607	57557542	356	0.0030623690755383725
chr16	53432883	54385775	371	0.01838801652576653
chr16	72508842	72677340	365	0.011935361561727125
chr16	78647303	78766346	357	0.010935580344839834
chr16	79003131	79122175	361	0.007612194004743035
chr16	83335710	83621823	372	0.020700167021357775
chr17	7514447	7633490	378	0.13220776623091543
chr17	11812452	11954002	380	0.03153937928928932
chr18	3642355	4275605	403	2.0595620863080753e-05
chr18	7209439	8629661	397	4.119124172616151e-05
chr18	24556761	25643499	400	0.003139187695850908
chr18	48538690	48667732	399	0.0043472406964505566
chr19	18878316	19376690	415	0.0081254266698851
chr2	136044235	136519191	43	0.0017995911068001006
chr2	141852754	141971797	29	0.0020841919052587434
chr2	148743553	149033199	49	0.004254467303847286
chr2	213742720	213861867	34	0.0007075806562495714
chr2	233842479	234065299	37	0.004191290001580743
chr20	14912725	15031768	420	0.001960169384159896
chr21	24076479	25427169	437	0.009033523205265142
chr21	36239813	36482914	436	8.583974218843938e-05
chr22	22852244	23313369	444	0.0033824470202677486
chr22	25775753	25894796	443	0.00044205965595378897
chr22	28478268	29020831	445	0.0028154522225377026
chr22	29278052	29397095	440	0.0006431064418600988
chr22	33865202	34313677	441	0.001577835242143254
chr3	4298031	4566842	82	0.00047207389592329366
chr3	50335869	50878720	67	0.005720090255655667
chr3	60412240	60531283	62	0.005965490683008498
chr3	71264717	71383760	69	0.0058887411450547125
chr3	114311229	114430273	89	0.00021817375377038582
chr3	116547466	116666509	63	0.00024294849743653605
chr3	125469379	126976615	83	0.00020926698946598546
chr3	160129384	161903327	91	0.000251300430671166
chr3	174774387	174893430	66	0.0002050054529769557
chr3	188166846	188285889	68	0.0005526200180036155
chr4	60108690	61998938	102	0.0029660228591771105
chr4	82008971	83123763	108	0.013293821508241533
chr4	87477561	87703607	120	0.015652397864116315
chr4	91777414	91896457	94	0.009106951366906584
chr4	132708393	134560407	107	0.0009244749160700035
chr4	182144814	182263857	93	0.006859867866143796
chr4	183140721	183429619	106	0.0026032478478692626
chr4	187440453	187801507	111	0.007567468862828589
chr5	56089524	56416824	138	0.0012137612762390326
chr5	58500285	58619328	126	0.0006552282178235451
chr5	59259354	59378397	122	0.0011271422453764596
chr5	66644179	68066878	147	0.00579291494695482
chr5	100075960	100806984	136	0.0013968639843230078
chr5	130572420	131214333	134	0.0038593771238808914
chr5	165556098	165722992	128	0.0007940037265181386
chr6	68476072	69410191	162	0.05378311520518172
chr6	162662514	162781557	150	0.011144335898303208
chr8	3742692	3861735	197	0.015173876259078399
chr8	22205917	23093349	194	0.11740441221128212
chr8	36071242	37065643	210	0.06937300471384025
chr8	37285837	38080166	199	0.03964384096788763
chr9	10991477	11494076	228	0.0009813181021758317
chr9	16665363	17111348	223	0.0027760541413568447
chr9	21941390	22060433	213	0.02030126684197004
chr9	26270391	26679836	216	0.0033929241764772914
chr9	28247759	28459511	225	0.002614044305750927
chr9	31388255	32049495	222	0.0007310767082056105
