chrom	start	end	name	score
chr1	5698221	6299461	2	0.00779338557618532
chr1	7796378	8433690	15	0.005936353132057064
chr1	14385306	14763498	27	0.003990813859362378
chr1	26453898	26662962	5	0.0162371704811247
chr1	50751903	50870947	13	0.0015134043308812105
chr1	92622914	92828477	11	0.004164811954119212
chr1	114182486	115159426	7	0.009156131068563243
chr1	157585972	158068323	17	0.00766353284880366
chr1	193012658	193197741	12	0.0011604906450498518
chr1	210244880	210734469	24	0.0037523517336436594
chr1	212425834	213587853	3	0.008840375976728359
chr1	246074672	246193715	6	0.0019632193337271744
chr10	56459109	56955135	243	0.005816149275086833
chr10	75535628	75654671	251	0.0006401491462478296
chr10	76159133	76283417	246	0.0011784484279365032
chr10	87801233	87920276	241	0.0024715914794207956
chr10	88205547	88324590	239	0.01690513884330548
chr11	39964088	40614329	287	0.011227701406816153
chr11	45909793	46380892	264	0.010006223827809505
chr11	62917530	63417759	261	0.008873949164151141
chr11	64834782	65299118	273	0.004855097967008334
chr11	68366049	68573542	266	0.015260409982640496
chr11	70050758	70300907	283	0.005057396948161242
chr11	72312230	72601976	289	0.015622922853472039
chr11	76135686	77281730	279	0.009675822143640217
chr11	80628123	80752909	265	0.0036165344542338964
chr11	84253169	84655380	284	0.0012758093919993088
chr11	86261058	87385332	280	0.0029368733147239314
chr11	114035046	114233527	260	0.007803465811166653
chr12	12569383	12967658	290	0.01496577515504899
chr12	23944471	24075816	299	0.007302006674641824
chr12	26271425	26845390	294	0.0030289705850633027
chr12	44954419	45576022	301	0.007274213831131286
chr12	52008485	52774572	310	0.005802026349196234
chr12	57702299	58353493	302	0.004536568980117326
chr12	66744481	67100482	313	0.0037157886689667603
chr12	74225007	75395245	305	0.004909614609861069
chr12	99470564	99758032	308	6.681059018202468e-05
chr13	32047274	32376514	321	0.003557340150777592
chr13	48365593	48484636	318	0.010163229934465381
chr13	50286679	50881654	324	0.005997939655688156
chr14	27068447	28612777	344	0.0104941161415528
chr14	33230726	33349769	334	0.006828851904043563
chr14	39825804	40253578	337	0.0031907118704788896
chr14	66702143	67185308	342	0.009277598560707022
chr14	68275614	68394657	328	0.0016474037435481696
chr15	31866992	31986036	352	0.00656041910969369
chr15	40993218	42159078	355	0.013880521171889069
chr15	57034409	57265344	356	0.005371292791061801
chr16	3673114	3792157	367	0.0011260492168605688
chr16	23306400	24105477	360	0.008033464074567521
chr16	53398971	54351863	371	0.005667442920167688
chr16	72474943	72643441	365	0.0015958003825273393
chr16	78613406	78732449	357	0.0011884807479374572
chr16	78969234	79088278	361	0.0008232250430592912
chr16	83302105	83588218	372	0.0032595160097581423
chr17	7611129	7730172	378	0.006140376938209579
chr17	11909135	12050685	380	0.003406632531931793
chr17	33861842	34604065	394	0.01310376926314009
chr17	39304824	39624168	392	0.0066418065337719105
chr17	40913090	41258653	376	0.01753880643375655
chr17	43964776	44242707	379	0.01198840711097425
chr17	46143045	46262088	387	0.016428134161135234
chr17	55252988	55991479	391	0.002632486604402843
chr17	57688031	58116288	385	0.005464692380680931
chr17	60851443	61403869	389	0.003462981926808806
chr17	72369801	72518431	393	0.006238102823677792
chr18	3642356	4275605	403	0.005784669120667857
chr18	7209441	8629663	397	0.014210884068654027
chr18	26976797	28063535	400	0.004910632508364387
chr18	51012320	51141362	399	0.0038412610873466754
chr19	18767506	19265881	415	0.012486130867469004
chr19	33574883	33915360	413	0.0038283023929512896
chr19	42701930	43231343	419	0.006517771929770455
chr19	47097306	47325772	414	0.017436259477375305
chr2	42875076	43691150	47	0.003419599829880702
chr2	132975469	133094512	36	0.0007702814310182613
chr2	135286665	135761621	43	0.003531338499621557
chr2	141095185	141214228	29	0.004698061057022151
chr2	147985984	148275630	49	0.0015711751630233287
chr2	186026083	186145126	45	0.0006099323104243893
chr2	186446973	186566016	52	0.0001159491047025574
chr2	212877996	212997143	34	0.008090669357631015
chr2	232977769	233156653	37	0.0032401238713277393
chr20	14932079	15051122	420	0.004802895745502839
chr20	40137619	40838515	421	0.007126757505238171
chr20	46590291	47405928	431	0.004570462485775747
chr20	49023639	49528165	433	0.0032903368703354435
chr20	55230814	55593371	422	0.0030867570301192746
chr20	60681899	61408647	429	0.005261664260856376
chr21	22704159	24054854	437	0.007016436482729819
chr21	34867516	35110617	436	0.0006422999175998641
chr22	22497942	22971195	444	0.006919399308256197
chr22	25379786	25498829	443	0.0004578405723711288
chr22	28082280	28624843	445	0.007323542063678993
chr22	28882064	29001107	440	0.001119593265691677
chr22	33469216	33917689	441	0.0023073112445293332
chr3	4256347	4525158	82	0.001060300475682396
chr3	50298438	50841289	67	0.012643883372814418
chr3	60426507	60545550	62	0.005918953413763589
chr3	71215566	71334609	69	0.0072467116913245274
chr3	114592382	114711426	89	0.009077486288110722
chr3	116828619	116947662	63	0.020127544696904507
chr3	125750536	127257772	83	0.006273820857285047
chr3	136233833	136731509	85	0.0030202991504182045
chr3	160411596	162185539	91	0.003514526697574014
chr3	175056597	175175640	66	0.005473032242953372
chr3	188449058	188568101	68	0.004075112842001305
chr4	10019183	10138226	112	0.002916169444994897
chr4	19577917	19801424	99	0.0004275761827787993
chr4	20310116	20479664	119	0.0004907133105906266
chr4	21102160	21430714	116	0.0026439055881676944
chr4	33779071	33989744	95	0.008423145438862243
chr4	59242972	61133220	102	0.0019844427578789617
chr4	81087817	82202610	108	0.007415497893569996
chr4	86556408	86782454	120	0.0032564402225236655
chr4	90856263	90975306	94	0.0020434931164586816
chr4	131787238	133639252	107	0.007328558372695582
chr4	181223661	181342704	93	0.01864965866493983
chr4	182219568	182508466	106	0.0008457349171040268
chr4	186519299	186880353	111	0.00193673386728559
chr5	6112457	6656720	125	0.0189577019658067
chr5	15893975	16736010	133	0.01795820554359896
chr5	25934121	27020841	127	0.026160053591012852
chr5	31938573	32972994	135	0.012524572463955368
chr5	56793697	57120997	138	0.0013501326483012187
chr5	59204459	59323502	126	0.00036494560467146663
chr5	59963527	60082570	122	0.000872927470034051
chr5	67348351	68771051	147	0.0020091307136942366
chr5	100740256	101471280	136	0.006980451389015181
chr5	131236727	131878640	134	0.005233000247123805
