chrom	start	end	name	score
chr1	5758281	6359521	2	0.013986335323857785
chr1	7856438	8493750	15	0.0124812789179981
chr1	14711802	15089994	27	0.012725181677387567
chr1	26780389	26989453	5	0.04820661899003278
chr1	51217575	51336619	13	0.002440673851537629
chr1	93088471	93294034	11	0.00393571931561979
chr1	114725108	115702047	7	0.0019170455499745074
chr10	47184277	47650133	244	0.005553844733881524
chr10	58218870	58714895	243	0.010343386466856268
chr10	77295386	77414429	251	0.00023423969450246562
chr10	77918891	78043175	246	9.738888009915318e-05
chr10	89560990	89680033	241	0.005209838284853812
chr10	89965304	90084347	239	0.020835927857579484
chr11	39985638	40635879	287	0.0008674046342449504
chr11	45931344	46402442	264	0.0005074567790190973
chr11	62685002	63185231	261	0.002682146241697994
chr11	64602254	65066589	273	0.00303080880445668
chr11	68133517	68341010	266	0.0022421862861477138
chr11	72023274	72313020	289	0.0026122662158420914
chr11	75846730	76992775	279	0.0004230675581073419
chr11	80339167	80463952	265	0.0027538157326470226
chr11	83964212	84366423	284	6.138312578650826e-05
chr11	113905768	114104249	260	0.0025742184016576595
chr12	12722317	13120592	290	0.002504363619495393
chr12	24097405	24228750	299	0.0012000298287117418
chr12	26424358	26998323	294	0.0009565952645851883
chr12	67138261	67494262	313	0.0024657327602414384
chr12	74618787	75789025	305	0.004097478610605047
chr12	99864342	100151810	308	1.5877983639628683e-05
chr14	27537653	29081983	344	0.0030728975310737234
chr14	40295008	40722782	337	0.016731338692783697
chr14	67168861	67652025	342	0.0017422640746737924
chr14	68742331	68861374	328	0.0011416581216899754
chr15	32159195	32278239	352	0.00392404219837299
chr15	41285416	42451276	355	0.014490456182449644
chr15	57326607	57557542	356	0.011625343884940388
chr16	3723115	3842158	367	9.914391636051928e-05
chr16	23317721	24116798	360	3.96441029552701e-05
chr16	53432883	54385775	371	6.171401478190125e-05
chr16	72508842	72677340	365	2.793735476192042e-05
chr16	78647303	78766346	357	3.5851985007972254e-05
chr16	79003131	79122175	361	1.8359456866953352e-05
chr16	83335710	83621823	372	9.347879534084464e-05
chr17	7514447	7633490	378	0.13919389414821254
chr17	11812452	11954002	380	0.04032988449965049
chr18	3642355	4275605	403	0.006392385198740538
chr18	7209439	8629661	397	0.031612503376011965
chr18	24556761	25643499	400	0.00842625941156571
chr18	48538690	48667732	399	0.046533282736839286
chr19	18878316	19376690	415	0.0029819227134954504
chr19	43206082	43735495	419	0.0004910430683396355
chr19	47600563	47829029	414	0.0016528218239436772
chr2	133733042	133852085	36	2.608489462136561e-05
chr2	136044235	136519191	43	0.00025271299967861505
chr2	141852754	141971797	29	2.608489462136561e-05
chr2	148743553	149033199	49	0.0002960880579074492
chr2	186890810	187009853	45	1.3504291975940978e-05
chr2	187311700	187430743	52	1.3504291975940978e-05
chr2	233842479	234065299	37	0.00034859597090241906
chr20	14912725	15031768	420	0.11081700144422638
chr21	24076479	25427169	437	0.014453844437221319
chr21	36239813	36482914	436	3.0363531293949452e-05
chr22	25775753	25894796	443	0.016339376558349356
chr22	33865202	34313677	441	0.024995145225685002
chr3	50335869	50878720	67	0.011200389154331006
chr3	60412240	60531283	62	0.02072594884284732
chr3	71264717	71383760	69	0.005306515939056266
chr4	10020807	10139850	112	0.0029448982573931195
chr4	19579540	19803047	99	0.00207227672159875
chr4	20311739	20481287	119	0.0009815787646446183
chr4	21103783	21432337	116	0.006477986832618706
chr4	33780693	33991366	95	0.017485599892851734
chr4	60108690	61998938	102	0.0017636626631816923
chr4	82008971	83123763	108	0.004274533300254773
chr4	87477561	87703607	120	0.005312575999685523
chr4	91777414	91896457	94	0.002001221842834641
chr4	132708393	134560407	107	0.0027179466718184097
chr4	182144814	182263857	93	0.006631699838346867
chr4	183140721	183429619	106	0.005485465341229191
chr4	187440453	187801507	111	0.005466096108143804
chr5	56089524	56416824	138	0.006161597626069164
chr5	58500285	58619328	126	0.001931801759040361
chr5	59259354	59378397	122	0.008122187859763711
chr5	66644179	68066878	147	0.014376307820041848
chr5	100075960	100806984	136	0.013875281110888744
chr5	130572420	131214333	134	0.000400998752490094
chr5	165556098	165722992	128	0.028560287226623474
chr6	1907547	2026590	156	0.0006503148229529942
chr6	27812438	28791272	160	0.0005855922214207475
chr6	38059700	38619466	170	0.0007939162649180705
chr6	45107899	45651436	164	0.0007980913384237645
chr6	68476072	69410191	162	0.013785503137782682
chr6	162662514	162781557	150	0.006255357018851741
chr7	69348739	69467782	184	0.0008652423607142934
chr7	69965189	70084232	175	1.923135028790676e-05
chr7	83263446	84732043	186	0.0011337636614327064
chr7	101503243	101887721	185	0.0012269094723785826
chr7	110399106	110518149	174	0.0058795893036069
chr7	151764558	152106777	192	0.005667954769262167
chr8	3742692	3861735	197	0.014753566045339723
chr8	22205917	23093349	194	0.0786016132294664
chr8	36071242	37065643	210	0.016038796069011322
chr8	37285837	38080166	199	0.012910097060821244
chr9	10991477	11494076	228	4.5524245109879116e-05
chr9	21941390	22060433	213	0.0002514470474273162
chr9	26270391	26679836	216	0.0001143837842233202
chr9	28247759	28459511	225	4.240591906194581e-05
chr9	31388255	32049495	222	1.1097273368345719e-05
