chrom	start	end	name	score
chr1	23748478	23867522	10	0.16231973880196762
chr1	27294191	27413234	12	0.09167270004082687
chr10	47368407	47487450	571	0.011120952492031554
chr11	45758426	45877469	614	0.037086750896507585
chr11	79319856	79438899	644	0.00082882844991831
chr11	85459946	85578989	652	4.744434933738213e-05
chr13	32900478	33019522	718	0.01578296513042553
chr13	64940935	65059979	724	0.0010564442818380541
chr14	40447686	40566729	754	0.010132980057109652
chr14	67358596	67477639	759	0.00025105392043343904
chr14	68520478	68639522	761	0.0003919851334156327
chr17	7319101	7438144	822	0.150971700622073
chr2	225200478	225319522	153	0.010823530619109543
chr2	234068809	234187852	155	0.014161104505377454
chr2	236640478	236759522	156	0.0013658418289437845
chr2	240751989	240871033	157	0.01115394679127604
chr21	30363897	30482940	927	0.017784247901901386
chr21	36219451	36338494	929	0.01560517502981531
chr22	28477337	28596381	940	0.03385035914546235
chr22	29276921	29395964	941	0.034322191087483696
chr22	34072478	34191522	945	0.003133301688347722
chr22	49376478	49495522	950	0.0016450042608800173
chr3	47986493	48105537	171	0.08598762015879458
chr3	60395102	60514145	178	0.002307621501912877
chr3	61704478	61823522	180	0.03204392792652197
chr3	71416982	71536025	184	0.0113846309582426
chr3	72398598	72517641	185	0.004472471021260773
chr4	10036478	10155522	232	0.002304203329226132
chr4	179906857	180025901	282	0.0009452186947342937
chr4	183312478	183431522	284	2.2468544483736275e-05
chr4	185181895	185300938	285	0.00030756991318186123
chr4	187517160	187636204	286	0.00029784004861498975
chr4	188508002	188627046	287	0.0002710876975537689
chr4	189591993	189711037	288	0.0006734477026244921
chr5	58678197	58797241	323	1.9480407818939138e-05
chr5	59267820	59386863	324	0.0003687139119678592
chr5	59477125	59596168	325	1.3146371338285546e-05
chr5	130913647	131032691	335	0.0014693270350533453
chr5	162580478	162699522	342	6.701359364334922e-05
chr6	1884478	2003522	351	0.01013586244799881
chr6	5224478	5343522	354	0.03021260402675089
chr6	31107325	31226368	367	0.0687143382126498
chr6	32572478	32691522	369	0.009923345636580408
chr6	38210390	38329433	374	0.0020127379555255984
chr6	150025364	150144408	401	0.06421090334581366
chr9	11656478	11775522	528	0.008848174401210867
chr9	21920478	22039522	536	0.03747799812201413
