chrom	start	end	name	score
chr1	147194443	147313487	29	0.016589933040644513
chr1	150813077	150932121	31	0.01506880196729869
chr1	151845010	151964054	32	0.02243631745745883
chr1	153959136	154078180	36	0.0021086286259224688
chr1	154947153	155066196	37	0.0006266981889942139
chr1	160033731	160152774	40	8.185392567285247e-06
chr1	161007968	161127012	41	0.003904189246249589
chr1	164117964	164237007	45	0.0022955384712800364
chr1	172168022	172287065	48	0.000995254545019106
chr1	183100349	183219392	51	0.001842064321778303
chr1	201091706	201210749	56	0.0037463003774790785
chr1	204419795	204538839	59	0.015725819928568866
chr1	234966252	235085296	67	0.006828777294331775
chr1	246568478	246687522	75	0.005104680861281741
chr11	60785059	60904103	617	7.748268231654269e-06
chr11	63390958	63510002	620	5.70433734047869e-06
chr11	65168583	65287626	622	2.3151975052193262e-05
chr11	66880590	66999633	624	0.0007017292245413572
chr11	67184478	67303522	625	0.0006749482814602351
chr11	69068573	69187616	627	0.004087975411267557
chr11	69569842	69688885	628	0.009129114550082296
chr11	70336478	70455522	630	0.004881366200390785
chr11	71203150	71322193	632	0.00021550515853081554
chr11	74136680	74255723	635	0.000632448611353534
chr11	75332245	75451288	637	0.0016003371841766167
chr11	76701764	76820807	639	0.0009378165499513363
chr11	77434562	77553605	640	0.005074379283798127
chr11	77724478	77843522	641	0.0037721543683548043
chr11	81735827	81854871	647	0.0018925083440578425
chr11	100752457	100871500	656	0.002589435774043125
chr11	102125139	102244182	657	0.0003753872919414057
chr11	102424478	102543522	658	1.5608974990797825e-05
chr11	118420478	118539522	661	0.0006479369123626495
chr12	872178	991221	665	0.004491332322541698
chr12	12161850	12280893	674	0.0028279889001136395
chr12	20344104	20463147	677	0.007348112408392759
chr12	27514242	27633285	683	0.003675836240830603
chr13	27460478	27579522	716	0.014194511051507893
chr13	30771598	30898271	717	0.010999854604637621
chr13	39863756	39982799	719	0.002841911152672549
chr13	44724478	44843522	720	0.0037039478132037777
chr13	110774596	110893639	734	0.0010759236185762158
chr15	25969925	26088968	772	0.005919019856638135
chr15	63790336	63909379	784	3.1343450594288615e-06
chr15	71924030	72043073	788	0.0033547654561432044
chr15	80167497	80286541	792	0.0019510490829524822
chr15	87092478	87211522	794	0.00012498780588487979
chr15	90617944	90736987	795	0.0020395030275985253
chr15	93476478	93595522	796	0.009517442139224291
chr16	7732478	7851522	805	0.003419982002101652
chr16	11380883	11499926	806	0.00035217955113735254
chr16	11694292	11813335	807	0.0014895378282830402
chr16	28155216	28274259	811	0.0008804011082603541
chr17	32315098	32438248	826	0.0006711981598515973
chr17	36005703	36124746	829	0.007542609484513284
chr17	37797672	37916715	831	0.003671393189850425
chr17	39080995	39200038	832	0.008887141404996591
chr17	46108860	46227903	838	0.00019909188088393587
chr17	47245218	47364261	839	0.0028859365894339864
chr17	48756478	48875522	840	0.005688232176505409
chr17	50552478	50671522	841	0.0024840200378398783
chr17	58040789	58159832	845	0.010886548066913164
chr17	63904546	64023589	848	0.011131628316181263
chr17	71306739	71425782	850	0.003594384284005122
chr17	73405696	73524739	851	0.0038956262212718373
chr17	77736478	77855522	852	0.0033827337213911805
chr17	79708478	79827522	853	0.0010747105757266066
chr18	548478	667522	854	0.0003970586085866976
chr18	3587884	3706927	856	0.0003970586085866976
chr18	7038146	7157190	858	0.0003970586085866976
chr18	9056478	9175522	860	0.0013782537972478212
chr18	9836100	9955143	861	0.0003970586085866976
chr19	33667544	33786587	889	0.00878039541627175
chr19	35861811	35980854	891	0.005290188558919999
chr19	38249755	38368798	893	0.0021007766720543487
chr19	39711092	39830136	894	0.006894125128536726
chr19	40125729	40244773	895	0.0036894204103916995
chr19	40900478	41019522	896	0.005016626155885663
chr19	45077262	45196306	900	8.275608619564431e-05
chr2	27637267	27756310	82	0.0002813770275501684
chr2	47366340	47485384	93	0.0004122162000518538
chr2	61461167	61580210	96	0.0009466531300758068
chr2	62608231	62727274	97	0.000414936921247213
chr2	69844478	69963522	100	0.00023197185942080563
chr2	85409848	85528891	104	0.0005457908240037724
chr2	102672651	102791694	105	0.00011553053389805722
chr2	103136291	103255334	106	0.00021584066327907437
chr2	104588398	104707441	107	0.00028307908471457806
chr2	109381910	109500953	108	4.090865621719701e-06
chr2	113872158	113991201	109	0.00024688973154012625
chr2	121848478	121967522	113	0.00011774286590180471
chr2	140973971	141093014	118	0.00040680593512806
chr2	160833554	160952597	127	0.0005870929560222151
chr2	201183969	201303012	139	0.0003475877209513833
chr20	5689557	5808600	905	0.00029427061682558503
chr20	15398466	15517509	907	0.002391607330111373
chr20	19940478	20059522	908	2.3831736470458402e-05
chr20	34076149	34195193	909	0.005442706949530562
chr20	46007090	46126133	913	0.0017746961626731858
chr20	48228559	48347603	914	5.868979103169048e-05
chr20	48749975	48869018	915	0.01983200770542726
chr20	49024478	49143522	916	0.0015459955730590398
chr20	50476478	50595522	917	0.00036420950647904663
chr20	52327763	52446806	919	0.02843427355678877
chr20	55990973	56110017	921	0.004595737870759723
chr20	61143303	61262346	925	0.036997153029865115
chr21	34852478	34971522	928	0.01398970555431135
chr22	22704478	22823522	936	0.008380978693286566
chr22	29686257	29805300	942	0.00030863145833693743
chr22	30536631	30655675	943	0.002810997402701866
chr22	31496478	31615522	944	0.00020353540667176147
chr22	38533077	38652120	947	0.017407780348127514
chr22	41668496	41787539	949	0.0009602195626086042
chr3	1470239	1589282	159	0.0029418986289379075
chr3	9621275	9740319	163	0.0005593327072447933
chr3	12179711	12298754	165	0.0015791908280349673
chr3	13726636	13845679	166	0.00271740146032006
chr3	64010971	64130014	181	0.0005391323615747615
chr3	66836943	66955986	182	0.003709206173969631
chr3	69040077	69159121	183	0.00511646550840497
chr3	79360194	79490215	186	0.0016047491384847984
chr5	14389391	14508435	302	0.0016036656703496872
chr5	22195817	22314860	305	0.0008689432913068817
chr5	25456786	25575829	307	0.002161104835504822
chr5	31118924	31237968	311	0.0005377168287215144
chr5	32174237	32293280	313	0.003345265708792748
chr5	36233772	36352815	316	0.0026825556601640403
chr6	2653755	2772798	352	0.03653853327780113
chr6	4545300	4664343	353	0.011248402202257188
chr6	6901319	7020362	355	0.021191371110266862
chr6	11249784	11368827	356	0.007783540785112618
chr6	13383912	13502955	357	0.004438485535416645
chr6	18320478	18439522	358	0.00867597870956751
chr6	20392478	20511522	359	0.00018019229759557757
chr6	21555199	21729893	361	0.0017537051678430556
chr6	26273608	26392651	363	0.005475773475595223
chr6	30604478	30723522	366	0.0004060157490545226
chr6	31776478	31895522	368	0.027513975473836164
chr6	32795512	32914555	370	0.0064086253654529295
chr6	37202440	37321483	373	0.011393728622859953
chr6	52272108	52391151	386	0.008861295797050172
chr6	52967879	53086923	387	0.02839783466803511
chr7	3540478	3659522	409	0.00039715432002600313
chr7	6346462	6465505	412	0.003789583140267898
chr7	66544261	66663304	426	0.001759536334248983
chr7	69148478	69267522	427	0.01183527672828553
chr7	70236478	70355522	430	0.0010470526579051816
chr7	104474399	104593442	446	0.00018307180520366515
chr7	139916949	140035992	460	0.0014650335864176166
chr7	146751327	146870370	466	0.006428222418533208
chr8	118924478	119043522	503	0.007544433715399989
chr8	121172478	121291522	505	0.0019118601094121187
chr8	128289701	128408744	508	0.019401347457618512
chr8	128632043	128751087	509	0.09144840979655054
chr8	129480478	129599522	511	0.05101300916221756
chr8	137368960	137488003	514	0.08300134452627635
chr8	140454004	140573047	517	3.074319886873928e-05
chr8	142104478	142223522	520	0.014011770327969254
chr8	143936478	144055522	521	0.025178898175521214
chr9	114672478	114791522	554	0.0001274209088812281
chr9	139689961	139809005	559	0.002643212510590207
