chrom	start	end	name	score
chr1	5698221	6299461	2	0.010215212729268787
chr1	7796378	8433690	15	0.007820214063217167
chr1	14385306	14763498	27	0.003909776632383433
chr1	26453898	26662962	5	0.01571037929760673
chr1	50751903	50870947	13	0.0018681500158842159
chr1	92622914	92828477	11	0.00470670564640244
chr1	114182486	115159426	7	0.00476238208270054
chr1	157585972	158068323	17	0.003937715914130633
chr1	193012658	193197741	12	0.0016430429335863139
chr1	210244880	210734469	24	0.0053126451527997455
chr1	212425834	213587853	3	0.0073370191697099615
chr1	246074672	246193715	6	0.0027795602378353234
chr10	46366497	46278897	244	0.012812163332883307
chr10	56459109	56955135	243	0.007446831980543063
chr10	75535628	75654671	251	0.0008797643084960074
chr10	76159133	76283417	246	0.0016195551808178136
chr10	87801233	87920276	241	0.0033967364973030286
chr10	88205547	88324590	239	0.0232329260636905
chr11	39964088	40614329	287	0.00474298171674744
chr11	45909793	46380892	264	0.008055478485670068
chr11	62917530	63417759	261	0.011634194588554398
chr11	64834782	65299118	273	0.01066112905995359
chr11	68366049	68573542	266	0.00954965318279748
chr11	70050758	70300907	283	0.006630502284615856
chr11	72312230	72601976	289	0.01524972194760773
chr11	76135686	77281730	279	0.004408333947115037
chr11	80628123	80752909	265	0.00474145893766714
chr11	84253169	84655380	284	0.0018666226986253159
chr11	86261058	87385332	280	0.0076195040164647645
chr11	114035046	114233527	260	0.011746253700359999
chr12	12569383	12967658	290	0.026561897419369224
chr12	23944471	24075816	299	0.007652827821950365
chr12	26271425	26845390	294	0.004818206625235041
chr12	44954419	45576022	301	0.009147925347231776
chr12	52008485	52774572	310	0.007296527863666661
chr12	57702299	58353493	302	0.003975377017442934
chr12	66744481	67100482	313	0.0030249997661092255
chr12	74225007	75395245	305	0.004789160589144341
chr12	99470564	99758032	308	5.866036217780174e-05
chr13	32047274	32376514	321	0.005083490032775942
chr13	48365593	48484636	318	0.013599540100073314
chr13	50286679	50881654	324	0.006077244654814651
chr14	27068447	28612777	344	0.00963578397350708
chr14	33230726	33349769	334	0.00235785575666372
chr14	39825804	40253578	337	0.008941141190825175
chr14	66702143	67185308	342	0.0043732682634582375
chr14	68275614	68394657	328	0.0027816103010201232
chr15	31866992	31986036	352	0.005597352372814947
chr15	40993218	42159078	355	0.01676126113124424
chr15	57034409	57265344	356	0.005683649544896747
chr16	3673114	3792157	367	0.0017565924991948148
chr16	23306400	24105477	360	0.004428626872474437
