chrom	start	end	name	score
chr1	5698221	6299461	2	0.002704755394787969
chr1	7796378	8433690	15	0.003415902966804594
chr1	14385306	14763498	27	0.0057966295766395705
chr1	26453898	26662962	5	0.026750722751439644
chr1	50751903	50870947	13	0.005123115565652319
chr1	92622914	92828477	11	0.0062287924531325475
chr1	114182486	115159426	7	0.00658359194000792
chr1	157585972	158068323	17	0.00013760918121092264
chr1	193012658	193197741	12	2.6515947761903605e-05
chr1	210244880	210734469	24	0.0003125657930690425
chr1	212425834	213587853	3	0.0003725110485983702
chr1	246074672	246193715	6	6.739690806886861e-05
chr10	56459109	56955135	243	0.010697295547891023
chr10	75535628	75654671	251	0.002090984329774371
chr10	76159133	76283417	246	0.0037894282144248434
chr10	87801233	87920276	241	0.008361375017916284
chr10	88205547	88324590	239	0.023294760687891308
chr11	39964088	40614329	287	0.00975551606221708
chr11	45909793	46380892	264	0.005457282267243512
chr11	62917530	63417759	261	0.006784234868511152
chr11	64834782	65299118	273	0.0031490963289420248
chr11	68366049	68573542	266	0.0026689090212071447
chr11	70050758	70300907	283	0.0011083858023469223
chr11	72312230	72601976	289	0.00616519417772856
chr11	76135686	77281730	279	0.001979007567617924
chr11	80628123	80752909	265	0.0026507262027161533
chr11	84253169	84655380	284	0.0006127747309145745
chr11	86261058	87385332	280	0.001660380797496287
chr11	114035046	114233527	260	0.004725687059733144
chr12	44954419	45576022	301	0.01571314443574723
chr12	52008485	52774572	310	0.011247928165743312
chr12	57702299	58353493	302	0.005384136380054064
chr12	66744481	67100482	313	0.0013031927857551577
chr12	74225007	75395245	305	0.004737015157645331
chr12	99470564	99758032	308	9.979889845027544e-05
chr13	32047274	32376514	321	0.0017757609544898645
chr13	48365593	48484636	318	0.008840735731257175
chr13	50286679	50881654	324	0.004534833241800556
chr14	27068447	28612777	344	0.01173667724146475
chr14	33230726	33349769	334	0.0030240785594496935
chr14	39825804	40253578	337	0.004540623226049413
chr14	66702143	67185308	342	0.004244606540096192
chr14	68275614	68394657	328	0.0032224968274050976
chr15	31866992	31986036	352	0.007664564915567374
chr15	40993218	42159078	355	0.011878668105906338
chr15	57034409	57265344	356	0.00507388860640854
chr16	53398971	54351863	371	0.025320387778338133
chr16	72474943	72643441	365	0.013405798436868116
chr16	78613406	78732449	357	0.005751056656189953
chr16	78969234	79088278	361	0.004341882241797608
chr16	83302105	83588218	372	0.014879938818782872
chr17	7611129	7730172	378	0.03291748208076822
chr17	11909135	12050685	380	0.03897796907128193
chr17	33861842	34604065	394	0.00845874231835586
chr17	39304824	39624168	392	0.0035931075110672683
chr17	40913090	41258653	376	0.002792762384382024
chr17	43964776	44242707	379	0.0013951648094914961
chr17	46143045	46262088	387	0.004466406708120474
chr17	55252988	55991479	391	0.0006752490753421618
chr17	57688031	58116288	385	0.0009021720516850109
chr17	60851443	61403869	389	0.0004291628164630318
chr17	72369801	72518431	393	0.0007947881504079324
chr18	26976797	28063535	400	0.00834908580890727
chr18	51012320	51141362	399	0.0039378544793405995
chr19	18767506	19265881	415	0.008844528986831373
chr19	33574883	33915360	413	0.00710275947153541
chr19	42701930	43231343	419	0.0069771252914449244
chr19	47097306	47325772	414	0.024362983498242733
chr2	42875076	43691150	47	0.0008323231353365393
chr2	132975469	133094512	36	0.0007124675529237923
chr2	135286665	135761621	43	0.002120020516429087
chr2	141095185	141214228	29	0.0032306705801715386
chr2	147985984	148275630	49	0.0017625149215952881
chr2	186026083	186145126	45	0.0002244316535217637
chr2	186446973	186566016	52	0.0002244316535217637
chr2	212877996	212997143	34	0.0027172863178907495
chr2	232977769	233156653	37	0.0022389780689387414
chr21	22704159	24054854	437	0.004197267857845272
chr21	34867516	35110617	436	0.0007865566338073693
chr22	22497942	22971195	444	0.00347983341507864
chr22	25379786	25498829	443	0.0024140468140312924
chr22	28082280	28624843	445	0.012505414376209957
chr22	28882064	29001107	440	0.0009924338529594767
chr22	33469216	33917689	441	0.012344798132036539
chr3	4256347	4525158	82	0.0036872208488144785
chr3	50298438	50841289	67	0.031291736987036835
chr3	60426507	60545550	62	0.019309705571421712
chr3	71215566	71334609	69	0.01811404370723059
chr3	114592382	114711426	89	0.001430501909563879
chr3	116828619	116947662	63	0.0015980204782141477
chr3	125750536	127257772	83	0.001747218638751771
chr3	136233833	136731509	85	0.0012407049200303143
chr3	160411596	162185539	91	0.0013909294145894508
chr3	175056597	175175640	66	0.0004118587057716174
chr3	188449058	188568101	68	0.0014380216064589677
chr4	10019183	10138226	112	0.0006573548941907389
chr4	19577917	19801424	99	0.0012644543766678383
chr4	20310116	20479664	119	0.0009428148568247181
chr4	21102160	21430714	116	0.005823370868766902
chr4	33779071	33989744	95	0.007981674152900808
chr4	59242972	61133220	102	0.0058228433894054465
chr4	81087817	82202610	108	0.008643278777915174
chr4	86556408	86782454	120	0.00913570248433784
chr4	90856263	90975306	94	0.0050364684394355146
chr4	131787238	133639252	107	0.003968892622943594
chr4	181223661	181342704	93	0.007183089840717801
chr4	182219568	182508466	106	0.001656550318648768
chr4	186519299	186880353	111	0.002043548398198701
chr5	56793697	57120997	138	0.021331978473145028
chr5	59204459	59323502	126	0.007723471629249331
chr5	59963527	60082570	122	0.013114758612677234
chr5	67348351	68771051	147	0.02830877679616113
chr5	100740256	101471280	136	0.001337644987877679
chr5	131236727	131878640	134	0.009622639953528179
chr5	166129093	166295987	128	0.015563533015239514
chr6	1907313	2026356	156	0.00013021146981597362
chr6	27844660	28823495	160	0.0024240459140519874
chr6	38091924	38651690	170	0.0028847870088315043
chr6	45140162	45683699	164	0.004602992198581611
chr6	67766179	68700299	162	0.022105036187525354
chr6	162241482	162360525	150	0.006706118090071732
chr6	167971817	168090860	167	0.004672740027850547
chr7	3687982	3844788	183	0.008014576659271057
chr7	50346628	50764902	182	0.009935239168666945
chr8	3885170	4004213	197	0.005485478269450864
chr8	22348404	23235836	194	0.06341578428754018
chr8	36213724	37208125	210	0.036042355653060604
chr8	37428319	38222648	199	0.015517801096441582
chr9	9423309	9542352	217	0.0008298729840629015
chr9	10991477	11494076	228	0.004336396417049463
chr9	16665365	17111350	223	0.001229848149855637
chr9	21941391	22060434	213	0.009998906362673051
chr9	26270393	26679838	216	0.004217481966027133
chr9	28247761	28459513	225	0.0035449637633557084
chr9	31388257	32049497	222	0.0034536277901867484
chr9	129101938	130380154	238	0.02467574494593526
