chrom	start	end	name	score
chr1	1532738	1651781	0	0.001673939671284766
chr1	8859821	8978864	4	0.0003906402871926589
chr1	10810408	10929451	6	0.0008822965885851651
chr1	15975073	16094116	8	0.0008092002680737709
chr1	24761722	24880765	11	0.00039319408721264393
chr1	31860478	31979522	13	0.0002986905327535461
chr1	33101512	33220555	14	0.0008347243710855271
chr1	36532927	36651970	15	0.001608758233585202
chr1	39392478	39511522	16	0.003715588433677441
chr1	41176579	41295622	17	0.012249708615195875
chr1	43919003	44038047	18	0.005503170200013816
chr1	46745769	46864812	19	0.00046922811366195477
chr1	55463047	55582090	22	0.0005088417158200219
chr1	95072478	95191522	24	0.0005079843260480078
chr1	108245585	108364628	25	0.0019008722213834466
chr1	109929425	110048468	26	0.0005073665758232438
chr1	115538530	115657573	28	0.0020902808129559607
chr1	147194443	147313487	29	0.00454878968504182
chr1	150813077	150932121	31	0.0062744619462970505
chr1	151845010	151964054	32	0.004485460258802839
chr1	152919219	153038263	35	0.0011366642198222588
chr1	153959136	154078180	36	0.0017057252094220365
chr1	154947153	155066196	37	0.00223294625702506
chr1	155760478	155879522	38	0.0009132273574013739
chr1	160033731	160152774	40	0.0005240626141507714
chr1	161007968	161127012	41	0.004296718344311198
chr1	161853094	161972137	43	0.00034307940936833755
chr1	162574800	162693843	44	0.0006450637222939438
chr1	164117964	164237007	45	0.003677909263761203
chr1	168878647	168997691	47	0.0001606246331802055
chr1	172168022	172287065	48	0.002128542138301753
chr1	183100349	183219392	51	0.000297808977640156
chr1	183821321	183940364	52	0.001082081159892804
chr1	201091706	201210749	56	0.0003193015808431845
chr1	204419795	204538839	59	0.0033583704531871205
chr1	205342936	205461979	60	0.0005964642603518182
chr1	207110407	207229450	62	0.00020337627531999178
chr1	225761562	225880605	64	0.0003327860640867267
chr1	234966252	235085296	67	0.0016053836808645541
chr1	239233116	239352159	70	0.006261698439196985
chr1	246568478	246687522	75	0.001038970271286202
chr10	5036270	5155313	561	0.003089328677155279
chr10	9202100	9321144	562	0.002303172828710603
chr10	11908478	12027522	563	0.0002654911029657579
chr10	13662215	13781258	565	0.001379814743658038
chr10	27295961	27415005	568	0.0007099674036765469
chr10	32296478	32415522	569	0.0011026093751179335
chr10	33215783	33334826	570	0.0017256549063799865
chr10	47580478	47699522	572	0.00359306357876636
chr10	51433085	51552128	574	0.00023954989850141743
chr10	55570264	55689308	577	0.001728882529693814
chr10	58424478	58543522	579	0.00206551203180962
chr10	61585647	61704691	581	0.00042808209703256995
chr10	63606446	63725489	582	0.004992401910958193
chr10	70939573	71058616	586	0.0003765040417432287
chr10	73708478	73827522	587	0.0013685343191736574
chr10	76876338	76995382	589	0.005805037768878149
chr10	79320478	79439522	592	0.005133791487179983
chr10	81012478	81131522	594	0.004054142021939632
chr10	83468634	83587677	595	0.0011998941492372774
chr10	113940446	114059489	599	0.0008398754453492653
chr10	123077237	123196280	600	0.0015924666027102628
chr10	134356944	134475988	601	0.0009162362960860943
chr11	836478	955522	602	0.0005613286892567517
chr11	13076478	13195522	608	0.0010712381664328811
chr11	32204016	32323059	609	0.0019143380495959938
chr11	34705617	34824660	611	0.006911036657622316
chr11	44224478	44343522	613	0.001207252679504007
chr11	45971756	46090799	615	0.003819680425446992
chr11	60785059	60904103	617	0.0019889195376423434
chr11	62027209	62146252	618	0.0010801673396003209
chr11	63390958	63510002	620	0.0006506028177826152
chr11	65168583	65287626	622	0.0009489885711685385
chr11	66880590	66999633	624	0.005740660456615195
chr11	67184478	67303522	625	0.001290918164656027
chr11	69068573	69187616	627	0.010953760646039975
chr11	69569842	69688885	628	0.018412372417167557
chr11	70336478	70455522	630	0.01009967276642837
chr11	71203150	71322193	632	0.00029879908585695315
chr11	72950944	73069987	634	0.0007184569394178771
chr11	74136680	74255723	635	0.0009757850462748994
chr11	75332245	75451288	637	0.0009611296160153142
chr11	76701764	76820807	639	0.0011869541624751328
chr11	77434562	77553605	640	0.006840023662329278
chr11	77724478	77843522	641	0.003088988068524507
chr11	81735827	81854871	647	0.0025805925379309156
chr11	88333671	88452715	654	0.0012874799208330435
chr11	100752457	100871500	656	0.003602495088619276
chr11	102125139	102244182	657	0.0019114242673580197
chr11	102424478	102543522	658	2.2991311136874105e-05
chr11	118420478	118539522	661	0.0008184154775908746
chr11	121162771	121281814	662	5.592081605869164e-05
chr12	872178	991221	665	0.0024881246339114034
chr12	1593479	1712523	666	0.0029275454766349096
chr12	4004449	4123492	668	0.0015689155969545354
chr12	6564395	6683439	670	0.0021418623502361418
chr12	9784478	9903522	672	0.0004201924556104134
chr12	12161850	12280893	674	0.001128726225684357
chr12	13501591	13620634	676	0.0001583353923315086
chr12	20344104	20463147	677	0.007083967926728948
chr12	25283664	25403846	680	0.01197698765788973
chr12	26260478	26379522	681	0.006041161582966021
chr12	27514242	27633285	683	0.0012634773198727846
chr12	44001521	44120564	685	0.0015386800161441116
chr12	46642802	46761845	687	0.0022233723351565717
chr12	52562932	52681976	690	0.0006580091632154283
chr12	53279452	53398495	692	0.00012803327307489825
chr12	54460478	54579522	693	0.00025185730462491706
chr12	56555298	56674342	694	0.0005952712039860101
chr12	58152689	58271732	696	0.0026390069700108275
chr12	60042251	60161294	698	0.0033587026280540787
chr12	65935599	66054642	699	0.00268588220437884
chr12	69128478	69247522	702	0.0045724099466884615
chr12	69760361	69879404	703	0.00797052737634575
chr12	71080061	71199105	705	0.0021586699008105713
chr12	123610645	123729688	711	0.0006141543306647247
chr12	125048478	125167522	713	0.00043585397129444634
