chrom	start	end	name	score
chr10	47408334	47827719	253	0.08788312491514864
chr17	31063757	31344450	384	0.18402553643215372
chr17	46328894	46556435	383	0.020897503084262425
chr17	48593060	48789511	386	0.036894265198949096
chr17	50404258	50789048	377	0.005667058023817078
chr17	60648695	61741852	382	0.038230651411043
chr17	67196640	67890043	374	0.038230651411043
chr17	73467763	73586807	381	0.038230651411043
chr17	77734233	78056848	390	0.038230651411043
chr18	31803833	32874747	405	0.05914854202768744
chr19	9139027	9267988	418	0.012513291448888453
chr19	10736375	10946734	409	0.05023916361473933
chr19	13336475	13584705	416	0.014109831713010598
chr19	15320331	15478451	407	0.014109831713010598
chr21	27563981	29211589	438	0.23364617539684213
chr4	57411823	57604555	105	0.050197936347009676
chr4	60229100	61415503	110	0.050197936347009676
chr4	65285589	66552501	103	0.02754719809329907
